eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,VOLKSWAGEN,Germany,Automobiles & Parts,"13,120.0",11.7,"202,458.0",2.8,6.5,"12,012.0",5.5,5.9,"12,139.0",5.6,6.0,593,3.5
2,DAIMLER,Germany,Automobiles & Parts,"5,650.0",5.0,"129,872.0",10.1,4.4,"4,844.0",-2.6,3.7,"10,342.0",-7.7,8.0,280,2.0
3,ROBERT BOSCH,Germany,Automobiles & Parts,"5,042.0",8.4,"48,951.0",6.3,10.3,,,0.0,"3,032.0",35.3,6.2,286,2.3
4,SANOFI,France,Pharmaceuticals & Biotechnology,"4,812.0",1.2,"33,770.0",2.5,14.2,"1,557.0",11.4,4.6,"6,446.0",34.5,19.1,113,1.2
5,BMW,Germany,Automobiles & Parts,"4,566.0",-4.7,"80,401.0",5.7,5.7,"6,099.0",-8.9,7.6,"9,290.0",13.4,11.6,106,5.7
6,SIEMENS,Germany,Electronic & Electrical Equipment,"4,377.0",-3.9,"71,920.0",-5.2,6.1,"1,831.0",-2.0,2.5,"6,373.0",17.8,8.9,344,-6.2
7,ASTRAZENECA,UK,Pharmaceuticals & Biotechnology,"4,164.4",14.5,"21,493.3",1.5,19.4,833.5,36.4,3.9,"1,760.2",-41.9,8.2,58,11.7
8,GLAXOSMITHKLINE,UK,Pharmaceuticals & Biotechnology,"4,002.0",-10.5,"29,575.6",-13.2,13.5,"1,527.2",0.0,5.2,"4,601.0",-49.4,15.6,99,-1.1
9,ERICSSON,Sweden,Technology Hardware & Equipment,"3,856.7",17.3,"24,271.6",0.3,15.9,566.6,18.2,2.3,"1,802.9",-10.0,7.4,118,3.2
10,BAYER,Germany,Pharmaceuticals & Biotechnology,"3,689.0",13.2,"42,239.0",5.2,8.7,"2,371.0",9.9,5.6,"5,571.0",15.4,13.2,119,5.0
11,FIAT CHRYSLER,The Netherlands,Automobiles & Parts,"3,665.0",9.0,"96,090.0",10.9,3.8,"8,121.0",8.4,8.5,"3,343.0",-3.5,3.5,229,1.4
12,AIRBUS,The Netherlands,Aerospace & Defence,"3,616.0",1.0,"60,713.0",5.5,6.0,"2,548.0",-12.7,4.2,"3,903.0",55.6,6.4,139,0.2
13,NOKIA,Finland,Technology Hardware & Equipment,"2,718.0",-21.4,"15,190.0",-35.2,17.9,311.0,-23.6,2.0,-343.0,-534.2,-2.3,62,11.6
14,BOEHRINGER INGELHEIM,Germany,Pharmaceuticals & Biotechnology,"2,654.0",-3.2,"13,317.0",-5.3,19.9,,,0.0,"1,606.0",-21.2,12.1,48,0.5
15,SAP,Germany,Software & Computer Services,"2,307.0",1.1,"17,560.0",4.4,13.1,737.0,30.2,4.2,"4,331.0",-3.3,24.7,74,11.8
16,PEUGEOT,France,Automobiles & Parts,"2,260.0",15.0,"53,607.0",1.0,4.2,"1,297.0",-12.4,2.4,137.0,-116.5,0.3,359,10.8
17,ALCATEL-LUCENT,France,Technology Hardware & Equipment,"2,250.0",-5.2,"13,615.0",-5.7,16.5,556.0,5.3,4.1,162.0,-121.8,1.2,53,-15.5
18,CONTINENTAL,Germany,Automobiles & Parts,"2,195.6",14.4,"34,505.7",3.5,6.4,"2,045.4",3.3,5.9,"3,355.2",2.5,9.7,189,6.4
19,VOLVO,Sweden,Industrial Engineering,"1,921.2",-4.4,"30,123.2",3.8,6.4,"1,832.0",107.8,6.1,614.7,-19.5,2.0,93,-2.1
20,RENAULT,France,Automobiles & Parts,"1,890.0",5.4,"41,055.0",0.3,4.6,"1,544.0",-19.6,3.8,"1,251.0",298.4,3.0,117,-3.6
21,BASF,Germany,Chemicals,"1,846.0",2.8,"74,326.0",0.5,2.5,"5,296.0",8.7,7.1,"6,755.0",1.3,9.1,113,1.0
22,NOVO NORDISK,Denmark,Pharmaceuticals & Biotechnology,"1,728.5",14.0,"11,949.1",6.3,14.5,536.9,23.2,4.5,"4,641.0",9.5,38.8,41,7.8
23,MERCK DE,Germany,Pharmaceuticals & Biotechnology,"1,699.9",13.0,"11,500.8",3.7,14.8,480.9,18.2,4.2,"1,705.0",5.7,14.8,40,3.9
24,PHILIPS,The Netherlands,General Industrials,"1,693.0",-7.4,"21,391.0",-12.5,7.9,437.0,-25.6,2.0,486.0,-75.6,2.3,114,-2.6
25,FINMECCANICA,Italy,Aerospace & Defence,"1,492.0",-14.6,"14,663.0",7.1,10.2,629.0,-34.8,4.3,446.0,-505.5,3.0,54,-3.4
26,TOTAL,France,Oil & Gas Producers,"1,353.0",42.6,"174,629.7",-7.0,0.8,"21,678.6",-11.5,12.4,"7,899.7",-60.9,4.5,100,1.5
27,MEDTRONIC ,Ireland,Health Care Equipment & Services,"1,350.8",11.0,"16,688.1",19.1,8.1,470.3,44.2,2.8,"3,070.6",-8.4,18.4,92,87.8
28,BANCO SANTANDER,Spain,Banks,"1,345.0",9.4,"43,736.0",10.3,3.1,,,0.0,"10,679.0",44.7,24.4,185,-0.6
29,SAFRAN,France,Aerospace & Defence,"1,313.0",13.3,"15,044.0",6.3,8.7,674.0,37.8,4.5,"1,725.0",2.8,11.5,69,4.0
30,TELECOM ITALIA,Italy,Fixed Line Telecommunications,"1,118.0",14.4,"21,573.0",-7.8,5.2,"2,562.0",,11.9,"4,425.0",64.6,20.5,66,0.6
31,SEAGATE TECHNOLOGY,Ireland,Technology Hardware & Equipment,"1,114.4",10.4,"11,316.2",0.1,9.8,615.3,33.6,5.4,"1,695.1",15.9,15.0,52,0.5
32,TELEFONICA,Spain,Fixed Line Telecommunications,"1,111.0",6.2,"50,377.0",-11.7,2.2,"9,205.0",-4.8,18.3,"7,351.0",-27.2,14.6,124,-2.4
33,DELPHI,UK,Automobiles & Parts,"1,070.8",0.0,"14,021.1",3.4,7.6,704.2,25.4,5.0,"1,549.3",11.2,11.0,127,8.5
34,STMICROELECTRONICS,The Netherlands,Technology Hardware & Equipment,"1,059.2",-31.6,"6,098.3",-8.4,17.4,408.5,-6.6,6.7,137.6,-124.5,2.3,44,-3.9
35,ASML HOLDING,The Netherlands,Technology Hardware & Equipment,"1,035.7",23.3,"5,856.3",11.6,17.7,358.3,70.0,6.1,"1,523.8",19.5,26.0,14,35.8
36,ROLLS-ROYCE,UK,Aerospace & Defence,"1,019.4",19.6,"17,658.5",-6.2,5.8,833.0,-3.1,4.7,"1,786.9",-6.0,10.1,54,-2.0
37,ROYAL DUTCH SHELL,UK,Oil & Gas Producers,"1,006.5",-7.3,"346,845.2",-6.7,0.3,"26,236.7",-20.7,7.6,"21,420.8",-24.0,6.2,94,2.2
38,DEUTSCHE BANK,Germany,Banks,962.0,45.1,"31,642.0",0.6,3.0,,,0.0,"3,116.0",114.0,9.8,98,-0.1
39,UNILEVER,The Netherlands,Food Producers,955.0,-8.2,"48,436.0",-2.7,2.0,,,0.0,"7,079.0",-7.5,14.6,173,-0.6
40,CNH INDUSTRIAL,The Netherlands,Industrial Engineering,924.1,-1.1,"27,145.2",-3.7,3.4,"1,398.6",-14.5,5.2,"1,817.8",-14.6,6.7,69,-2.8
41,SCHNEIDER,France,Electronic & Electrical Equipment,922.0,12.9,"24,939.0",6.6,3.7,475.0,2.2,1.9,"2,899.0",-4.3,11.6,186,14.1
42,BARCLAYS,UK,Banks,902.5,13.8,"32,511.8",-10.0,2.8,,,0.0,"2,900.2",-21.3,8.9,132,-5.2
