eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
43,ALLERGAN,Ireland,Pharmaceuticals & Biotechnology,894.4,76.0,"10,758.8",50.5,8.3,196.5,34.1,1.8,-441.0,-211.7,-4.1,22,12.5
44,ZF,Germany,Automobiles & Parts,866.0,6.1,"18,415.0",9.4,4.7,,,0.0,918.0,17.5,5.0,71,-1.7
45,SERVIER,France,Pharmaceuticals & Biotechnology,862.0,-3.7,"3,989.1",-4.8,21.6,,,0.0,345.7,-2.1,8.7,0,
46,BT,UK,Fixed Line Telecommunications,848.5,-4.3,"23,113.1",-1.7,3.7,"3,108.5",2.6,13.4,"4,378.6",8.4,18.9,89,0.8
47,VALEO,France,Automobiles & Parts,807.0,3.7,"12,725.0",9.1,6.3,598.0,6.4,4.7,859.0,18.5,6.8,79,4.9
48,ROYAL BANK OF SCOTLAND,UK,Banks,798.3,-31.5,"19,189.6",-10.6,4.2,,,0.0,"3,397.7",-129.9,17.7,109,-8.3
49,ELECTRICITE DE FRANCE,France,Electricity,784.0,9.2,"72,874.0",1.3,1.1,"13,067.0",3.2,17.9,"8,670.0",-9.1,11.9,148,5.8
50,UCB,Belgium,Pharmaceuticals & Biotechnology,768.0,-1.7,"2,938.0",-3.6,26.1,84.0,-64.7,2.9,303.0,-29.9,10.3,9,-0.5
51,L'OREAL,France,Personal Goods,760.6,-11.2,"22,532.0",-1.8,3.4,"1,008.2",-1.0,4.5,"3,547.7",-19.7,15.7,79,4.8
52,ORANGE,France,Fixed Line Telecommunications,732.0,-6.2,"39,445.0",-3.7,1.9,"6,111.0",-0.1,15.5,"4,332.0",-18.7,11.0,156,-5.6
53,SHIRE,UK,Pharmaceuticals & Biotechnology,702.3,-4.2,"4,960.1",22.0,14.2,63.4,-51.0,1.3,"1,260.3",-3.4,25.4,5,0.3
54,MICHELIN,France,Automobiles & Parts,656.0,2.0,"19,553.0",-3.4,3.4,"1,752.0",-4.9,9.0,"1,991.0",0.9,10.2,112,0.4
55,INFINEON TECHNOLOGIES,Germany,Technology Hardware & Equipment,642.0,11.5,"4,320.0",12.4,14.9,567.0,80.0,13.1,523.0,61.4,12.1,30,11.5
56,NXP SEMICONDUCTORS,The Netherlands,Technology Hardware & Equipment,627.7,19.3,"4,651.2",17.3,13.5,271.0,53.0,5.8,864.0,116.3,18.6,28,8.5
57,HSBC,UK,Banks,602.9,0.1,"52,189.3",-3.1,1.2,,,0.0,"15,385.9",-17.2,29.5,266,1.1
58,HELLA,Germany,Automobiles & Parts,593.3,8.1,"5,834.7",9.2,10.2,429.5,-7.3,7.4,428.2,24.3,7.3,32,3.8
59,MYLAN,The Netherlands,Pharmaceuticals & Biotechnology,575.0,23.7,"6,358.3",11.7,9.0,267.9,-2.8,4.2,"1,114.1",19.1,17.5,25,25.0
60,AMADEUS,Spain,Software & Computer Services,568.4,12.5,"3,417.7",10.1,16.6,77.8,,2.3,955.7,7.7,28.0,12,13.8
61,MAHLE,Germany,Automobiles & Parts,552.3,64.3,"9,942.4",43.2,5.6,,,0.0,514.5,21.7,5.2,64,25.8
62,BP,UK,Oil & Gas Producers,546.1,-6.2,"291,218.0",-6.7,0.2,,-100.0,0.0,"10,909.3",-34.0,3.7,85,1.0
63,EATON CORPORATION,Ireland,Electronic & Electrical Equipment,532.9,0.5,"18,575.1",2.3,2.9,520.5,2.9,2.8,"1,486.7",-16.2,8.0,102,0.0
64,ACCENTURE,Ireland,Support Services,526.7,-10.6,"26,253.7",4.9,2.0,265.1,-12.9,1.0,"3,542.1",-0.9,13.5,305,10.9
65,THALES,France,Aerospace & Defence,523.9,-7.2,"12,973.6",2.2,4.0,472.6,23.1,3.6,854.6,-7.4,6.6,61,-8.5
66,DASSAULT AVIATION,France,Aerospace & Defence,480.5,2.2,"3,680.4",,13.1,91.4,,2.5,999.3,,27.2,12,0.6
67,CARL ZEISS,Germany,Health Care Equipment & Services,450.9,7.3,"4,287.2",2.3,10.5,,,0.0,366.3,19.8,8.5,24,0.2
68,UBISOFT ENTERTAINMENT,France,Software & Computer Services,445.6,-17.4,"1,463.8",45.3,30.4,56.2,30.8,3.8,139.4,-242.3,9.5,10,5.5
69,UNICREDIT,Italy,Banks,442.3,8.5,"22,606.1",-5.1,2.0,,,0.0,"3,679.4",-124.2,16.3,129,-12.7
70,HENKEL,Germany,Household Goods & Home Construction,415.0,-5.0,"16,428.0",0.4,2.5,531.0,21.8,3.2,"2,243.0",0.3,13.7,50,6.2
71,SAINT-GOBAIN,France,Construction & Materials,411.0,-6.6,"41,054.0",-1.7,1.0,"1,568.0",10.5,3.8,"1,723.0",-10.9,4.2,181,-2.9
72,ALSTOM,France,Industrial Engineering,410.0,-59.5,"19,493.0",-2.8,2.1,,,0.0,668.0,-24.9,3.4,88,-5.5
73,DASSAULT SYSTEMES,France,Software & Computer Services,409.7,9.1,"2,294.3",11.0,17.9,45.4,7.1,2.0,430.8,-14.4,18.8,13,24.9
74,EVONIK INDUSTRIES,Germany,Chemicals,408.0,5.4,"12,917.0",1.6,3.2,"1,095.0",1.1,8.5,"1,015.0",3.5,7.9,33,-0.7
75,BAT,UK,Tobacco,402.4,1.6,"17,960.6",-8.4,2.2,680.1,-7.8,3.8,"5,644.9",-19.2,31.4,90,0.3
76,LLOYDS BANKING,UK,Banks,381.8,8.4,"21,081.9",-11.3,1.8,,,0.0,"2,265.2",324.6,10.7,95,-2.8
77,FRESENIUS,Germany,Health Care Equipment & Services,369.0,6.0,"23,231.0",14.3,1.6,"1,345.0",25.6,5.8,"3,114.0",4.1,13.4,216,21.3
78,SANDVIK,Sweden,Industrial Engineering,361.1,2.5,"9,456.1",1.7,3.8,406.7,-8.7,4.3,"1,077.4",17.2,11.4,47,-1.5
79,SOCIETE GENERALE,France,Banks,354.0,6.0,"23,915.0",-1.3,1.5,,,0.0,"4,375.0",49.7,18.3,148,0.4
80,AKZO NOBEL,The Netherlands,Chemicals,339.0,5.0,"14,296.0",-3.9,2.4,588.0,-11.7,4.1,987.0,-8.9,6.9,47,-4.8
81,INTESA SANPAOLO,Italy,Banks,338.0,22.5,"17,343.0",7.6,1.9,,,0.0,"3,009.0",-162.5,17.3,89,-4.6
82,DSM,The Netherlands,Chemicals,338.0,-37.2,"9,283.0",-3.5,3.6,556.0,-14.5,6.0,292.0,-40.5,3.1,21,-12.3
83,OSRAM LICHT,Germany,Household Goods & Home Construction,331.8,-3.0,"5,142.1",-2.8,6.5,243.2,17.3,4.7,289.7,265.8,5.6,34,-3.7
84,DANSKE BANK,Denmark,Banks,325.8,15.4,"6,229.1",9.5,5.2,,,0.0,"1,054.2",-22.1,16.9,18,-3.4
85,ATLAS COPCO,Sweden,Industrial Engineering,321.1,25.2,"9,977.7",11.7,3.2,164.8,23.3,1.7,"1,789.2",-2.8,17.9,44,9.7
86,H LUNDBECK,Denmark,Pharmaceuticals & Biotechnology,318.2,50.8,"1,812.2",-11.7,17.6,32.3,-22.8,1.8,13.3,-93.8,0.7,6,5.3
87,THYSSENKRUPP,Germany,Industrial Metals & Mining,318.0,10.4,"41,304.0",7.1,0.8,"1,071.0",-4.4,2.6,"1,125.0",-253.9,2.7,161,2.5
88,ELECTROLUX,Sweden,Household Goods & Home Construction,305.8,12.3,"11,939.0",2.7,2.6,320.0,-25.8,2.7,508.4,203.0,4.3,60,-1.2
89,SKF,Sweden,Industrial Engineering,305.0,22.4,"7,556.2",11.6,4.0,197.2,6.1,2.6,835.0,115.6,11.1,49,0.4
90,VILMORIN,France,Food Producers,302.3,4.6,"1,499.6",1.9,20.2,72.6,25.0,4.8,148.9,-6.4,9.9,7,7.9
91,KNORR-BREMSE,Germany,Industrial Engineering,295.5,17.0,"4,302.7",0.1,6.9,,,0.0,552.4,18.1,12.8,18,0.8
92,HEXAGON,Sweden,Industrial Engineering,293.4,7.2,"2,622.4",7.9,11.2,77.3,23.7,2.9,539.0,7.6,20.6,16,13.3
93,DIEHL,Germany,General Industrials,293.2,-4.8,"2,904.5",2.6,10.1,,,0.0,151.1,29.0,5.2,14,1.2
94,GKN,UK,Automobiles & Parts,288.0,14.3,"8,975.8",-2.2,3.2,422.9,20.1,4.7,311.1,-50.3,3.5,45,5.1
95,SOLVAY,Belgium,Chemicals,285.0,2.2,"10,629.0",4.7,2.7,923.0,15.8,8.7,809.0,18.4,7.6,26,-11.6
96,ARM HOLDINGS,UK,Electronic & Electrical Equipment,278.6,12.0,"1,022.3",11.3,27.3,26.2,51.1,2.6,407.3,100.9,39.8,3,18.2
97,ZODIAC AEROSPACE,France,Aerospace & Defence,275.8,5.6,"4,174.5",7.3,6.6,113.2,18.9,2.7,511.4,-3.6,12.2,30,17.9
98,DANONE,France,Food Producers,272.0,-1.1,"21,144.0",-0.7,1.3,984.0,-5.3,4.7,"2,150.0",-2.1,10.2,100,-4.5
99,RELX,UK,Media,266.1,-17.5,,,,,,,614.5,-15.5,,0,
100,TESCO,UK,General Retailers,264.8,-15.9,"80,431.1",-4.5,0.3,"2,557.0",-20.1,3.2,"-5,287.5",-364.8,-6.6,507,-0.7
101,AREVA,France,Electricity,259.0,-26.8,"8,336.0",-8.0,3.1,"1,151.0",-18.7,13.8,"-2,404.0","-11,547.6",-28.8,42,-7.7
102,BIOMERIEUX,France,Pharmaceuticals & Biotechnology,256.7,8.9,"2,068.0",6.6,12.4,,,0.0,174.0,-28.7,8.4,0,
103,RWE,Germany,"Gas, Water & Multi-utilities",253.0,-3.8,"46,149.0",-7.2,0.5,"3,245.0",-15.6,7.0,"3,452.0",-548.3,7.5,60,-7.9
104,COMMERZBANK,Germany,Banks,248.0,18.7,"8,751.0",-5.5,2.8,,,0.0,623.0,161.8,7.1,50,-3.0
105,TRUMPF,Germany,General Industrials,243.0,15.2,"2,343.4",0.7,10.4,,,0.0,176.0,-24.5,7.5,9,5.4
106,B BRAUN MELSUNGEN,Germany,Health Care Equipment & Services,242.6,6.1,"5,429.6",5.0,4.5,,,0.0,454.1,-8.7,8.4,54,8.3
107,SKY,UK,Media,240.4,9.4,"13,044.6",33.0,1.8,494.9,59.8,3.8,"1,306.1",-12.6,10.0,28,34.3
108,CHIESI FARMACEUTICI,Italy,Pharmaceuticals & Biotechnology,236.0,40.5,"1,341.7",8.4,17.6,,,0.0,280.9,-5.3,20.9,4,3.2
109,GRUNENTHAL,Germany,Pharmaceuticals & Biotechnology,232.2,-6.2,"1,154.3",28.1,20.1,,,0.0,83.0,-252.8,7.2,5,24.7
110,L'AIR LIQUIDE,France,Chemicals,225.1,15.4,"15,358.3",0.9,1.5,"1,901.7",-11.8,12.4,"2,598.3",5.8,16.9,50,0.1
111,DEUTSCHE BORSE,Germany,Financial Services,221.7,8.8,"2,347.8",8.7,9.4,30.6,7.0,1.3,892.8,29.3,38.0,5,19.1
112,WEATHERFORD INTERNATIONAL,Ireland,"Oil Equipment, Services & Distribution",219.9,0.8,"12,281.5",-2.3,1.8,"1,194.3",-7.9,9.7,663.9,61.5,5.4,56,-16.4
113,ALKERMES,Ireland,Pharmaceuticals & Biotechnology,217.7,114.1,509.7,42.9,42.7,27.7,76.6,5.4,-71.8,-662.4,-14.1,1,4.0
114,RHEINMETALL,Germany,Automobiles & Parts,214.0,-5.3,"4,688.0",6.1,4.6,284.0,48.7,6.1,-4.0,-66.7,-0.1,20,-0.5
115,ARCELORMITTAL,Luxembourg,Industrial Metals & Mining,213.3,-4.1,"65,301.0",-0.2,0.3,"3,018.7",6.2,4.6,"2,499.0",301.9,3.8,222,-4.3
116,AMDOCS,UK,Software & Computer Services,212.4,7.3,"2,935.2",6.5,7.2,91.9,4.5,3.1,408.2,2.9,13.9,23,8.5
117,CLAAS,Germany,Industrial Engineering,212.3,7.2,"3,823.0",0.0,5.6,,,0.0,181.1,-44.5,4.7,11,17.6
118,NOVOZYMES,Denmark,Pharmaceuticals & Biotechnology,211.9,14.0,"1,676.4",6.1,12.6,94.6,-7.7,5.6,455.3,16.6,27.2,6,1.6
119,BURELLE,France,General Industrials,211.8,12.7,"4,439.2",2.3,4.8,255.5,8.4,5.8,358.9,13.4,8.1,22,0.0
120,DRAGERWERK,Germany,Health Care Equipment & Services,208.8,5.4,"2,434.7",2.5,8.6,88.9,9.0,3.7,171.4,-16.7,7.0,14,3.0
121,BAE SYSTEMS,UK,Aerospace & Defence,205.7,-12.6,"19,836.2",-8.5,1.0,338.1,11.4,1.7,"1,682.8",19.7,8.5,76,-2.6
122,PIRELLI,Italy,Automobiles & Parts,205.5,3.2,"6,018.1",-2.1,3.4,367.2,,6.1,766.3,-1.5,12.7,38,-1.1
123,JOHNSON MATTHEY,UK,Chemicals,202.5,12.3,"12,932.4",-9.8,1.6,272.7,3.2,2.1,590.5,2.3,4.6,12,6.1
124,YANDEX,The Netherlands,Software & Computer Services,201.2,30.1,743.3,-25.2,27.1,141.7,14.1,19.1,316.5,-16.1,42.6,6,14.6
125,CSR UK,UK,Technology Hardware & Equipment,197.7,-11.5,638.1,-19.4,31.0,,,0.0,81.5,-306.3,12.8,2,-0.3
126,TOMTOM,The Netherlands,Electronic & Electrical Equipment,197.5,6.8,950.3,-1.4,20.8,16.6,2.3,1.7,21.1,-17.3,2.2,4,13.6
127,KERRY,Ireland,Food Producers,196.8,5.6,"5,756.6",-1.4,3.4,274.1,68.8,4.8,599.6,9.2,10.4,24,-3.0
128,LEGRAND,France,Electronic & Electrical Equipment,196.4,-3.2,"4,499.1",0.9,4.4,96.3,-7.3,2.1,847.5,-0.2,18.8,34,0.9
129,INDRA SISTEMAS,Spain,Software & Computer Services,195.1,-0.1,"2,937.9",0.8,6.6,88.8,,3.0,145.4,-32.4,4.9,39,1.3
130,SMITH & NEPHEW,UK,Health Care Equipment & Services,193.6,1.7,"3,802.8",6.1,5.1,308.9,10.3,8.1,637.5,-7.1,16.8,14,29.1
131,SNCF,France,Industrial Transportation,191.0,19.4,"32,683.0",1.4,0.6,,,0.0,"1,162.0",-11.4,3.6,246,0.5
132,ENGIE,France,"Gas, Water & Multi-utilities",189.0,17.4,"74,686.0",-15.0,0.3,"5,790.0",-11.2,7.8,"7,208.0",-241.5,9.7,236,5.9
133,DEUTSCHE TELEKOM,Germany,Fixed Line Telecommunications,188.8,-9.7,"62,658.0",4.2,0.3,"7,186.0",9.4,11.5,"6,818.0",34.5,10.9,228,-0.3
134,RECKITT BENCKISER,UK,Household Goods & Home Construction,187.7,-26.6,"12,229.5",-5.3,1.5,201.8,-21.1,1.7,"3,599.6",5.1,29.4,37,0.3
135,JOHN LEWIS,UK,General Retailers,186.0,34.1,"12,471.2",7.5,1.5,,,0.0,552.8,-9.0,4.4,92,6.4
136,ENI,Italy,Oil & Gas Producers,186.0,-5.6,"109,847.0",-4.2,0.2,"10,685.0",-2.1,9.7,"7,583.0",-27.8,6.9,84,0.6
137,IPSEN,France,Pharmaceuticals & Biotechnology,185.8,-30.6,"1,274.8",4.1,14.6,47.4,12.9,3.7,221.4,5.2,17.4,5,-1.5
138,WACKER CHEMIE,Germany,Chemicals,183.1,5.4,"4,826.4",7.8,3.8,525.1,-7.4,10.9,429.3,317.6,8.9,17,4.3
139,FREUDENBERG,Germany,General Industrials,182.1,8.2,"5,646.1",-0.6,3.2,,,0.0,422.2,-16.5,7.5,33,1.6
140,VODAFONE,UK,Mobile telecommunications,180.0,-34.6,"54,285.4",10.1,0.3,"8,443.6",49.4,15.6,"2,675.3",-165.1,4.9,105,18.1
141,DANFOSS,Denmark,Industrial Engineering,179.1,-3.8,"4,625.3",2.2,3.9,,,0.0,553.3,13.7,12.0,22,-2.3
142,ANHEUSER-BUSCH INBEV,Belgium,Beverages,178.7,17.3,"38,763.7",9.0,0.5,"3,620.0",13.6,9.3,"12,321.9",4.4,31.8,154,-0.4
143,GEMALTO,The Netherlands,Electronic & Electrical Equipment,175.2,5.6,"2,465.2",3.2,7.1,81.9,29.1,3.3,271.6,-3.8,11.0,0,-100.0
144,ACCIONA,Spain,Construction & Materials,174.9,1.0,"6,498.5",-1.6,2.7,420.1,,6.5,597.4,-167.6,9.2,34,-1.6
145,INGERSOLL-RAND,Ireland,Industrial Engineering,174.9,-2.7,"10,618.1",4.4,1.6,192.3,-3.6,1.8,"1,157.0",27.1,10.9,43,2.4
146,SQUARE ENIX,UK,Software & Computer Services,173.0,-13.8,133.8,-39.4,129.3,,,0.0,-11.2,-522.5,-8.4,0,-5.3
147,GRIFOLS,Spain,Pharmaceuticals & Biotechnology,171.9,40.3,"3,355.4",22.4,5.1,235.9,,7.0,857.7,16.5,25.6,14,18.7
148,IBERDROLA,Spain,Electricity,170.5,7.0,"30,032.3",-8.5,0.6,"3,363.4",,11.2,"3,978.6",60.2,13.2,28,-8.7
149,DAILY MAIL AND GENERAL TRUST,UK,Media,170.1,8.8,"2,328.4",0.5,7.3,37.8,6.1,1.6,441.1,30.5,18.9,10,-2.5
150,VIVENDI,France,Media,169.0,-36.0,"10,089.0",-1.6,1.7,249.0,-10.4,2.5,736.0,15.5,7.3,34,
151,SAGE,UK,Software & Computer Services,168.7,-9.3,"1,680.0",-5.0,10.0,25.3,39.7,1.5,384.8,-18.4,22.9,13,-4.9
152,BEIERSDORF,Germany,Personal & Household Goods,168.0,9.1,"6,285.0",2.3,2.7,301.0,32.6,4.8,708.0,-4.5,11.3,17,4.1
153,ASSA ABLOY,Sweden,Construction & Materials,164.5,11.2,"6,051.6",17.2,2.7,142.8,2.5,2.4,983.5,33.1,16.3,44,4.0
154,ESSILOR INTERNATIONAL,France,Health Care Equipment & Services,164.4,11.1,"5,670.0",11.9,2.9,232.0,-21.9,4.1,"1,340.0",45.7,23.6,58,5.3
155,WARTSILA,Finland,Industrial Engineering,164.0,-24.8,"4,839.0",4.0,3.4,99.0,-23.3,2.0,697.0,66.7,14.4,18,-3.3
156,DIALOG SEMICONDUCTOR,UK,Technology Hardware & Equipment,163.4,27.8,952.2,28.0,17.2,19.6,2.9,2.1,153.1,81.1,16.1,1,24.8
157,LANXESS,Germany,Chemicals,160.0,-14.0,"8,006.0",-3.5,2.0,614.0,-1.6,7.7,209.0,-309.0,2.6,17,-4.4
158,IMAGINATION TECHNOLOGIES,UK,Technology Hardware & Equipment,159.2,7.9,227.6,3.6,70.0,15.6,-40.3,6.9,-10.8,-431.2,-4.8,2,8.0
159,VESTAS WIND SYSTEMS,Denmark,Alternative Energy,159.0,-34.0,"6,910.0",13.6,2.3,163.0,123.3,2.4,627.0,202.9,9.1,20,26.9
160,TYCO INTERNATIONAL,Ireland,General Industrials,159.0,10.9,"8,516.6",-2.9,1.9,,,0.0,574.1,-26.7,6.7,0,
161,MTU AERO ENGINES,Germany,Aerospace & Defence,158.1,15.0,"3,913.9",4.6,4.0,100.7,17.1,2.6,337.4,7.8,8.6,8,-4.2
162,WM MORRISON SUPERMARKETS,UK,Food & Drug Retailers,155.6,-26.2,"21,618.0",-4.9,0.7,494.9,-53.9,2.3,"-1,068.3",774.7,-4.9,120,-6.0
163,ARKEMA,France,Chemicals,155.0,7.6,"5,952.0",-2.4,2.6,470.0,-2.3,7.9,386.0,-28.9,6.5,14,4.6
164,PERRIGO,Ireland,Pharmaceuticals & Biotechnology,154.7,23.1,"3,792.0",13.4,4.1,112.8,-20.2,3.0,615.8,31.9,16.2,14,32.1
165,GRUNDFOS,Denmark,Industrial Engineering,153.7,-4.4,739.4,-3.2,20.8,,,0.0,21.8,-36.4,3.0,3,-1.3
166,MEGGITT,UK,Aerospace & Defence,153.5,8.2,"1,997.4",-5.1,7.7,42.4,-37.0,2.1,304.9,-21.3,15.3,11,-3.2
167,KING DIGITAL ENTERTAINMENT,Ireland,Software & Computer Services,152.3,60.1,"1,861.7",20.0,8.2,25.8,103.8,1.4,609.6,3.2,32.7,1,80.5
168,ELEKTA,Sweden,Health Care Equipment & Services,151.3,18.3,"1,153.9",1.4,13.1,31.6,26.9,2.7,103.4,-41.0,9.0,4,1.8
169,KWS SAAT,Germany,Food Producers,148.8,5.7,"1,178.0",2.7,12.6,66.5,15.1,5.6,131.4,-8.0,11.2,5,9.1
