eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
206,Iberdrola,Spain,Electricity (753),73.10,12.5,"25,196",44.2,0.3,33.7,28.8,17.0,28,21.3,,
207,Cobham,UK,Aerospace & defence (271),73.03,27.9,"1,517",38.2,4.8,3.6,6.4,8.8,11,19.1,,
208,RSA Insurance,UK,Nonlife insurance (853),72.41,37.3,"7,389",10.7,1.0,1.0,0.4,10.4,22,-0.4,,
209,Sick,Germany,Electronic equipment (2737),72.09,8.2,737,4.2,9.8,4.0,3.5,9.4,5,9.3,,
210,ALTANA,Germany,Chemicals (135),72.07,6.9,"1,342",-2.8,5.4,7.3,6.2,12.3,5,3.1,,
211,Schott,Germany,Construction & materials (235),71.47,-8.1,"2,231",3.3,3.2,13.0,13.7,10.8,17,0.9,,
212,GN Store Nord,Denmark,Telecommunications equipment (9578),71.35,-1.5,756,-6.0,9.4,2.4,1.1,0.6,5,-2.7,,
213,Acciona,Spain,Construction & materials (235),71.30,82.7,"12,665",59.3,0.6,23.7,22.6,13.3,41,16.5,,
214,Bang & Olufsen,Denmark,Leisure goods (374),71.20,7.4,550,-6.5,13.0,4.7,3.6,4.5,3,5.7,,
215,Gameloft,France,Software (9537),70.66,29.9,110,14.8,64.0,2.5,4.7,-3.0,4,17.5,,
216,Qiagen  ,The Netherlands,Biotechnology (4573),70.02,54.2,642,37.4,10.9,4.4,5.3,16.5,3,14.2,,
217,Gedeon Richter,Hungary,Pharmaceuticals (4577),69.22,1.9,888,5.4,7.8,9.3,10.4,14.8,10,11.3,,
218,Bekaert,Belgium,Industrial metals & mining (175),68.53,20.9,"2,662",22.5,2.6,9.0,8.9,10.0,17,11.3,,
219,Enel,Italy,Electricity (753),68.00,88.9,"59,885",40.3,0.1,10.3,10.7,15.2,75,21.9,,
220,Ingenico,France,Electronic equipment (2737),67.55,46.2,728,28.2,9.3,1.8,1.5,7.9,3,70.5,,
221,William Demant,Denmark,Health care equipment & services (453),66.91,7.1,722,-2.1,9.3,2.9,4.1,19.3,5,6.1,,
222,Tomkins,UK,General industrials (272),66.69,24.2,"3,968",27.0,1.7,3.3,3.7,0.4,32,-9.7,,
223,LFB  ,France,Pharmaceuticals (4577),66.57,,352,,18.9,11.1,,5.1,2,,,
224,Kemira,Finland,Chemicals (135),66.40,9.2,"2,833",0.8,2.3,4.5,7.7,1.7,10,-0.5,,
225,Cadbury,UK,Food producers (357),66.20,8.5,"7,006",-15.0,0.9,7.0,4.9,8.4,55,-23.6,,
226,Serco,UK,Support services (279),65.79,-15.8,"3,231",11.1,2.0,1.3,1.1,4.8,43,3.0,,
227,Wendel,France,Other financials (877),64.50,23.1,"5,687",3.9,1.1,6.0,3.3,2.7,54,9.4,,
228,Autonomy,UK,Software (9537),64.44,29.3,362,46.5,17.8,2.8,3.3,36.6,1,10.3,,
229,Nexans,France,Electrical components & equipment (2733),63.00,5.0,"6,799",-8.3,0.9,2.8,2.3,3.1,23,7.2,,
230,Lottomatica,Italy,Travel & leisure (575),62.50,84.4,"2,059",23.9,3.0,11.1,11.5,17.7,7,22.5,,
231,Sorin,Italy,Health care equipment & services (453),62.16,-2.1,757,-3.7,8.2,3.1,2.9,4.8,4,-6.5,,
232,Pace,UK,Telecommunications equipment (9578),61.63,61.6,771,74.0,8.0,0.9,1.9,1.9,1,28.9,,
233,Meggitt,UK,Aerospace & defence (271),61.44,12.3,"1,203",32.4,5.1,3.1,4.7,14.7,8,11.6,,
234,Stada Arzneimittel,Germany,Pharmaceuticals (4577),61.12,24.2,"1,646",4.8,3.7,4.4,2.7,10.5,8,6.8,,
235,BIAL SGPS  ,Portugal,Pharmaceuticals (4577),59.75,72.5,146,0.0,40.8,1.5,2.2,13.0,1,-0.2,,
236,Alfa Laval,Sweden,Industrial machinery (2757),59.50,10.8,"2,534",12.1,2.3,2.7,2.3,20.2,12,9.4,,
237,GEA,Germany,Industrial machinery (2757),59.10,17.7,"5,383",-9.0,1.1,2.9,2.2,7.7,21,4.9,,
238,Spectris,UK,Electrical components & equipment (2733),58.96,26.1,814,17.8,7.2,2.6,1.9,14.5,6,2.5,,
239,Recordati,Italy,Pharmaceuticals (4577),58.86,19.8,690,9.7,8.5,2.0,1.1,19.8,3,20.9,,
240,SCA,Sweden,Forestry & paper (173),58.41,1.3,"10,049",4.3,0.6,7.7,6.5,7.6,52,3.1,,
241,Kone,Finland,Industrial machinery (2757),58.30,15.0,"4,603",12.8,1.3,1.5,1.5,12.2,34,10.2,,
242,Zeltia,Spain,Pharmaceuticals (4577),58.09,12.4,105,23.2,55.2,6.8,3.9,-34.7,1,2.0,,
243,Eramet,France,Industrial metals & mining (175),58.00,56.8,"4,346",14.6,1.3,8.9,7.9,28.6,15,3.7,,
244,TietoEnator (now Tieto),Finland,Computer services (9533),57.90,-13.5,"1,866",5.3,3.1,4.0,2.6,5.8,16,5.2,,
245,Caixa Geral de Depositos,Portugal,Banks (835),57.79,42.0,"3,561",13.1,1.6,3.7,4.3,18.6,20,5.3,,
246,CGGVeritas,France,"Oil equipment, services & distribution (57)",57.50,-3.4,"2,603",9.6,2.2,5.5,9.0,20.5,9,9.3,,
247,Bank of Ireland,Ireland,Banks (835),56.00,-16.4,"3,420",-32.1,1.6,2.2,1.1,-0.2,16,-1.0,,
247,Cognis Deutschland,Germany,Chemicals (135),56.00,-12.5,"3,928",11.7,1.4,2.3,3.3,5.2,6,-22.4,,
247,Fagor Electrodomesticos,Spain,Household goods & home construction (372),56.00,36.6,"1,603",-8.4,3.5,2.9,3.0,0.8,10,-2.0,,
250,Tenaris,Luxembourg,"Oil equipment, services & distribution (57)",55.61,25.3,"8,799",19.0,0.6,3.4,4.1,25.5,24,2.1,,
251,Trelleborg,Sweden,General industrials (272),55.13,19.3,"2,844",0.9,1.9,4.4,3.9,1.1,24,-3.2,,
252,PUMA,Germany,Personal goods (376),55.10,-4.2,"2,524",6.3,2.2,3.9,3.8,12.9,10,14.0,,
253,British Sky Broadcasting,UK,Media (555),54.82,23.2,"5,122",8.8,1.1,4.1,5.9,2.5,14,8.1,,
254,Koenig & Bauer,Germany,Industrial machinery (2757),54.20,-11.4,"1,532",-10.1,3.5,3.5,2.7,-5.4,8,-2.4,,
255,Dyson James  ,UK,Household goods & home construction (372),54.15,2.8,632,18.8,8.6,7.5,4.3,14.6,2,18.8,,
256,Amer Sports,Finland,Leisure goods (374),54.00,-3.9,"1,577",-4.6,3.4,2.3,2.8,4.0,6,-4.5,,
257,Avio,Italy,Aerospace & defence (271),52.69,-9.1,"1,654",7.3,3.2,2.8,4.1,7.1,5,3.9,,
258,HeidelbergCement,Germany,Construction & materials (235),52.60,11.9,"14,376",17.5,0.4,7.4,8.1,12.0,63,13.2,,
259,Husqvarna,Sweden,Industrial machinery (2757),52.40,19.7,"2,942",-2.8,1.8,2.8,2.1,7.4,16,-2.3,,
260,Crucell,The Netherlands,Biotechnology (4573),52.06,14.1,267,31.1,19.5,5.9,13.3,0.9,1,2.4,,
261,Anheuser-Busch Inbev,Belgium,Beverages (353),52.00,160.0,"16,102",11.6,0.3,10.0,10.4,21.9,91,2.5,,
262,Coloplast,Denmark,Health care equipment & services (453),51.86,21.0,"1,137",1.7,4.6,8.5,9.0,11.7,7,5.1,,
263,Intercell,Austria,Biotechnology (4573),51.70,55.1,56,16.6,92.7,69.7,7.1,-32.6,0,42.4,,
264,Andritz,Austria,Industrial machinery (2757),51.24,12.9,"3,610",10.0,1.4,1.8,1.6,6.0,14,14.1,,
265,FrieslandCampina,The Netherlands,Food producers (357),51.00,-5.6,"9,450",5.7,0.5,2.4,3.0,2.6,21,-1.0,,
266,Sopra,France,Computer services (9533),50.10,29.1,"1,129",12.8,4.4,1.1,1.1,8.8,12,12.3,,
267,Industria de Turbo Propulsores  ,Spain,Aerospace & defence (271),50.00,-31.0,483,8.2,10.3,,,8.1,3,11.3,,
268,BBC  ,UK,Media (555),49.44,196.9,"4,459",-2.3,1.1,3.4,3.7,-3.1,23,-1.0,,
269,Groupe SEB,France,Household goods & home construction (372),49.20,5.1,"3,230",12.6,1.5,3.0,2.7,8.1,18,36.9,,
270,UPM-Kymmene,Finland,Forestry & paper (173),49.00,-2.0,"9,461",-5.7,0.5,5.0,6.4,2.1,26,-7.9,,
271,Suez Environnement,France,Support services (279),48.80,,"12,364",,0.4,7.8,,8.3,65,,,
272,Gildemeister,Germany,Industrial machinery (2757),48.56,14.4,"1,904",21.9,2.6,2.2,2.4,8.3,6,8.6,,
273,Unit 4 Agresso,The Netherlands,Software (9537),47.91,36.2,400,5.6,12.0,1.6,2.0,4.9,4,17.1,,
274,Neopost,France,Electronic office equipment (9574),47.70,0.2,918,1.2,5.2,5.1,4.9,25.7,5,6.4,,
275,Sartorius,Germany,Electronic equipment (2737),47.56,6.1,612,3.8,7.8,4.0,5.3,7.9,5,5.6,,
276,Fincantieri,Italy,Commercial vehicles & trucks (2753),47.52,11.3,"2,573",48.3,1.8,4.1,,1.9,9,-0.9,,
277,Hugo Boss,Germany,Personal goods (376),47.50,21.5,"1,686",3.3,2.8,5.9,3.9,11.3,10,8.3,,
278,Cargotec,Finland,Industrial machinery (2757),47.30,1.9,"3,399",12.6,1.4,3.1,2.7,5.1,12,5.3,,
279,Kontron,Germany,Computer hardware (9572),47.22,10.8,497,11.3,9.5,0.7,1.3,9.6,3,3.9,,
280,Sud-Chemie,Germany,Chemicals (135),47.20,12.1,"1,191",10.8,4.0,9.1,9.0,9.7,6,21.4,,
281,Spirent Communications,UK,Telecommunications equipment (9578),46.86,-2.2,267,7.2,17.6,2.9,2.1,19.0,2,-6.9,,
282,Topotarget,Denmark,Biotechnology (4573),46.51,228.2,6,-2.2,788.3,3.2,19.1,-671.2,0,-22.7,,
283,Ktm Power Sports,Austria,Automobiles & parts (335),46.19,72.0,606,7.0,7.6,6.9,4.8,3.3,2,10.5,,
284,Deutsche Bank,Germany,Banks (835),46.00,43.8,"13,490",-56.1,0.3,7.0,2.2,-42.6,80,6.5,,
285,Telekom Austria,Austria,Fixed line telecommunications (653),45.60,-12.3,"5,170",5.1,0.9,11.8,13.1,2.4,18,9.4,,
286,Prysmian,Italy,Electrical components & equipment (2733),45.00,-1.2,"5,144",0.5,0.9,2.0,1.7,8.7,12,1.1,,
287,Technip,France,"Oil equipment, services & distribution (57)",44.90,6.9,"7,481",-5.1,0.6,5.2,3.2,9.2,23,26.4,,
288,RBC Dexia Investor Services,UK,Other financials (877),44.45,60.6,859,-0.9,5.2,1.3,0.7,31.0,5,12.7,,
289,ALK-Abello,Denmark,Pharmaceuticals (4577),43.94,1.2,240,8.0,18.3,20.4,9.9,6.7,1,4.5,,
290,Biotest,Germany,Pharmaceuticals (4577),43.27,26.9,423,29.6,10.2,7.5,8.1,13.2,2,39.5,,
291,LEGO,Denmark,Leisure goods (374),43.26,27.8,"1,280",18.7,3.4,3.9,5.2,22.0,5,28.3,,
292,Grammer,Germany,Automobiles & parts (335),43.15,-18.7,"1,007",0.9,4.3,3.2,3.0,3.1,9,1.8,,
293,Christian Dior,France,Personal goods (376),43.00,-6.5,"17,933",4.0,0.2,5.5,5.0,19.3,73,9.6,,
294,Evotec,Germany,Pharmaceuticals (4577),42.52,15.6,40,-27.2,107.3,8.8,5.8,-185.5,0,-24.5,,
295,Poste Italiane,Italy,Industrial transportation (277),41.77,179.2,"17,694",11.8,0.2,2.7,2.6,8.1,150,-3.9,,
296,Simcorp,Denmark,Software (9537),41.45,25.1,175,8.9,23.7,5.3,2.1,21.6,1,23.1,,
297,Belgacom,Belgium,Fixed line telecommunications (653),41.00,0.0,"5,911",-1.3,0.7,8.7,8.6,19.5,17,-8.3,,
298,ADVA,Germany,Telecommunications equipment (9578),40.96,-3.6,218,-13.4,18.8,1.9,3.4,-3.2,1,8.2,,
299,Laird,UK,Electrical components & equipment (2733),40.34,55.4,657,-0.3,6.1,4.7,4.4,5.8,12,-1.7,,
300,Biovitrum,Sweden,Biotechnology (4573),40.08,-27.8,104,-9.2,38.6,2.1,7.6,-33.9,0,-15.2,,
301,KPMG Europe LLP,UK,Support services (279),40.00,286.8,"3,387",103.8,1.2,1.3,1.2,19.8,19,81.7,,
302,IMI,UK,Industrial machinery (2757),39.51,24.4,"1,966",18.9,2.0,2.6,3.1,11.0,15,1.9,,
303,Jungheinrich,Germany,Commercial vehicles & trucks (2753),39.04,-4.7,"2,145",7.2,1.8,13.9,13.4,5.8,11,6.5,,
304,NKT,Denmark,Electrical components & equipment (2733),38.91,-0.5,"1,858",2.2,2.1,5.5,3.4,5.7,9,13.7,,
305,Elektrobit,Finland,Electronic equipment (2737),38.88,-8.0,172,8.0,22.6,3.3,9.2,-26.5,2,4.3,,
306,Vaillant,Germany,Household goods & home construction (372),38.30,,"2,111",,1.8,2.5,,8.2,10,,,
307,Jenoptik,Germany,Industrial machinery (2757),38.28,-7.3,548,5.1,7.0,3.3,5.6,5.4,3,2.4,,
308,Eureko,The Netherlands,Life insurance (857),38.00,46.2,"17,535",-0.5,0.2,0.7,0.9,-14.9,25,3.7,,
309,ElringKlinger,Germany,Automobiles & parts (335),37.89,21.4,658,8.2,5.8,20.6,15.0,11.5,4,19.1,,
310,KUKA,Germany,Industrial machinery (2757),37.47,0.7,"1,266",-7.9,3.0,1.5,0.9,4.1,6,-5.1,,
311,Option,Belgium,Telecommunications equipment (9578),37.04,21.0,268,-11.1,13.8,1.1,4.3,-10.9,1,4.8,,
312,TNT,The Netherlands,Industrial transportation (277),37.00,-28.8,"10,983",0.9,0.3,2.6,3.6,8.4,163,1.0,,
312,Neste Oil,Finland,Oil & gas producers (53),37.00,32.1,"15,043",24.3,0.2,3.2,2.7,1.1,5,7.6,,
314,Somfy,France,Electrical components & equipment (2733),36.86,10.4,749,4.0,4.9,5.4,4.4,16.3,5,14.6,,
315,SGL Carbon,Germany,Electrical components & equipment (2733),36.20,15.3,"1,612",17.4,2.2,14.7,9.3,18.8,6,13.1,,
316,FLSmidth,Denmark,Construction & materials (235),36.01,27.6,"3,403",26.2,1.1,2.5,1.9,9.6,12,22.7,,
317,WestLB,Germany,Banks (835),36.00,50.0,"1,585",826.9,2.3,1.6,26.9,2.6,6,-3.8,,
317,Delhaize,Belgium,Food & drug retailers (533),36.00,78.2,"19,044",-0.2,0.2,3.7,3.8,4.7,141,2.3,,
317,CSM,The Netherlands,Food producers (357),36.00,5.9,"2,599",2.2,1.4,2.4,4.4,4.2,9,1.1,,
317,Sudzucker,Germany,Food producers (357),36.00,-0.8,"5,871",1.6,0.6,6.3,8.2,6.2,18,-3.8,,
321,Elekta,Sweden,Health care equipment & services (453),35.94,-4.6,462,12.3,7.8,1.1,1.5,13.0,2,8.3,,
322,SkillSoft  ,Ireland,Software (9537),35.86,0.5,236,16.9,15.2,1.8,1.1,25.2,1,-0.8,,
323,Egis Pharmaceuticals,Hungary,Pharmaceuticals (4577),35.78,16.9,411,-6.8,8.7,12.0,10.2,8.9,3,-18.3,,
324,Lifecycle Pharma,Denmark,Biotechnology (4573),35.43,43.6,23,163.1,155.0,3.8,9.1,-102.3,0,59.4,,
325,NeuroSearch,Denmark,Biotechnology (4573),35.40,21.4,9,-42.1,394.6,75.3,13.6,-576.1,0,5.2,,
326,Zumtobel,Austria,Electronic equipment (2737),35.23,5.6,"1,174",-8.4,3.0,5.4,3.9,2.9,8,-2.0,,
327,Meda,Sweden,Pharmaceuticals (4577),35.12,61.5,971,31.1,3.6,0.7,0.9,21.6,3,26.1,,
328,Danieli,Italy,Industrial machinery (2757),35.00,-71.0,"2,624",63.7,1.3,6.5,10.7,8.0,8,16.4,,
328,Benetton,Italy,Personal goods (376),35.00,59.1,"2,140",2.6,1.6,8.9,10.5,11.7,9,4.9,,
330,Barilla,Italy,Food producers (357),34.98,-0.2,"4,245",3.1,0.8,5.1,6.5,5.0,19,-4.5,,
331,Beig Topco,UK,Food producers (357),34.38,333.0,"1,270",212.0,2.7,1.3,1.5,4.9,2,-10.2,,
332,Ultra Electronics,UK,Aerospace & defence (271),34.24,13.2,533,24.8,6.4,2.8,2.1,12.3,4,17.3,,
333,Boliden,Sweden,Mining (177),34.21,16.8,"2,819",-6.7,1.2,14.9,7.6,3.2,5,1.9,,
334,Talanx,Germany,Nonlife insurance (853),34.00,183.3,"17,523",-6.7,0.2,0.9,0.6,2.6,17,1.2,,
335,"Wavecom (now part of Sierra Wireless, Canada)  ",France,Telecommunications equipment (9578),33.56,7.8,202,7.2,16.6,,,6.2,0,9.4,,
336,Abengoa,Spain,General industrials (272),33.54,-38.6,"3,769",17.3,0.9,20.0,14.8,8.0,23,34.7,,
337,Vectura,UK,Pharmaceuticals (4577),33.41,8.9,32,23.7,103.5,5.5,3.0,-67.0,0,-2.1,,
338,Nemetschek,Germany,Software (9537),33.34,14.3,150,2.9,22.2,1.6,1.2,14.1,1,-0.7,,
339,SMA Solar Technology,Germany,Alternative energy (58),33.11,78.6,682,108.2,4.9,10.3,3.3,24.6,3,57.1,,
340,Wilo,Germany,Industrial machinery (2757),32.71,26.5,977,5.4,3.3,5.1,4.6,9.0,6,3.5,,
341,Cegedim,France,Computer services (9533),32.69,179.9,849,12.7,3.9,6.0,5.3,10.6,8,2.6,,
342,ELMOS Semiconductor,Germany,Semiconductors (9576),32.44,-0.9,175,-0.6,18.5,8.9,9.8,7.8,1,-5.1,,
343,Auriga Industries,Denmark,Chemicals (135),32.29,79.3,761,4.6,4.2,2.5,2.9,9.0,2,17.9,,
344,Imagination Technologies,UK,Semiconductors (9576),32.18,15.8,66,15.7,48.5,2.3,3.4,4.1,1,17.2,,
345,Gamesa,Spain,Industrial machinery (2757),32.06,3.7,"4,091",25.5,0.8,2.9,1.8,5.7,7,9.6,,
346,Lafarge,France,Construction & materials (235),32.00,-27.3,"19,033",8.1,0.2,14.5,11.2,16.4,75,8.5,,
346,De'Longhi,Italy,Household goods & home construction (372),32.00,9.7,"1,533",2.9,2.1,2.2,3.1,6.9,7,-1.9,,
348,Cookson,UK,General industrials (272),31.76,32.9,"2,278",35.9,1.4,3.3,3.7,5.8,17,28.5,,
349,Experian,UK,Support services (279),31.66,-27.9,"2,931",-1.4,1.1,1.9,2.5,16.2,15,-7.2,,
350,KSB,Germany,Industrial machinery (2757),31.65,1.5,"1,992",12.5,1.6,5.0,3.0,10.4,14,3.0,,
351,JCB Service  ,UK,Commercial vehicles & trucks (2753),30.93,-8.6,"2,207",28.2,1.4,3.1,2.7,7.5,7,13.1,,
352,Vocalink  ,UK,Computer services (9533),30.78,-7.0,144,7.4,21.4,7.6,4.6,-6.6,1,8.2,,
353,Q-Cells,Germany,Alternative energy (58),30.50,77.3,"1,251",45.7,2.4,27.2,28.7,18.5,2,56.9,,
354,Pearson,UK,Media (555),30.00,45.0,"4,985",11.3,0.6,1.6,2.1,14.0,34,3.0,,
355,Pharmathen  ,Greece,Pharmaceuticals (4577),29.98,61.3,74,70.6,40.4,15.2,7.3,15.0,0,20.4,,
356,Betfair  ,UK,Travel & leisure (575),29.89,31.8,242,28.4,12.4,5.2,8.2,16.3,1,25.9,,
357,Santaris Pharma,Denmark,Biotechnology (4573),29.61,71.5,9,76.6,330.1,10.6,28.3,-273.5,0,49.3,,
358,Energie Baden,Germany,Electricity (753),29.30,-26.2,"16,305",10.1,0.2,7.3,5.8,9.3,20,0.9,,
359,Edwards,UK,Industrial machinery (2757),29.17,27.0,527,63.7,5.5,3.4,2.5,4.8,4,-14.6,,
360,Alecta  ,Sweden,Life insurance (857),29.11,27.5,"1,748",-66.7,1.7,0.1,,178.3,1,2.0,,
361,Beru,Germany,Automobiles & parts (335),29.04,-15.3,409,-9.1,7.1,4.3,5.5,-6.4,2,-9.3,,
362,Tate & Lyle,UK,Food producers (357),28.96,-12.5,"4,557",23.4,0.6,5.2,7.9,3.1,6,-18.5,,
362,ICAP,UK,Other financials (877),28.96,15.2,"1,656",24.8,1.7,2.2,1.5,18.1,4,15.2,,
364,Funkwerk,Germany,Mobile telecommunications (657),28.73,4.9,290,-0.1,9.9,1.8,2.3,3.7,2,7.9,,
364,Wolfson Microelectronics,UK,Semiconductors (9576),28.73,-2.2,143,-14.4,20.1,2.3,5.1,4.2,0,3.1,,
366,Punch International,Belgium,Industrial machinery (2757),28.49,55.9,342,3.0,8.3,13.4,33.8,13.9,2,-18.0,,
367,Transgene,France,Biotechnology (4573),28.39,4.7,4,-82.7,636.5,412.3,4.0,-579.6,0,12.6,,
368,AVEVA,UK,Software (9537),28.27,28.3,170,28.6,16.7,2.2,1.4,34.5,1,22.0,,
369,Renishaw,UK,Electronic equipment (2737),28.25,16.6,208,11.2,13.6,2.6,5.4,18.8,2,1.9,,
370,Rockwool International,Denmark,Construction & materials (235),28.22,-16.6,"1,841",-1.5,1.5,17.3,12.1,11.2,9,1.5,,
371,Haldex,Sweden,Automobiles & parts (335),28.02,10.8,764,5.8,3.7,4.1,4.8,1.1,6,8.8,,
371,LKAB,Sweden,Mining (177),28.02,48.1,"2,104",41.2,1.3,20.4,37.6,44.6,4,5.2,,
373,Latecoere,France,Aerospace & defence (271),28.00,-64.6,684,39.8,4.1,2.6,3.1,4.7,4,-3.7,,
374,Novomatic,Austria,Travel & leisure (575),27.69,17.5,"1,281",33.4,2.2,31.7,30.4,27.0,9,42.8,,
375,Morphosys,Germany,Biotechnology (4573),27.60,24.1,72,15.6,38.5,2.3,1.7,23.0,0,7.2,,
376,Ion Beam Applications,Belgium,Health care equipment & services (453),27.26,57.8,333,55.5,8.2,5.6,10.1,3.9,2,52.0,,
377,NATS,UK,Industrial transportation (277),27.10,-2.2,768,5.9,3.5,14.3,15.1,17.7,5,0.0,,
378,Same Deutz-Fahr  ,Italy,Commercial vehicles & trucks (2753),27.00,-2.4,"1,220",10.9,2.2,2.0,,2.9,3,-4.8,,
378,Fortum,Finland,Electricity (753),27.00,28.6,"5,636",25.8,0.5,19.5,14.4,35.5,14,69.5,,
378,Rautaruukki,Finland,Industrial metals & mining (175),27.00,-3.6,"3,851",-0.6,0.7,4.6,3.5,14.6,15,1.6,,
381,Parrot,France,Telecommunications equipment (9578),26.99,13.3,207,-6.0,13.1,1.1,1.3,7.5,0,4.0,,
382,Axis,Sweden,Computer hardware (9572),26.79,42.7,180,18.2,14.9,1.4,0.9,16.8,1,30.8,,
383,Homag,Germany,Industrial machinery (2757),26.41,-3.5,856,2.3,3.1,2.6,2.7,6.8,5,6.9,,
384,Patria,Finland,Aerospace & defence (271),26.40,169.4,535,-1.2,4.9,5.3,3.8,1.5,3,5.6,,
385,Aixtron,Germany,Semiconductors (9576),26.37,14.7,274,27.7,9.6,4.2,2.8,11.1,1,7.1,,
386,Akka Technologies,France,Computer services (9533),26.17,-26.3,382,61.7,6.9,0.9,1.3,4.8,5,59.1,,
387,Wacker Construction Equipment (now Wacker Neuson),Germany,Industrial machinery (2757),26.13,23.0,870,17.3,3.0,10.4,10.0,6.7,4,0.2,,
388,Paul Hartmann,Germany,Health care equipment & services (453),26.10,-1.5,"1,377",7.5,1.9,2.8,2.0,3.5,9,4.3,,
389,Munich Re,Germany,Nonlife insurance (853),26.00,8.3,"46,106",-2.6,0.1,0.3,0.1,6.3,44,14.4,,
390,Anglo American,UK,Mining (177),25.90,-12.2,"18,929",-10.9,0.1,21.8,14.0,30.3,105,-9.5,,
391,Aeffe,Italy,Personal goods (376),25.75,4.7,295,0.5,8.7,4.7,3.2,7.4,2,5.7,,
392,Sophos,UK,Software (9537),25.74,23.7,87,13.5,29.6,2.4,2.8,-9.3,1,9.3,,
393,austriamicrosystems,Austria,Semiconductors (9576),25.60,11.5,185,3.3,13.9,6.5,10.4,9.8,1,5.4,,
394,CEGID,France,Software (9537),25.48,2.2,249,3.1,10.3,0.7,1.5,12.3,2,4.9,,
395,Hunter Douglas,The Netherlands,Household goods & home construction (372),25.18,6.1,"2,117",-2.8,1.2,4.5,4.6,4.4,19,-7.9,,
396,Micro Focus International,UK,Software (9537),25.09,48.2,164,33.0,15.3,1.4,0.5,32.8,1,26.6,,
397,MediGene,Germany,Biotechnology (4573),25.05,-1.2,34,51.9,74.8,0.9,5.0,-110.8,0,-5.7,,
398,LM Glasfiber,Denmark,Chemicals (135),25.02,40.6,885,52.7,2.8,26.6,13.0,10.3,6,30.8,,
399,Metsaliitto,Finland,Forestry & paper (173),25.00,-13.8,"7,715",-13.7,0.3,3.9,5.0,-5.7,18,-18.8,,
400,Seton House  ,UK,Support services (279),24.83,42.9,344,-12.9,7.2,2.1,2.0,-1.1,3,-9.4,,
401,Guerbet,France,Pharmaceuticals (4577),24.68,-6.8,321,4.8,7.7,8.6,12.8,11.0,1,0.7,,
402,Dialog Semiconductor,UK,Semiconductors (9576),24.38,14.5,116,86.5,20.9,2.4,4.8,3.3,0,11.8,,
403,F-Secure,Finland,Computer services (9533),24.37,22.0,113,16.8,21.6,1.7,1.7,20.5,1,36.0,,
404,Lantmannen  ,Sweden,Food producers (357),24.20,-21.8,"3,875",19.1,0.6,6.2,6.1,1.0,13,-1.2,,
405,SBM Offshore,The Netherlands,"Oil equipment, services & distribution (57)",24.19,31.5,"2,202",6.6,1.1,32.3,19.1,8.8,3,20.2,,
406,Eppendorf,Germany,Health care equipment & services (453),24.12,21.5,410,18.6,5.9,,,17.5,2,20.2,,
407,Vaisala,Finland,Electronic equipment (2737),24.10,4.3,243,8.2,9.9,4.9,3.1,15.7,1,5.8,,
407,John Lewis,UK,General retailers (537),24.10,9.4,"6,268",6.3,0.4,5.6,6.5,6.6,68,2.0,,
409,Duerr,Germany,Industrial machinery (2757),24.05,12.7,"1,603",8.4,1.5,0.6,0.7,4.5,6,4.3,,
410,Datalogic,Italy,Electronic equipment (2737),24.03,-5.8,404,5.9,5.9,3.2,2.8,7.8,2,0.5,,
411,Energia de Portugal,Portugal,Electricity (753),24.00,,"13,894",26.2,0.2,26.3,26.7,11.8,12,-6.5,,
412,Melexis,Belgium,Semiconductors (9576),23.82,-2.3,186,-9.1,12.8,5.2,7.4,13.0,1,1.2,,
413,Ahlstrom,Finland,Chemicals (135),23.80,-0.4,"1,802",2.4,1.3,6.6,8.5,0.4,7,6.6,,
413,BIC,France,Household goods & home construction (372),23.80,-2.9,"1,421",-2.4,1.7,5.3,5.0,14.6,8,-3.1,,
415,Rexam,UK,General industrials (272),23.79,53.3,"4,777",20.8,0.5,8.1,8.3,8.3,24,1.3,,
416,Halma,UK,Electronic equipment (2737),23.70,22.6,472,14.6,5.0,3.3,3.7,16.6,4,9.1,,
417,Clarins,France,Personal goods (376),23.63,4.1,"1,008",4.2,2.3,6.0,5.0,11.3,6,4.7,,
418,888,UK,Travel & leisure (575),23.51,39.1,185,20.4,12.7,3.4,3.6,14.5,1,9.8,,
419,IMA Industria Macchine Automatiche,Italy,Industrial machinery (2757),23.42,-0.1,547,17.8,4.3,1.8,1.4,13.1,3,15.9,,
420,Arcandor,Germany,General retailers (537),23.36,-40.3,"20,025",24.7,0.1,4.2,0.8,-2.2,86,6.4,,
421,Oxford Biomedica,UK,Pharmaceuticals (4577),23.26,1.6,19,154.8,122.2,0.8,3.9,-75.0,0,6.3,,
422,Bull,France,Computer hardware (9572),23.00,-48.8,"1,133",1.4,2.0,1.2,1.3,1.1,8,2.6,,
423,GfK,Germany,Support services (279),22.98,-5.7,"1,220",5.0,1.9,2.8,2.2,10.9,10,10.2,,
424,"Zentiva (now part of Sanofi-Aventis, France)",Czech Republic,Pharmaceuticals (4577),22.84,23.7,553,19.0,4.1,6.9,7.5,13.0,6,29.6,,
