eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
19,SAP,Germany,Software (9537),"1,627.00",11.4,"11,575",12.9,14.1,2.5,3.3,22.8,52,22.1,,
20,Philips Electronics,The Netherlands,Leisure goods (374),"1,613.00",0.6,"26,513",-1.9,6.1,2.9,2.4,-0.3,126,0.6,,
21,STMicroelectronics,The Netherlands,Semiconductors (9576),"1,544.62",19.3,"7,045",-1.7,21.9,13.9,12.3,-6.3,52,-0.7,,
22,Continental,Germany,Automobiles & parts (335),"1,524.20",81.0,"24,239",45.8,6.3,6.4,5.1,-1.4,148,58.0,,
23,Volvo,Sweden,Commercial vehicles & trucks (2753),"1,479.40",26.0,"27,627",6.4,5.4,5.0,4.4,4.9,97,5.2,,
24,BASF,Germany,Chemicals (135),"1,372.00",-2.0,"62,304",7.5,2.2,4.5,4.4,10.2,97,1.1,,
25,Merck,Germany,Pharmaceuticals (4577),"1,234.40",9.9,"7,558",-10.6,16.3,5.2,3.3,9.6,32,3.8,,
26,BT,UK,Fixed line telecommunications (653),"1,157.49",-10.6,"22,126",3.3,5.2,10.5,12.2,2.1,111,1.9,,
27,Novo Nordisk,Denmark,Pharmaceuticals (4577),994.94,-0.3,"6,121",8.9,16.3,3.9,5.5,26.9,26,7.1,,
28,Unilever,UK,Food producers (357),927.00,6.8,"40,523",0.8,2.3,2.9,3.2,11.6,174,-0.6,,
29,Royal Dutch Shell,UK,Oil & gas producers (53),910.80,5.4,"329,760",28.8,0.3,7.5,6.7,11.1,102,-1.9,,
30,France Telecom,France,Fixed line telecommunications (653),900.00,0.7,"53,488",1.0,1.7,10.2,10.2,19.2,183,-0.5,,
31,Porsche Automobile,Germany,Automobiles & parts (335),899.64,22.6,"7,466",1.3,12.0,15.8,15.2,116.7,12,5.0,,
32,NXP,The Netherlands,Semiconductors (9576),862.60,-18.5,"3,916",-15.4,22.0,7.0,8.6,-46.8,30,-19.8,,
33,Valeo,France,Automobiles & parts (335),786.00,-0.5,"8,664",-14.3,9.1,5.5,4.4,-0.8,51,-16.3,,
34,UCB,Belgium,Pharmaceuticals (4577),767.00,-1.8,"3,601",-0.7,21.3,2.9,6.1,3.1,11,-6.7,,
35,Vivendi,France,Media (555),721.00,70.4,"25,392",17.2,2.8,5.9,5.2,11.9,44,10.8,,
36,Schneider,France,Electrical components & equipment (2733),708.00,4.9,"18,311",5.8,3.9,2.4,2.4,14.1,126,6.0,,
37,Telecom Italia,Italy,Fixed line telecommunications (653),704.00,477.0,"30,468",-2.6,2.3,9.1,10.1,17.4,76,-1.8,,
38,Infineon Technologies,Germany,Semiconductors (9576),673.00,-4.1,"6,106",-20.5,11.0,5.1,18.1,-59.8,42,-0.2,,
39,ZF,Germany,Automobiles & parts (335),670.00,0.6,"12,501",-1.2,5.4,7.5,4.6,6.1,61,6.6,,
40,Telefonica,Spain,Fixed line telecommunications (653),668.00,12.5,"57,946",2.7,1.2,11.7,11.9,23.1,252,3.2,,
41,Royal Bank of Scotland,UK,Banks (835),622.71,25.2,"29,417",-8.6,2.1,18.3,14.7,-140.9,229,34.5,,
42,ALSTOM,France,Industrial machinery (2757),621.00,10.7,"18,739",10.8,3.3,2.7,2.2,8.1,72,5.3,,
43,Deutsche Telekom,Germany,Fixed line telecommunications (653),614.00,12.0,"61,666",-1.4,1.0,12.0,11.0,10.1,235,-3.6,,
44,TOTAL,France,Oil & gas producers (53),612.00,3.0,"160,331",17.2,0.4,7.1,7.5,15.6,97,0.5,,
45,SAFRAN,France,Aerospace & defence (271),609.00,-31.3,"10,621",-7.6,5.7,4.8,4.1,0.3,56,7.0,,
46,L'Oreal,France,Personal goods (376),581.30,3.8,"17,542",2.8,3.3,3.9,4.1,14.6,68,6.8,,
47,Solvay,Belgium,Chemicals (135),578.00,1.4,"9,490",-0.9,6.1,7.1,6.5,5.9,29,3.9,,
48,Thales,France,Aerospace & defence (271),569.20,-2.5,"12,665",3.0,4.5,3.0,2.8,5.8,63,3.4,,
49,AREVA,France,Electricity (753),554.00,-2.8,"13,160",10.4,4.2,8.8,6.8,4.1,75,15.0,,
50,HSBC,UK,Banks (835),549.65,30.2,"63,721",1.1,0.9,3.4,3.1,10.5,331,2.8,,
51,ASML,The Netherlands,Semiconductors (9576),533.78,9.2,"2,954",-22.4,18.1,11.3,6.1,12.5,7,10.5,,
52,Rolls-Royce,UK,Aerospace & defence (271),506.86,7.9,"9,394",22.2,5.4,3.1,4.1,9.4,39,1.0,,
53,Michelin,France,Automobiles & parts (335),499.00,-12.6,"16,408",-2.7,3.0,7.1,7.6,5.2,120,-1.6,,
54,Henkel,Germany,Household goods & home construction (372),439.00,16.1,"14,131",8.1,3.1,3.3,3.6,6.1,56,6.1,,
55,BP,UK,Oil & gas producers (53),428.06,5.1,"259,818",27.0,0.2,5.1,6.1,9.3,96,-1.5,,
56,MAN,Germany,Commercial vehicles & trucks (2753),424.00,18.4,"16,585",0.1,2.6,8.2,7.0,9.7,49,-4.8,,
