eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profitability_%,employees,employees_1_year_growth_%
1,Volkswagen,Germany,Automobiles & parts (335),"6,258.00",8.1,"126,875",23.9,4.9,10.1,10.7,10.1,7.1,352,4.0
2,Nokia,Finland,Telecommunications equipment (9578),"4,938.00",-1.2,"42,446",3.6,11.6,1.6,1.4,1.6,4.5,129,5.0
3,Daimler,Germany,Automobiles & parts (335),"4,852.00",16.5,"97,761",23.9,5.0,15.8,16.7,15.8,7.1,258,-0.2
4,Sanofi-Aventis ,France,Pharmaceuticals (4577),"4,390.00",-3.9,"32,367",8.7,13.6,3.7,4.5,3.7,23.0,107,2.2
5,GlaxoSmithKline,UK,Pharmaceuticals (4577),"4,378.96",3.4,"33,136",0.1,13.2,3.7,5.0,3.7,13.5,98,-0.4
6,Siemens,Germany,Electrical components & equipment (2733),"4,241.00",-1.0,"75,980",-0.9,5.6,3.5,4.0,3.5,7.3,403,-2.6
7,Robert Bosch,Germany,Automobiles & parts (335),"3,824.00",6.9,"47,259",23.8,8.1,5.0,4.9,5.0,6.7,276,0.7
8,Bayer,Germany,Chemicals (135),"3,211.00",8.3,"35,088",12.6,9.2,3.5,4.3,3.5,7.5,114,4.8
9,AstraZeneca,UK,Pharmaceuticals (4577),"3,204.55",-3.0,"24,799",1.4,12.9,2.4,2.9,2.4,34.4,62,-3.4
10,EADS,The Netherlands,Aerospace & defence (271),"3,084.00",7.2,"45,752",6.8,6.7,4.8,4.0,4.8,2.5,122,1.8
11,Ericsson,Sweden,Telecommunications equipment (9578),"3,022.42",11.5,"22,548",-1.5,13.4,1.8,1.9,1.8,8.0,92,6.3
12,BMW,Germany,Automobiles & parts (335),"2,773.00",13.3,"58,365",22.1,4.8,19.8,23.0,19.8,8.5,94,-1.8
13,Alcatel-Lucent,France,Telecommunications equipment (9578),"2,559.00",5.1,"15,785",6.0,16.2,2.3,2.2,2.3,-3.0,80,1.8
14,Boehringer Ingelheim,Germany,Pharmaceuticals (4577),"2,453.00",10.7,"12,586",-1.1,19.5,4.1,5.0,4.1,14.8,42,1.7
15,Peugeot (PSA),France,Automobiles & parts (335),"2,402.00",3.8,"56,061",15.8,4.3,3.2,3.5,3.2,3.2,198,6.4
16,Finmeccanica,Italy,Aerospace & defence (271),"1,967.00",2.1,"16,991",3.0,11.6,3.0,3.1,3.0,6.6,75,3.6
17,Fiat,Italy,Automobiles & parts (335),"1,936.00",14.4,"57,222",16.1,3.4,4.6,5.4,4.6,3.8,197,3.2
18,Volvo,Sweden,Commercial vehicles & trucks (2753),"1,799.06",4.7,"29,356",21.2,6.1,4.5,5.3,4.5,6.6,94,7.0
19,SAP,Germany,Software (9537),"1,730.00",12.1,"12,464",16.8,13.9,2.1,1.9,2.1,20.7,50,3.1
20,Renault,France,Automobiles & parts (335),"1,728.00",5.2,"38,158",16.5,4.5,4.8,6.5,4.8,4.6,125,0.4
21,Philips Electronics,The Netherlands,Leisure goods (374),"1,697.00",-1.0,"25,419",9.6,6.7,2.6,2.3,2.6,8.0,117,-0.5
22,STMicroelectronics,The Netherlands,Semiconductors (9576),"1,627.99",-1.7,"7,712",21.6,21.1,12.5,8.5,12.5,5.6,53,3.4
23,Continental,Germany,Automobiles & parts (335),"1,524.90",8.5,"26,047",29.6,5.9,4.8,4.2,4.8,7.4,143,7.0
24,BASF,Germany,Chemicals (135),"1,507.00",6.9,"63,873",26.0,2.4,5.2,8.1,5.2,12.6,106,0.5
25,Merck DE,Germany,Pharmaceuticals (4577),"1,397.10",3.9,"8,929",15.3,15.6,4.4,6.0,4.4,11.3,36,10.6
26,Banco Santander,Spain,Banks (835),"1,338.49",56.3,"42,067",3.9,3.2,,,,27.7,173,1.7
27,Novo Nordisk,Denmark,Pharmaceuticals (4577),"1,272.31",27.3,"8,156",19.0,15.6,5.6,5.2,5.6,31.1,29,5.1
28,Vivendi,France,Media (555),"1,111.00",27.1,"28,878",6.4,3.8,8.1,6.5,8.1,17.6,55,13.0
29,BT,UK,Fixed line telecommunications (653),961.69,-19.9,"23,431",-3.8,4.1,10.4,8.9,10.4,12.4,95,-7.0
30,Unilever,UK,Food producers (357),928.00,4.2,"44,262",11.1,2.1,3.8,3.4,3.8,13.7,165,-1.8
31,Porsche,Germany,Automobiles & parts (335),924.00,24.4,"46,349",606.0,2.0,10.5,,10.5,17.7,148,999.9
32,Telefonica,Spain,Fixed line telecommunications (653),901.00,16.0,"60,737",7.1,1.5,11.3,10.5,11.3,20.3,269,5.4
33,Royal Bank of Scotland,UK,Banks (835),865.99,32.7,"38,866",-13.9,2.2,5.5,8.9,5.5,0.1,160,-17.9
34,France Telecom,France,Fixed line telecommunications (653),845.00,-2.0,"46,785",-8.2,1.8,9.2,8.6,9.2,16.3,161,-3.4
35,Royal Dutch Shell,UK,Oil & gas producers (53),759.58,-9.4,"274,355",32.3,0.3,7.6,9.8,7.6,8.7,97,-4.0
36,HSBC,UK,Banks (835),715.60,25.8,"59,644",1.8,1.2,3.2,2.6,3.2,23.8,302,-2.3
37,TOTAL,France,Oil & gas producers (53),715.00,10.0,"159,269",42.0,0.4,7.1,10.0,7.1,12.7,93,-3.7
38,Schneider,France,Electrical components & equipment (2733),705.00,4.4,"19,580",24.0,3.6,1.9,2.2,1.9,13.6,123,6.4
39,ALSTOM,France,Industrial machinery (2757),703.00,26.0,"20,923",6.5,3.4,2.3,2.2,2.3,3.8,85,23.8
40,UCB,Belgium,Pharmaceuticals (4577),701.00,4.0,"3,218",3.3,21.8,1.7,1.2,1.7,4.8,9,-4.6
41,Telecom Italia,Italy,Fixed line telecommunications (653),698.00,-17.1,"27,571",-2.7,2.5,10.2,8.9,10.2,22.2,70,-2.7
42,L'Oreal,France,Personal goods (376),664.70,9.1,"19,496",11.6,3.4,3.1,3.0,3.1,14.9,67,3.1
43,Thales,France,Aerospace & defence (271),655.70,-1.2,"13,125",3.1,5.0,1.8,2.1,1.8,-2.6,64,-0.9
44,Seagate Technology,Ireland,Computer hardware (9572),653.73,-8.0,"8,494",16.2,7.7,5.6,6.5,5.6,15.2,53,11.9
45,ZF,Germany,Automobiles & parts (335),621.00,2.5,"12,907",37.7,4.8,4.5,5.5,4.5,5.0,63,3.4
46,Rolls-Royce,UK,Aerospace & defence (271),590.55,7.4,"12,937",6.4,4.6,3.3,2.8,3.3,10.2,39,1.0
47,BP,UK,Oil & gas producers (53),581.43,32.9,"221,469",24.2,0.3,5.6,7.1,5.6,-3.6,79,-6.8
48,Valeo,France,Automobiles & parts (335),557.00,10.1,"9,632",28.4,5.8,3.3,4.3,3.3,6.0,58,11.2
49,Michelin,France,Automobiles & parts (335),545.00,7.7,"17,891",20.8,3.0,5.6,4.1,5.6,9.6,110,-2.2
50,SAFRAN,France,Aerospace & defence (271),540.00,-14.1,"11,028",4.0,4.9,2.8,4.2,2.8,7.0,53,-3.3
51,ASML,The Netherlands,Semiconductors (9576),523.43,12.1,"4,508",182.4,11.6,7.6,16.5,7.6,25.2,7,12.6
52,AREVA,France,Electricity (753),520.00,14.5,"11,112",-20.6,4.7,12.2,9.5,12.2,-2.9,48,-39.8
53,MAN,Germany,Commercial vehicles & trucks (2753),513.00,18.5,"14,675",17.8,3.5,7.3,5.8,7.3,8.7,46,-3.1
54,Shire,UK,Pharmaceuticals (4577),493.09,18.1,"2,587",15.3,19.1,9.4,8.5,9.4,22.5,4,7.9
55,Electricite de France,France,Electricity (753),486.00,11.0,"72,481",9.3,0.7,14.5,14.4,14.5,6.0,159,-3.3
56,Infineon Technologies,Germany,Semiconductors (9576),478.00,-7.2,"4,616",25.6,10.4,7.2,2.8,7.2,11.5,26,-12.9
57,NXP Semiconductors,The Netherlands,Semiconductors (9576),423.40,-26.0,"3,545",23.8,11.9,5.4,2.5,5.4,6.0,25,-9.7
58,DSM,The Netherlands,Chemicals (135),410.00,4.3,"9,050",15.1,4.5,4.2,5.1,4.2,8.9,22,-3.0
59,Saint-Gobain,France,Construction & materials (235),406.00,3.0,"40,119",6.2,1.0,3.6,3.3,3.6,6.3,193,-2.9
60,Henkel,Germany,Household goods & home construction (372),393.00,-1.5,"15,092",11.2,2.6,1.6,2.5,1.6,11.4,48,-6.3
61,Lundbeck,Denmark,Pharmaceuticals (4577),385.28,-5.0,"1,981",7.4,19.4,3.2,3.3,3.2,23.0,6,2.9
62,Vestas Wind Systems,Denmark,Alternative energy (58),358.00,49.8,"6,920",4.3,5.2,6.6,9.1,6.6,4.5,22,6.6
63,Vodafone,UK,Mobile telecommunications (657),334.96,-5.3,"53,551",3.2,0.6,10.3,11.2,10.3,19.0,84,-1.3
64,Covidien,Ireland,Health care equipment & services (453),333.20,2.1,"8,072",1.4,4.1,3.7,3.9,3.7,20.0,42,-0.7
65,Danske Bank,Denmark,Banks (835),332.00,2.3,"9,811",-18.6,3.4,2.1,2.3,2.1,7.9,22,-4.4
66,Evonik Industries,Germany,General industrials (272),331.00,11.8,"16,267",24.4,2.0,4.6,5.9,4.6,10.5,39,-1.6
67,Amadeus,Spain,Computer services (9533),325.78,33.2,"2,705",9.9,12.0,2.1,2.3,2.1,12.9,8,5.1
68,UBIsoft Entertainment,France,Software (9537),323.24,-3.3,"1,039",19.3,31.1,1.6,1.5,1.6,-13.0,6,2.4
69,Hella,Germany,Automobiles & parts (335),322.80,-7.1,"3,550",8.1,9.1,5.9,7.4,5.9,4.2,23,0.0
70,Dassault Systemes,France,Software (9537),322.12,6.5,"1,564",25.0,20.6,1.9,1.2,1.9,18.8,8,-4.2
71,BAE Systems,UK,Aerospace & defence (271),317.45,16.2,"24,622",3.5,1.3,1.9,2.4,1.9,7.7,95,1.1
72,Deutsche Bank,Germany,Banks (835),316.00,146.9,"30,571",9.6,1.0,2.9,2.1,2.9,13.0,82,4.2
73,AKZO Nobel,The Netherlands,Chemicals (135),314.00,-1.3,"15,417",11.0,2.0,3.6,3.8,3.6,8.4,55,-6.0
74,MAHLE,Germany,Automobiles & parts (335),309.99,25.8,"5,261",36.1,5.9,,,,5.2,44,0.2
75,Accenture,Ireland,Support services (279),286.02,-11.8,"17,215",-0.3,1.7,1.0,1.1,1.0,12.6,204,15.3
76,BSH Bosch und Siemens Hausgerate,Germany,Household goods & home construction (372),286.00,5.5,"9,073",7.9,3.2,4.3,3.3,4.3,7.9,41,3.2
