eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profitability_%,employees,employees_1_year_growth_%
77,Carl Zeiss,Germany,Health care equipment & services (453),285.81,0.6,"2,981",41.9,9.6,1.9,3.9,1.9,13.3,13,-1.9
78,Tesco,UK,Food & drug retailers (533),283.61,118.9,"71,113",7.1,0.4,5.4,5.1,5.4,5.6,493,4.4
79,Sandvik,Sweden,Industrial machinery (2757),275.54,3.0,"9,165",14.9,3.0,3.8,5.8,3.8,13.3,46,-3.1
80,Reed Elsevier,UK,Media (555),268.43,28.5,"7,067",-0.3,3.8,1.4,1.3,1.4,18.1,31,-6.9
81,Deutsche Telekom,Germany,Fixed line telecommunications (653),262.00,-39.4,"62,421",-3.4,0.4,11.6,11.4,11.6,9.6,252,-2.0
82,RWE,Germany,"Gas, water & multiutilities (757)",261.00,22.0,"50,722",8.8,0.5,12.3,11.7,12.3,13.4,71,3.2
83,Intesa Sanpaolo,Italy,Banks (835),252.00,19.4,"16,297",-11.5,1.5,3.1,3.3,3.1,20.2,99,-7.8
84,Diehl,Germany,General industrials (272),251.50,4.5,"2,725",23.6,9.2,2.5,2.7,2.5,5.5,13,7.2
85,ThyssenKrupp,Germany,Industrial metals & mining (175),251.00,-13.4,"42,621",5.1,0.6,8.0,10.0,8.0,2.6,177,-8.2
86,Fresenius,Germany,Health care equipment & services (453),244.00,1.7,"15,972",12.8,1.5,4.7,4.5,4.7,15.1,134,4.9
87,ArcelorMittal,Luxembourg,Industrial metals & mining (175),240.02,27.3,"62,200",28.2,0.4,4.3,3.9,4.3,4.3,274,-2.8
88,UniCredit,Italy,Banks (835),233.28,63.8,"25,632",-5.4,0.9,4.6,5.6,4.6,7.8,169,-3.3
89,Societe Generale,France,Banks (835),231.00,-8.0,"26,418",21.6,0.9,17.2,18.1,17.2,22.1,161,0.3
90,GDF SUEZ,France,"Gas, water & multiutilities (757)",222.00,1.8,"84,478",5.7,0.3,9.8,10.6,9.8,10.6,236,-2.7
91,Eni,Italy,Oil & gas producers (53),221.00,6.8,"98,523",18.4,0.2,12.5,14.8,12.5,16.6,79,0.2
91,Rabobank,The Netherlands,Banks (835),221.00,36.4,"11,275",-3.5,2.0,17.2,12.1,17.2,23.1,60,4.0
93,Electrolux,Sweden,Household goods & home construction (372),220.99,0.1,"11,790",-2.6,1.9,3.2,2.0,3.2,4.8,52,1.8
94,Rheinmetall,Germany,Automobiles & parts (335),214.00,8.1,"3,989",16.6,5.4,3.3,2.9,3.3,6.6,20,-0.2
95,Nycomed,Luxembourg,Pharmaceuticals (4577),211.66,-13.8,"3,111",0.1,6.8,2.2,2.3,2.2,-1.4,12,3.5
96,BAT,UK,Tobacco (378),211.25,19.1,"17,370",4.8,1.2,3.5,3.3,3.5,32.7,60,-1.0
97,Behr,Germany,Automobiles & parts (335),209.00,1.5,"3,350",35.7,6.2,,,,2.9,17,-3.2
97,Danone,France,Food producers (357),209.00,1.5,"17,010",13.5,1.2,4.8,4.0,4.8,15.0,101,24.7
99,Vattenfall,Sweden,Electricity (753),207.57,23.3,"23,681",4.0,0.9,21.2,20.0,21.2,13.9,38,4.9
100,Ipsen,France,Pharmaceuticals (4577),202.29,24.8,"1,170",5.2,17.3,4.6,3.6,4.6,10.5,4,2.4
101,Portugal Telecom,Portugal,Fixed line telecommunications (653),200.00,-6.1,"6,335",-5.1,3.2,17.9,15.8,17.9,12.4,34,-9.5
102,Dassault Aviation,France,Aerospace & defence (271),199.71,-4.2,"4,187",22.4,4.8,1.2,,1.2,10.3,12,-5.4
103,Solvay,Belgium,Chemicals (135),189.00,-66.6,"7,108",-16.2,2.7,4.9,4.9,4.9,4.1,17,-40.5
104,Sage,UK,Software (9537),185.45,-9.0,"1,675",-0.3,11.1,2.0,1.4,2.0,23.0,13,-7.6
105,L'Air Liquide,France,Chemicals (135),184.30,6.5,"13,488",12.6,1.4,10.5,11.5,10.5,16.9,44,3.1
106,Indra Sistemas,Spain,Computer services (9533),184.11,5.2,"2,557",1.7,7.2,0.9,1.0,0.9,9.8,27,8.2
107,Ingersoll-Rand,Ireland,Industrial machinery (2757),181.88,-5.2,"10,544",7.2,1.7,1.3,1.5,1.3,7.8,59,3.5
108,Voith,Germany,General industrials (272),180.94,1.7,"5,198",2.2,3.5,4.0,4.4,4.0,6.5,40,-2.5
109,Lloyds Banking,UK,Banks (835),178.57,142.9,"50,730",-4.0,0.4,6.0,7.5,6.0,1.5,123,-6.8
110,Knorr-Bremse,Germany,Industrial machinery (2757),175.28,14.9,"3,712",34.5,4.7,3.1,3.6,3.1,10.2,15,6.9
111,Invensys,UK,Software (9537),175.06,15.4,"2,901",10.8,6.0,1.3,1.5,1.3,9.7,20,-0.1
112,Elan,Ireland,Pharmaceuticals (4577),173.83,-10.0,628,2.7,27.7,4.8,5.0,4.8,-25.1,1,-14.2
113,Legrand,France,Electrical components & equipment (2733),173.50,1.1,"3,891",8.7,4.5,1.8,2.1,1.8,19.5,31,6.0
114,Tognum,Germany,Industrial machinery (2757),168.80,0.6,"2,564",1.4,6.6,4.4,4.0,4.4,5.4,9,0.1
115,B Braun Melsungen,Germany,Health care equipment & services (453),168.69,14.9,"4,423",9.8,3.8,11.5,10.6,11.5,10.4,40,4.7
116,Atlas Copco,Sweden,Industrial machinery (2757),166.77,-5.9,"7,748",9.6,2.2,2.5,2.8,2.5,19.9,31,0.4
117,Wacker Chemie,Germany,Chemicals (135),165.10,0.7,"4,748",27.7,3.5,12.6,18.9,12.6,15.6,16,2.0
118,TomTom,The Netherlands,Electronic equipment (2737),164.34,12.8,"1,521",2.8,10.8,1.2,0.8,1.2,11.5,3,-0.2
119,Commerzbank,Germany,Banks (835),162.00,26.6,"12,636",15.4,1.3,1.5,1.8,1.5,10.7,58,-8.8
120,ARM,UK,Semiconductors (9576),158.97,30.3,475,33.3,33.5,1.5,2.0,1.5,26.4,2,4.4
121,Agfa-Gevaert,Belgium,Electronic equipment (2737),157.00,4.0,"2,948",7.0,5.3,1.6,1.2,1.6,7.7,12,1.7
122,Kerry,Ireland,Food producers (357),156.43,5.9,"4,960",9.7,3.2,3.1,1.9,3.1,9.1,22,2.1
123,Novozymes,Denmark,Biotechnology (4573),156.07,9.7,"1,305",15.1,12.0,13.8,11.9,13.8,21.4,5,2.7
124,Freudenberg,Germany,General industrials (272),155.10,4.5,"5,481",30.5,2.8,4.0,4.0,4.0,8.6,34,8.2
125,Amdocs,UK,Software (9537),154.93,-1.2,"2,224",4.2,7.0,2.9,2.9,2.9,13.7,19,12.8
126,Spyker Cars ,The Netherlands,Automobiles & parts (335),154.26,999.9,823,999.9,18.7,7.7,2.2,7.7,-30.0,4,999.9
127,Lafarge,France,Construction & materials (235),153.00,0.7,"16,169",1.8,0.9,7.5,9.8,7.5,13.0,67,-2.5
128,Maxingvest,Germany,General retailers (537),152.00,2.0,"9,595",7.7,1.6,1.5,1.8,1.5,9.5,31,-3.2
129,NDS,UK,Software (9537),151.64,0.1,703,16.0,21.6,2.5,1.8,2.5,23.0,4,8.0
130,Essilor International,France,Health care equipment & services (453),150.88,-0.2,"3,892",19.1,3.9,3.0,3.3,3.0,16.0,38,16.1
131,Pirelli,Italy,Automobiles & parts (335),150.00,9.5,"5,144",15.3,2.9,8.4,5.0,8.4,7.5,30,2.6
132,BioMerieux,France,Health care equipment & services (453),149.20,4.3,"1,357",11.0,11.0,6.7,8.2,6.7,20.0,6,1.1
132,CSR UK,UK,Telecommunications equipment (9578),149.20,19.4,597,33.1,25.0,1.0,1.3,1.0,-0.7,1,25.4
134,RSA Insurance,UK,Nonlife insurance (853),148.22,32.3,"9,570",9.9,1.5,0.4,0.5,0.4,5.8,22,-2.7
135,ING,The Netherlands,Life insurance (857),148.00,12.1,"54,573",13.2,0.3,3.3,3.5,3.3,8.2,106,-1.0
136,Wartsila,Finland,Industrial machinery (2757),147.00,-0.7,"4,553",-13.4,3.2,1.6,2.1,1.6,8.9,18,-4.4
137,Chiesi Farmaceutici,Italy,Pharmaceuticals (4577),146.00,10.9,"1,015",16.4,14.4,5.0,4.5,5.0,15.6,4,7.3
138,Dragerwerk,Germany,Health care equipment & services (453),145.63,7.8,"2,177",13.9,6.7,2.3,2.3,2.3,9.3,11,1.6
139,Technicolor,France,Media (555),145.00,-2.0,"4,068",-0.7,3.6,3.4,2.5,3.4,-4.6,18,-14.2
140,Grundfos,Denmark,Industrial machinery (2757),144.40,38.9,"2,631",14.9,5.5,5.3,7.8,5.3,12.9,16,-3.5
141,Danfoss,Denmark,Industrial machinery (2757),141.44,-14.2,"4,396",27.7,3.2,2.3,3.1,2.3,10.0,25,-10.6
142,Reckitt Benckiser,UK,Household goods & home construction (372),140.05,-1.6,"9,865",9.0,1.4,2.0,2.0,2.0,25.2,27,9.2
143,MTU Aero Engines,Germany,Aerospace & defence (271),139.80,20.2,"2,707",3.7,5.2,3.1,4.4,3.1,9.8,8,2.4
143,ZF Lenksysteme,Germany,Automobiles & parts (335),139.80,22.1,"3,002",36.6,4.7,5.6,4.7,5.6,4.7,10,4.5
145,Zodiac Aerospace,France,Aerospace & defence (271),139.57,1.7,"2,150",-2.5,6.5,2.5,2.9,2.5,10.8,18,4.0
146,Veolia Environnement,France,"Gas, water & multiutilities (757)",139.40,-4.7,"35,614",1.9,0.4,4.4,4.6,4.4,5.4,287,-1.4
147,Rio Tinto,UK,Mining (177),139.39,-3.1,"42,173",35.3,0.3,7.9,12.0,7.9,34.4,77,-19.6
148,Arkema,France,Chemicals (135),139.00,2.2,"5,905",32.9,2.4,4.8,5.8,4.8,8.6,14,0.7
149,British Sky Broadcasting,UK,Media (555),138.89,12.3,"6,900",10.3,2.0,4.7,4.7,4.7,23.2,16,10.2
150,Anheuser-Busch Inbev,Belgium,Beverages (353),137.16,15.7,"27,056",-1.3,0.5,6.0,4.2,6.0,30.5,114,-1.9
151,Hexagon,Sweden,Industrial machinery (2757),137.05,8.6,"1,563",19.3,8.8,1.7,1.3,1.7,10.2,8,8.3
152,GKN,UK,Automobiles & parts (335),135.38,22.1,"5,934",20.4,2.3,3.6,2.9,3.6,8.2,35,-0.6
153,Umicore,Belgium,Chemicals (135),134.91,-0.6,"9,691",39.4,1.4,1.5,2.4,1.5,3.3,9,-2.9
154,Merial,UK,Biotechnology (4573),134.62,9.2,"1,924",-3.1,7.0,6.2,7.4,6.2,29.6,6,0.4
155,SKF,Sweden,Industrial machinery (2757),134.61,-1.9,"6,767",8.5,2.0,2.7,3.5,2.7,13.8,40,4.3
156,SAAB,Sweden,Aerospace & defence (271),133.39,0.8,"2,709",-0.9,4.9,1.1,0.8,1.1,4.0,12,-4.7
157,Pace,UK,Telecommunications equipment (9578),133.17,59.1,"1,553",17.4,8.6,1.5,1.1,1.5,5.5,1,5.1
158,Iberdrola,Spain,Electricity (753),130.17,43.8,"30,431",23.9,0.4,18.7,21.4,18.7,15.8,31,-4.2
159,Trumpf,Germany,General industrials (272),129.40,-16.4,"1,340",-19.4,9.7,3.6,7.2,3.6,-3.6,8,-2.5
160,Gemalto,The Netherlands,Electronic equipment (2737),126.72,21.2,"1,956",19.8,6.5,2.3,2.5,2.3,8.5,10,0.0
161,Merz Pharma,Germany,Pharmaceuticals (4577),123.69,5.6,673,14.2,18.4,1.6,3.8,1.6,22.0,2,22.1
162,Claas,Germany,Commercial vehicles & trucks (2753),122.00,-1.9,"2,475",-14.7,4.9,2.4,3.3,2.4,3.7,9,-4.3
163,Johnson Matthey,UK,Chemicals (135),121.96,19.8,"11,653",27.4,1.0,1.2,1.5,1.2,2.8,9,9.5
164,Heidelberger Druckmaschinen,Germany,Industrial machinery (2757),121.49,0.6,"2,629",14.0,4.6,2.9,2.5,2.9,-0.1,16,-9.6
165,Giesecke & Devrient,Germany,Support services (279),121.21,13.3,"1,688",0.2,7.2,3.7,6.1,3.7,7.6,10,2.5
166,Burelle,France,Automobiles & parts (335),119.62,62.5,"3,251",32.0,3.7,2.9,2.8,2.9,6.2,16,26.1
167,Vilmorin,France,Food producers (357),117.40,-4.7,"1,064",6.2,11.0,3.9,3.9,3.9,7.3,6,11.5
168,Getinge,Sweden,Health care equipment & services (453),117.09,-4.1,"2,458",-2.8,4.8,3.3,4.4,3.3,16.4,12,0.0
169,Bouygues,France,Construction & materials (235),117.00,-20.4,"31,225",-0.4,0.4,4.4,3.9,4.4,6.5,137,-4.8
170,Lanxess,Germany,Chemicals (135),116.00,14.9,"7,120",40.8,1.6,7.1,6.6,7.1,8.8,14,0.0
170,Metro,Germany,General retailers (537),116.00,-38.0,"67,258",2.6,0.2,2.3,2.0,2.3,2.9,294,-0.8
172,Krones,Germany,Industrial machinery (2757),114.29,17.3,"2,173",16.5,5.3,2.2,3.2,2.2,3.1,10,2.2
173,Autonomy,UK,Software (9537),114.27,24.1,649,17.7,17.6,2.6,3.0,2.6,36.1,2,11.5
174,McLaren,UK,Travel & leisure (575),113.25,99.8,340,10.1,33.3,2.6,2.2,2.6,22.6,2,5.8
175,Smith & Nephew,UK,Health care equipment & services (453),112.56,-2.6,"2,953",5.0,3.8,6.3,5.7,6.3,23.6,10,4.2
176,Assa Abloy,Sweden,Construction & materials (235),112.55,13.9,"4,083",5.1,2.8,1.6,1.5,1.6,16.2,37,26.9
177,Cooper Industries,Ireland,Electrical components & equipment (2733),111.59,6.1,"3,776",-0.1,3.0,1.9,2.5,1.9,11.4,25,-12.2
178,Wm Morrison Supermarkets,UK,Food & drug retailers (533),110.87,999.9,"19,233",6.9,0.6,2.9,5.7,2.9,5.5,132,-1.2
179,LyondellBasell Industries,The Netherlands,Chemicals (135),110.69,2.4,"30,954",34.7,0.4,1.7,2.5,1.7,8.0,14,
180,DONG Energy,Denmark,Oil & gas producers (53),110.18,-22.5,"7,327",10.8,1.5,29.9,33.6,29.9,12.6,6,-0.3
181,Benteler International,Austria,General industrials (272),109.50,14.3,"6,104",33.7,1.8,3.6,3.0,3.6,2.7,24,2.6
181,Danisco,Denmark,Food producers (357),109.50,13.5,"1,839",-26.0,6.0,5.0,5.8,5.0,6.1,7,-23.7
183,Warner Chilcott,Ireland,Pharmaceuticals (4577),109.21,90.9,"2,217",107.2,4.9,3.2,3.1,3.2,19.9,3,0.0
184,Symrise,Germany,Chemicals (135),109.17,11.6,"1,572",15.4,6.9,3.6,2.9,3.6,15.5,5,4.4
185,Smiths,UK,General industrials (272),109.12,4.8,"3,232",3.9,3.4,1.7,2.2,1.7,15.3,24,8.0
186,voestalpine,Austria,Industrial metals & mining (175),109.00,0.2,"10,954",28.1,1.0,3.7,6.1,3.7,9.1,41,-0.4
187,Metso,Finland,Industrial machinery (2757),105.00,-4.5,"5,552",10.7,1.9,2.0,1.7,2.0,7.7,28,-0.8
188,Deutsche Post,Germany,Industrial transportation (277),103.00,17.0,"51,481",7.6,0.2,2.1,1.9,2.1,4.2,464,-4.9
189,Barclays,UK,Banks (835),102.71,-66.7,"37,585",1.2,0.3,1.3,1.8,1.3,18.6,151,-1.6
190,adidas,Germany,Personal goods (376),102.00,18.6,"11,990",15.5,0.9,1.9,1.9,1.9,7.3,41,5.7
191,Wincor Nixdorf,Germany,Computer services (9533),101.35,-1.8,"2,239",-0.5,4.5,2.1,1.9,2.1,7.2,9,-1.5
192,PRADA,Italy,Personal goods (376),100.91,1.2,"2,047",30.9,4.9,9.7,7.7,9.7,20.4,7,6.4
193,Serco,UK,Support services (279),99.32,32.1,"5,050",9.0,2.0,1.1,1.3,1.1,5.6,59,1.9
194,Deutsche Borse,Germany,Other financials (877),98.90,10.9,"2,166",0.3,4.6,3.6,1.7,3.6,23.9,4,-0.3
195,Eberspaecher,Germany,Automobiles & parts (335),97.70,23.4,"1,934",44.1,5.1,1.8,2.5,1.8,3.3,6,7.2
196,Gedeon Richter,Hungary,Pharmaceuticals (4577),97.46,15.1,989,3.1,9.9,7.2,7.8,7.2,22.8,10,-2.1
197,Almirall,Spain,Pharmaceuticals (4577),95.12,-28.7,882,-4.7,10.8,1.6,1.8,1.6,14.6,3,-6.9
198,Korber,Germany,General industrials (272),94.00,10.6,"1,677",4.0,5.6,2.1,2.7,2.1,8.4,9,-3.2
198,Linde,Germany,Chemicals (135),94.00,5.6,"12,868",14.8,0.7,9.8,9.1,9.8,12.8,48,-2.5
200,Qiagen,The Netherlands,Biotechnology (4573),93.95,16.8,811,7.7,11.6,7.3,5.2,7.3,17.8,4,2.6
201,Abengoa,Spain,General industrials (272),92.63,3.2,"5,566",34.2,1.7,19.5,36.5,19.5,9.4,26,12.0
202,Schott,Germany,Construction & materials (235),92.51,22.6,"2,856",25.8,3.2,6.3,9.5,6.3,7.1,18,-0.9
203,KWS SAAT,Germany,Food producers (357),92.44,9.4,754,5.2,12.3,7.3,5.8,7.3,10.2,3,8.6
204,Husqvarna,Sweden,Industrial machinery (2757),92.14,19.6,"3,575",-5.4,2.6,3.1,2.0,3.1,7.6,15,-0.5
205,Software,Germany,Software (9537),91.99,12.0,"1,120",32.1,8.2,0.9,0.9,0.9,24.0,6,-6.0
206,Old Mutual,UK,Life insurance (857),91.03,290.0,"23,025",7.1,0.4,0.8,0.7,0.8,6.1,56,3.8
