eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
17,Philips Electronics,The Netherlands,Leisure goods (374),"1,714.00",6.3,"23,189",-12.5,7.4,2.3,2.9,2.9,118,-7.0,,
18,Fiat,Italy,Automobiles & parts (335),"1,692.00",-14.8,"49,298",-17.0,3.4,5.4,6.6,0.8,191,-3.8,,
19,Renault,France,Automobiles & parts (335),"1,643.00",-26.5,"32,759",-10.2,5.0,6.5,8.6,-7.6,124,-5.1,,
20,STMicroelectronics,The Netherlands,Semiconductors (9576),"1,547.92",8.4,"5,931",-13.5,26.1,8.5,13.8,-16.9,52,-0.5,,
21,SAP,Germany,Software (9537),"1,543.00",-5.2,"10,672",-7.8,14.5,1.9,2.5,23.8,48,-6.1,,
22,Volvo,Sweden,Commercial vehicles & trucks (2753),"1,512.03",-4.7,"21,315",-28.1,7.1,5.3,5.0,-8.2,88,-9.2,,
23,BASF,Germany,Chemicals (135),"1,410.00",2.8,"50,693",-18.6,2.8,8.1,4.5,7.4,105,8.0,,
24,Continental,Germany,Automobiles & parts (335),"1,405.30",-7.8,"20,096",-17.1,7.0,4.2,6.4,-5.3,133,-10.1,,
25,Merck,Germany,Pharmaceuticals (4577),"1,344.60",8.9,"7,747",2.5,17.4,6.0,5.2,7.8,33,2.7,,
26,BT,UK,Fixed line telecommunications (653),"1,158.14",-8.0,"23,477",-2.5,4.9,8.9,10.5,10.1,102,-8.0,,
27,Novo Nordisk,Denmark,Pharmaceuticals (4577),"1,001.06",0.6,"6,864",12.1,14.6,5.2,3.9,29.1,28,7.3,,
28,Unilever,UK,Food producers (357),891.00,-3.9,"39,823",-1.7,2.2,3.4,2.9,12.9,168,-3.4,,
29,Vivendi,France,Media (555),874.00,21.2,"27,132",6.9,3.2,6.5,5.9,12.4,48,9.1,,
30,France Telecom,France,Fixed line telecommunications (653),862.00,-4.2,"50,952",-4.7,1.7,8.6,10.2,15.9,167,-8.6,,
31,Banco Santander,Spain,Banks (835),856.17,17.9,"40,502",30.9,2.1,,,22.1,170,26.6,,
32,Telecom Italia,Italy,Fixed line telecommunications (653),842.00,19.6,"28,324",-7.0,3.0,8.9,9.1,17.3,72,-5.1,,
33,Royal Dutch Shell,UK,Oil & gas producers (53),784.07,-11.1,"193,882",-39.3,0.4,9.8,7.5,7.0,101,-1.0,,
34,Telefonica,Spain,Fixed line telecommunications (653),777.00,16.3,"56,731",-2.1,1.4,10.5,11.7,23.7,255,1.3,,
35,Porsche,Germany,Automobiles & parts (335),743.00,-17.4,"6,565",-12.1,11.3,,15.8,-20.3,13,6.5,,
36,Schneider,France,Electrical components & equipment (2733),675.00,-4.7,"15,793",-13.8,4.3,2.2,2.4,9.3,116,-8.2,,
37,UCB,Belgium,Pharmaceuticals (4577),674.00,-12.1,"3,116",-13.5,21.6,1.2,2.9,11.0,9,-17.4,,
38,Thales,France,Aerospace & defence (271),663.70,16.6,"12,731",0.5,5.2,2.1,3.0,-1.3,64,1.6,,
39,TOTAL,France,Oil & gas producers (53),650.00,6.2,"112,153",-30.0,0.6,10.0,7.1,14.5,96,-0.6,,
40,Royal Bank of Scotland,UK,Banks (835),629.16,-7.1,"43,546",36.0,1.4,8.9,18.3,-6.7,195,-15.2,,
41,SAFRAN,France,Aerospace & defence (271),629.00,3.3,"10,599",-0.2,5.9,4.2,4.8,4.3,55,-1.7,,
42,Valeo,France,Automobiles & parts (335),620.00,-21.1,"7,499",-13.4,8.3,4.3,5.5,0.7,52,1.8,,
43,ALSTOM,France,Industrial machinery (2757),613.00,-1.3,"19,650",4.9,3.1,2.2,2.7,8.5,69,-3.7,,
44,L'Oreal,France,Personal goods (376),609.20,4.8,"17,473",-0.4,3.5,3.0,3.9,13.2,65,-4.5,,
45,ZF,Germany,Automobiles & parts (335),606.00,-9.6,"9,371",-25.0,6.5,5.5,7.5,-4.2,60,-1.1,,
46,Solvay,Belgium,Chemicals (135),566.00,-2.1,"8,485",-10.6,6.7,4.9,7.1,9.1,28,-4.2,,
47,NXP ,The Netherlands,Semiconductors (9576),535.26,-35.9,"2,678",-29.4,20.0,2.5,7.0,-19.3,28,-6.7,,
48,HSBC,UK,Banks (835),531.77,-0.1,"54,802",-11.2,1.0,2.6,3.3,9.0,310,-6.6,,
49,Rolls-Royce,UK,Aerospace & defence (271),530.11,-3.9,"11,721",14.7,4.5,2.8,3.1,11.3,39,-1.3,,
50,Infineon Technologies,Germany,Semiconductors (9576),515.00,-30.2,"3,674",-39.8,14.0,2.8,5.1,-17.9,30,-30.5,,
51,Michelin,France,Automobiles & parts (335),506.00,1.4,"14,807",-9.8,3.4,4.1,7.1,3.0,113,-6.3,,
52,ASML,The Netherlands,Semiconductors (9576),466.76,-12.6,"1,596",-46.0,29.2,16.5,11.3,-6.3,6,-11.9,,
53,Electricite de France,France,Electricity (753),438.00,4.0,"66,336",3.2,0.7,14.4,14.6,11.4,164,5.3,,
54,MAN,Germany,Commercial vehicles & trucks (2753),433.00,2.1,"12,461",-24.9,3.5,5.8,8.2,-1.7,47,-2.9,,
55,Deutsche Telekom,Germany,Fixed line telecommunications (653),432.00,-29.6,"64,602",4.8,0.7,11.4,12.0,9.4,258,9.7,,
56,AREVA,France,Electricity (753),414.00,-25.3,"14,003",6.4,3.0,9.5,8.8,2.2,79,5.3,,
57,BP,UK,Oil & gas producers (53),409.11,-1.3,"166,760",-33.7,0.2,7.1,5.1,10.1,85,-11.0,,
58,Henkel,Germany,Household goods & home construction (372),399.00,3.1,"13,573",-3.9,2.9,2.5,3.3,8.0,51,-7.5,,
59,DSM,The Netherlands,Chemicals (135),397.00,0.8,"7,866",-15.4,5.0,5.1,5.8,2.3,23,-1.8,,
60,Lundbeck,Denmark,Pharmaceuticals (4577),396.18,32.0,"1,847",21.9,21.4,3.3,6.7,20.9,6,6.1,,
61,Saint-Gobain,France,Construction & materials (235),394.00,2.3,"37,786",-13.7,1.0,3.3,4.9,3.2,199,-4.5,,
62,Shire ,UK,Pharmaceuticals (4577),390.22,16.2,"2,098",-0.5,18.6,8.5,7.8,20.1,4,2.8,,
63,Hella,Germany,Automobiles & parts (335),347.48,-2.6,"3,285",-16.6,10.6,7.4,6.6,1.8,23,-7.6,,
64,Vodafone,UK,Mobile telecommunications (657),341.03,8.2,"50,053",8.4,0.7,11.2,11.6,21.5,85,7.5,,
65,UBIsoft Entertainment,France,Software (9537),334.13,13.3,871,-17.7,38.4,1.5,1.4,-14.4,6,21.0,,
66,Danske Bank,Denmark,Banks (835),324.95,-5.0,"12,075",48.8,2.7,2.3,4.5,5.3,23,-4.0,,
67,AKZO Nobel,The Netherlands,Chemicals (135),318.00,-4.8,"13,893",-9.9,2.3,3.8,3.5,6.4,59,-4.4,,
68,Covidien ,Ireland,Health care equipment & services (453),305.26,28.4,"7,441",-1.0,4.1,3.9,3.8,18.7,42,0.2,,
69,Accenture ,Ireland,Support services (279),303.13,11.5,"16,149",-8.5,1.9,1.1,1.3,11.4,177,-4.8,,
70,Dassault Systemes,France,Software (9537),302.50,-2.3,"1,251",-6.3,24.2,1.2,3.7,15.4,8,-0.5,,
71,Barclays,UK,Banks (835),297.13,-3.6,"35,810",36.2,0.8,1.8,6.3,16.0,154,1.5,,
72,Evonik Industries,Germany,General industrials (272),296.00,-3.0,"13,076",-19.3,2.3,5.9,6.6,6.7,40,-5.0,,
73,ThyssenKrupp,Germany,Industrial metals & mining (175),290.00,-10.8,"40,563",-24.1,0.7,10.0,7.7,-4.7,193,-1.6,,
74,Carl Zeiss,Germany,Health care equipment & services (453),284.00,-11.5,"2,101",-23.1,13.5,3.9,4.3,-6.9,13,2.2,,
75,BSH Bosch und Siemens Hausgerate,Germany,Household goods & home construction (372),271.00,3.4,"8,405",-4.0,3.2,3.3,4.2,6.7,40,-2.5,,
76,BAE Systems,UK,Aerospace & defence (271),263.37,9.9,"22,931",22.2,1.1,2.4,3.1,4.4,94,4.4,,
77,Societe Generale,France,Banks (835),251.00,-19.3,"21,730",-0.6,1.2,18.1,23.0,3.7,160,-0.2,,
78,WAM Acquisition,Spain,Computer services (9533),250.59,10.3,"2,461",-1.7,10.2,2.3,5.9,22.4,8,0.6,,
79,MAHLE ,Germany,Automobiles & parts (335),246.47,-13.8,"3,864",-22.9,6.4,,8.3,-6.4,44,-9.8,,
80,Nycomed,Luxembourg,Pharmaceuticals (4577),245.53,-16.2,"3,109",-2.6,7.9,2.3,1.8,9.3,12,2.4,,
81,Dassault Aviation,France,Aerospace & defence (271),241.84,-11.3,"3,421",-8.7,7.1,3.1,3.5,9.6,12,-1.4,,
82,Fresenius ,Germany,Health care equipment & services (453),240.00,15.9,"14,164",14.8,1.7,4.5,6.1,14.5,128,7.8,,
83,Vestas Wind Systems,Denmark,Alternative energy (58),239.00,7.2,"6,636",10.0,3.6,9.1,8.4,13.0,21,16.2,,
84,Sandvik,Sweden,Industrial machinery (2757),235.54,-1.3,"7,022",-22.4,3.4,5.8,7.4,-1.9,47,-2.8,,
85,Rabobank,The Netherlands,Banks (835),221.00,36.4,"11,275",-3.5,2.0,17.2,12.1,23.1,60,4.0,,
86,"Oce (now part of Canon, Japan)",The Netherlands,Electronic office equipment (9574),218.32,-14.4,"2,648",-9.0,8.2,5.2,6.0,-0.7,22,-6.5,,
87,GDF SUEZ,France,"Gas, water & multiutilities (757)",218.00,71.7,"79,908",17.6,0.3,10.6,10.3,9.7,243,3.4,,
88,RWE,Germany,"Gas, water & multiutilities (757)",214.00,1.9,"46,617",-5.0,0.5,11.7,8.6,16.2,69,5.5,,
89,Portugal Telecom,Portugal,Fixed line telecommunications (653),213.00,42.0,"6,677",-0.9,3.2,15.8,16.3,20.5,37,15.8,,
90,Intesa Sanpaolo,Italy,Banks (835),211.00,22.0,"18,418",3.7,1.1,3.3,3.0,19.7,107,-2.6,,
91,Eni,Italy,Oil & gas producers (53),207.00,-4.2,"83,227",-23.0,0.2,14.8,11.4,15.0,79,1.7,,
92,Behr,Germany,Automobiles & parts (335),206.00,-18.9,"2,468",-25.9,8.3,,,-7.7,17,-9.3,,
92,Danone,France,Food producers (357),206.00,4.0,"14,982",-1.6,1.4,4.0,4.5,13.7,81,1.0,,
94,Reed Elsevier,UK,Media (555),201.47,55.7,"6,833",13.6,2.9,1.3,1.1,13.1,33,1.2,,
95,Rheinmetall,Germany,Automobiles & parts (335),198.00,-0.5,"3,420",-11.6,5.8,2.9,4.4,0.5,20,1.0,,
96,Sage,UK,Software (9537),196.51,25.0,"1,620",11.1,12.1,1.4,1.9,19.3,14,-4.6,,
97,Electrolux,Sweden,Household goods & home construction (372),194.35,-4.8,"10,653",4.1,1.8,2.0,3.0,3.2,51,-8.2,,
98,Elan,Ireland,Pharmaceuticals (4577),180.51,-10.3,572,7.8,31.6,5.0,7.8,-8.9,1,-11.8,,
99,Diehl Stiftung & Co KG ,Germany,General industrials (272),179.80,14.2,"2,129",-4.0,8.4,2.9,3.0,2.7,11,3.8,,
100,Ingersoll-Rand ,Ireland,Industrial machinery (2757),179.39,95.6,"9,196",-0.4,2.0,1.5,2.3,6.7,57,-5.0,,
101,Voith,Germany,General industrials (272),177.96,1.2,"5,083",3.0,3.5,4.4,5.1,4.3,41,0.3,,
102,ArcelorMittal,Luxembourg,Industrial metals & mining (175),176.33,-14.2,"45,378",-47.9,0.4,3.9,4.4,-2.5,282,-10.8,,
103,Indra Sistemas,Spain,Computer services (9533),175.02,5.2,"2,513",5.6,7.0,1.0,1.4,11.4,25,3.4,,
104,L'Air Liquide,France,Chemicals (135),173.00,-9.6,"11,976",-8.6,1.4,11.5,14.2,16.5,42,-1.6,,
105,Legrand,France,Electrical components & equipment (2733),171.60,-6.2,"3,578",-14.9,4.8,2.1,2.8,14.6,30,-14.9,,
106,BAT,UK,Tobacco (378),171.08,10.1,"15,991",17.2,1.1,3.3,4.2,32.2,61,8.7,,
107,Tognum,Germany,Industrial machinery (2757),167.80,16.5,"2,529",-19.3,6.6,4.0,4.1,6.6,9,2.6,,
108,Danfoss,Denmark,Industrial machinery (2757),165.03,3.5,"3,447",-5.4,4.8,3.1,7.7,-7.7,28,2.8,,
109,Wacker-Chemie,Germany,Chemicals (135),164.00,0.5,"3,719",-13.5,4.4,18.9,18.9,0.6,16,-0.5,,
110,Ipsen,France,Pharmaceuticals (4577),162.10,18.2,"1,112",7.2,14.6,3.6,5.9,15.2,4,6.6,,
111,Atlas Copco,Sweden,Industrial machinery (2757),155.99,-7.0,"6,224",-14.0,2.5,2.8,4.0,14.2,31,-8.9,,
112,Trumpf ,Germany,General industrials (272),154.70,2.7,"1,663",-22.5,9.3,7.2,6.2,3.5,8,6.1,,
113,Knorr-Bremse ,Germany,Industrial machinery (2757),152.61,-10.9,"2,761",-18.4,5.5,3.6,4.1,5.5,14,-3.3,,
114,Lafarge,France,Construction & materials (235),152.00,-5.0,"15,884",-16.5,1.0,9.8,14.5,13.4,69,-8.5,,
115,Essilor International,France,Health care equipment & services (453),151.22,4.6,"3,268",6.3,4.6,3.3,5.1,17.8,33,6.3,,
116,Agfa-Gevaert,Belgium,Electronic equipment (2737),151.00,-15.6,"2,755",-9.1,5.5,1.2,1.6,6.0,12,-7.8,,
117,Maxingvest,Germany,General retailers (537),149.00,-1.3,"8,906",-3.1,1.7,1.8,2.3,8.1,33,-4.3,,
118,Freudenberg,Germany,General industrials (272),148.40,-7.5,"4,201",-16.8,3.5,4.0,6.3,-4.4,32,-5.8,,
119,Vattenfall,Sweden,Electricity (753),148.18,-11.3,"20,050",24.8,0.7,20.0,20.2,13.5,37,11.7,,
120,Thomson (now Technicolor),France,Electronic equipment (2737),148.00,-42.4,"4,098",-16.4,3.6,2.5,4.2,1.1,21,-8.6,,
120,Wartsila,Finland,Industrial machinery (2757),148.00,22.3,"5,260",14.1,2.8,2.1,3.0,11.1,19,6.8,,
122,Kerry,Ireland,Food producers (357),147.76,0.2,"4,521",-5.6,3.3,1.9,3.4,7.4,22,-1.4,,
123,Bouygues,France,Construction & materials (235),147.00,5.8,"31,353",-4.2,0.5,3.9,5.1,7.0,144,-2.3,,
124,B Braun Melsungen,Germany,Health care equipment & services (453),146.76,5.1,"4,028",6.4,3.6,10.6,11.6,10.2,39,2.4,,
125,Amdocs ,UK,Software (9537),146.63,-6.7,"1,995",-9.5,7.3,2.9,4.3,12.6,17,-7.0,,
126,Invensys,UK,Software (9537),146.32,14.0,"2,524",-1.8,5.8,1.5,1.4,10.2,20,-8.0,,
127,Veolia Environnement,France,"Gas, water & multiutilities (757)",146.20,43.9,"34,961",-5.1,0.4,4.6,5.3,5.1,291,-2.3,,
128,TomTom,The Netherlands,Electronic equipment (2737),145.71,1.6,"1,480",-11.6,9.8,0.8,1.8,14.7,3,21.9,,
129,BioMerieux,France,Health care equipment & services (453),143.00,7.8,"1,223",10.2,11.7,8.2,7.6,16.7,6,7.4,,
130,UniCredit,Italy,Banks (835),142.45,-50.0,"27,082",3.5,0.5,5.6,6.3,7.9,175,-0.8,,
130,Novozymes,Denmark,Biotechnology (4573),142.45,6.5,"1,135",3.7,12.5,11.9,11.1,19.5,5,4.5,,
130,DONG Energy,Denmark,Oil & gas producers (53),142.45,-7.9,"6,620",-18.9,2.2,33.6,16.2,6.0,6,8.8,,
133,NDS,UK,Software (9537),141.60,2.1,567,-4.3,25.0,1.8,2.0,5.8,4,6.4,,
134,Reckitt Benckiser,UK,Household goods & home construction (372),137.31,16.2,"8,726",18.1,1.6,2.0,2.5,24.4,25,2.5,,
135,Zodiac Aerospace,France,Aerospace & defence (271),137.23,1.9,"2,206",9.5,6.2,2.9,2.9,10.6,17,-5.4,,
136,Pirelli,Italy,Automobiles & parts (335),137.00,-12.2,"4,462",-8.8,3.1,5.0,6.3,2.7,30,-6.1,,
137,Arkema,France,Chemicals (135),136.00,-9.3,"4,444",-21.1,3.1,5.8,5.5,-1.3,14,-6.7,,
138,Umicore,Belgium,Chemicals (135),135.70,-19.1,"6,952",-24.2,2.0,2.4,2.2,2.0,10,-2.6,,
139,Dragerwerk,Germany,Health care equipment & services (453),135.09,0.0,"1,911",-0.7,7.1,2.3,3.6,4.2,11,2.7,,
140,Rio Tinto,UK,Mining (177),134.51,-37.1,"29,150",-22.9,0.5,12.0,16.9,16.0,96,-3.2,,
141,Almirall,Spain,Pharmaceuticals (4577),133.33,35.8,925,2.5,14.4,1.8,2.1,18.3,3,-4.5,,
142,ING,The Netherlands,Life insurance (857),132.00,-68.6,"48,226",-27.7,0.3,3.5,3.2,-3.2,107,-14.0,,
143,Chiesi Farmaceutici ,Italy,Pharmaceuticals (4577),131.66,22.1,872,16.5,15.1,4.5,3.0,12.4,3,9.3,,
144,Commerzbank,Germany,Banks (835),128.00,481.8,"10,948",69.5,1.2,1.8,2.7,-42.6,63,61.2,,
144,Deutsche Bank,Germany,Banks (835),128.00,178.3,"27,893",106.8,0.5,2.1,7.0,18.6,79,-1.0,,
146,Tesco,UK,Food & drug retailers (533),124.93,-42.2,"64,052",4.8,0.2,5.1,8.0,5.5,472,0.8,,
147,Claas,Germany,Commercial vehicles & trucks (2753),124.80,9.7,"2,901",-10.4,4.3,3.3,2.5,4.7,10,9.1,,
148,Vilmorin,France,Food producers (357),123.20,12.2,"1,002",11.7,12.3,3.9,2.9,8.3,5,18.6,,
149,Genmab,Denmark,Biotechnology (4573),123.01,-35.7,84,-15.7,145.7,2.7,9.3,-118.1,1,-10.6,,
150,Heidelberger Druckmaschinen,Germany,Industrial machinery (2757),120.75,-35.1,"2,306",-23.1,5.2,2.5,5.4,-6.9,18,-9.0,,
150,SKF,Sweden,Industrial machinery (2757),120.75,3.2,"5,488",-11.3,2.2,3.5,4.0,5.7,39,-10.8,,
152,ZF Lenksysteme,Germany,Automobiles & parts (335),117.90,0.2,"2,197",-15.3,5.4,4.7,6.3,-4.4,10,-5.5,,
153,ARM,UK,Semiconductors (9576),117.68,36.3,343,2.0,34.3,2.0,2.7,14.9,2,0.7,,
154,Merz,Germany,Pharmaceuticals (4577),117.11,47.8,590,-3.4,19.9,3.8,4.6,23.0,2,-23.8,,
155,Misys,UK,Software (9537),116.94,4.3,880,13.0,13.3,1.3,1.7,15.9,6,13.3,,
156,CSR,UK,Telecommunications equipment (9578),116.82,9.7,419,-13.5,27.9,1.3,2.8,-2.6,1,11.2,,
157,SAAB,Sweden,Aerospace & defence (271),116.55,-17.0,"2,406",3.6,4.8,0.8,1.6,5.6,13,-1.2,,
158,MTU Aero Engines,Germany,Aerospace & defence (271),116.30,25.1,"2,611",-4.2,4.5,4.4,3.7,9.3,8,4.9,,
159,Merial ,UK,Biotechnology (4573),115.28,3.8,"1,857",8.0,6.2,7.4,5.9,25.5,6,4.9,,
160,Hexagon,Sweden,Industrial machinery (2757),111.08,-9.3,"1,153",-18.4,9.6,1.3,2.7,12.3,8,-16.7,,
161,Anheuser-Busch Inbev,Belgium,Beverages (353),110.82,113.1,"25,618",59.1,0.4,4.2,10.0,27.9,116,28.1,,
162,Metso,Finland,Industrial machinery (2757),110.00,-14.7,"5,016",-21.6,2.2,1.7,3.3,5.7,28,-0.7,,
163,Danisco,Denmark,Food producers (357),109.66,13.5,"1,842",-26.0,6.0,5.0,5.8,6.1,7,-23.7,,
164,voestalpine,Austria,Industrial metals & mining (175),108.80,-2.9,"8,550",-27.1,1.3,6.1,8.2,4.1,42,-4.3,,
165,BHP Billiton,UK,Mining (177),108.72,-36.1,"34,994",-15.6,0.3,20.0,15.4,24.1,41,-1.8,,
166,RSA Insurance,UK,Nonlife insurance (853),108.05,37.1,"8,394",4.4,1.3,0.5,1.0,7.5,23,1.0,,
167,Smith & Nephew,UK,Health care equipment & services (453),108.03,2.0,"2,629",-0.8,4.1,5.7,6.8,19.6,10,0.1,,
168,Metro,Germany,General retailers (537),108.00,-19.4,"65,580",-5.2,0.2,2.0,3.2,2.4,296,-1.7,,
169,Getinge,Sweden,Health care equipment & services (453),107.47,23.2,"2,227",18.4,4.8,4.4,4.4,13.5,12,4.5,,
170,Giesecke & Devrient,Germany,Support services (279),106.95,-4.5,"1,684",-0.3,6.4,6.1,5.7,8.1,10,5.5,,
171,GKN,UK,Automobiles & parts (335),106.92,-2.1,"4,753",-3.5,2.2,2.9,4.4,1.3,35,-7.4,,
172,Gemalto,The Netherlands,Electronic equipment (2737),104.60,6.3,"1,633",-1.6,6.4,2.5,2.7,8.4,10,0.0,,
173,Grundfos ,Denmark,Industrial machinery (2757),104.07,-15.6,"2,293",-10.3,4.5,7.8,10.1,5.8,17,-4.1,,
174,Wincor Nixdorf,Germany,Computer services (9533),103.25,-1.2,"2,250",-2.9,4.6,1.9,2.6,7.7,9,5.1,,
175,LyondellBasell Industries ,Luxembourg,Chemicals (135),101.06,-25.3,"21,486",-39.5,0.5,2.5,2.0,-8.1,0,,,
176,Lanxess,Germany,Chemicals (135),101.00,4.1,"5,057",-23.1,2.0,6.6,5.2,2.7,14,-2.2,,
177,Smiths,UK,General industrials (272),100.40,23.0,"2,999",14.8,3.3,2.2,2.8,12.9,22,-3.5,,
178,Cobham,UK,Aerospace & defence (271),99.50,25.2,"2,116",28.2,4.7,4.0,3.6,15.2,12,12.5,,
179,Cooper Industries ,Ireland,Electrical components & equipment (2733),98.34,-0.5,"3,533",-22.3,2.8,2.5,2.1,10.7,28,-9.4,,
180,Johnson Matthey,UK,Chemicals (135),98.14,5.7,"8,823",-0.1,1.1,1.5,2.2,3.1,9,-7.4,,
181,Krones,Germany,Industrial machinery (2757),97.47,-16.3,"1,865",-21.7,5.2,3.2,3.1,-2.3,10,1.7,,
182,Benteler ,Germany,General industrials (272),95.80,-22.3,"4,564",-27.9,2.1,3.0,3.1,-0.7,23,-4.7,,
183,Italtel,Italy,Telecommunications equipment (9578),93.93,-9.2,468,-13.9,20.1,2.0,1.3,-6.3,2,-0.2,,
184,Acciona,Spain,Construction & materials (235),92.20,29.3,"7,873",-37.8,1.2,57.3,23.7,10.0,33,-20.1,,
185,TeliaSonera,Sweden,Fixed line telecommunications (653),92.05,-16.3,"10,656",5.4,0.9,10.5,12.7,27.9,29,-4.1,,
186,Symrise,Germany,Chemicals (135),91.09,-3.0,"1,362",3.2,6.7,2.9,2.9,11.4,5,-0.7,,
187,Iberdrola,Spain,Electricity (753),90.53,23.8,"24,559",-2.5,0.4,21.4,33.7,18.1,33,16.4,,
188,Nordea Bank,Sweden,Banks (835),90.00,-29.1,"9,073",10.6,1.0,2.0,2.0,33.9,33,-2.4,,
189,Abengoa,Spain,General industrials (272),89.72,167.5,"4,147",10.0,2.2,36.5,20.0,9.6,23,0.4,,
190,Deutsche Borse,Germany,Other financials (877),89.20,-14.7,"2,159",-19.8,4.1,1.7,2.0,29.2,4,6.3,,
191,Linde,Germany,Chemicals (135),89.00,-14.4,"11,211",-11.5,0.8,9.1,10.5,10.2,49,-4.5,,
192,Krka,Slovenia,Pharmaceuticals (4577),88.28,4.2,953,0.3,9.3,8.8,14.3,24.8,8,4.9,,
193,Borealis,Austria,Chemicals (135),88.00,6.0,"4,714",-29.6,1.9,6.5,6.6,0.9,5,-3.2,,
193,Enel,Italy,Electricity (753),88.00,29.4,"62,404",4.2,0.1,10.3,10.3,16.4,83,11.2,,
193,Deutsche Post,Germany,Industrial transportation (277),88.00,-31.8,"47,835",-27.2,0.2,1.9,2.2,0.8,489,-4.5,,
196,Gedeon Richter,Hungary,Pharmaceuticals (4577),87.21,28.1,988,13.1,8.8,7.8,9.3,18.5,10,0.1,,
197,Orion Oyj,Finland,Pharmaceuticals (4577),87.10,-8.9,772,8.6,11.3,3.3,4.6,26.8,3,-2.4,,
198,Assa Abloy,Sweden,Construction & materials (235),86.97,0.1,"3,421",0.4,2.5,1.5,1.9,12.7,29,-10.2,,
199,Autonomy,UK,Software (9537),86.08,37.9,516,47.0,16.7,3.0,2.8,36.8,2,34.9,,
200,adidas,Germany,Personal goods (376),86.00,6.2,"10,381",-3.9,0.8,1.9,2.9,4.9,39,8.1,,
201,DEUTZ,Germany,Industrial machinery (2757),85.80,16.9,863,-42.2,9.9,5.0,4.1,-10.9,4,-11.8,,
202,Dexia,Belgium,Banks (835),85.00,-6.6,"6,124",72.2,1.4,5.5,10.7,22.9,27,-2.9,,
202,Korber ,Germany,General industrials (272),85.00,-6.6,"1,612",-7.8,5.3,2.7,2.5,5.0,9,0.8,,
202,SNCF,France,Industrial transportation (277),85.00,-11.5,"24,882",-1.2,0.3,12.6,13.9,-3.5,200,-0.6,,
205,KWS SAAT,Germany,Food producers (357),84.52,7.0,717,19.7,11.8,5.8,4.7,10.1,3,12.6,,
206,Ingenico,France,Electronic equipment (2737),83.60,23.8,701,-3.8,11.9,1.8,1.8,6.9,3,12.9,,
207,"EPCOS (now part of TDK, Japan)",Germany,Electronic equipment (2737),82.17,5.8,"1,147",-22.4,7.2,8.1,9.3,-7.1,20,-8.0,,
207,Software,Germany,Software (9537),82.17,7.8,847,17.6,9.7,0.9,0.5,25.7,6,73.2,,
209,"Cadbury (now part of Kraft Foods, USA)",UK,Food producers (357),81.04,12.5,"6,840",-10.3,1.2,5.8,7.0,8.6,45,-17.5,,
