eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,,
1,Volkswagen,Germany,Automobiles & parts (335),"5,790.00",-2.3,"102,398",-7.7,5.7,10.7,10.8,2.4,338,1.9,,
2,Nokia,Finland,Telecommunications equipment (9578),"4,997.00",-6.1,"40,984",-19.2,12.2,1.4,2.1,2.8,123,1.2,,
3,Sanofi-Aventis,France,Pharmaceuticals (4577),"4,569.00",0.2,"29,785",8.0,15.3,4.5,4.9,24.6,105,6.8,,
4,Siemens,Germany,Electrical components & equipment (2733),"4,282.00",1.9,"76,666",-6.9,5.6,4.0,3.7,4.9,414,-1.7,,
5,Daimler,Germany,Automobiles & parts (335),"4,164.00",-6.2,"78,924",-17.7,5.3,16.7,14.3,-0.3,259,-5.7,,
6,GlaxoSmithKline,UK,Pharmaceuticals (4577),"4,084.44",9.5,"31,928",16.5,12.8,5.0,5.9,26.8,99,-2.3,,
7,Robert Bosch,Germany,Automobiles & parts (335),"3,578.00",-8.6,"38,174",-15.4,9.4,4.9,7.3,-3.0,275,-2.9,,
8,AstraZeneca,UK,Pharmaceuticals (4577),"3,090.26",-12.0,"22,863",3.8,13.5,2.9,3.5,34.6,64,-3.3,,
9,Bayer,Germany,Chemicals (135),"2,964.00",8.8,"31,168",-5.3,9.5,4.3,5.1,9.0,109,1.2,,
10,EADS,The Netherlands,Aerospace & defence (271),"2,878.00",4.4,"42,822",-1.0,6.7,4.0,3.5,-1.1,120,1.0,,
11,Alcatel-Lucent,France,Telecommunications equipment (9578),"2,714.00",-14.3,"15,157",-10.8,17.9,2.2,2.4,-5.8,78,0.8,,
12,BMW,Germany,Automobiles & parts (335),"2,448.00",-14.5,"47,802",-10.1,5.1,23.0,28.7,0.5,96,-5.4,,
13,Ericsson,Sweden,Telecommunications equipment (9578),"2,401.68",-12.1,"20,155",-1.2,11.9,1.9,2.0,2.4,86,9.3,,
14,Peugeot (PSA),France,Automobiles & parts (335),"2,314.00",-2.4,"48,417",-10.9,4.8,3.5,4.0,-2.8,186,-7.7,,
15,Boehringer Ingelheim ,Germany,Pharmaceuticals (4577),"2,215.00",5.0,"12,721",9.7,17.4,5.0,5.7,17.7,42,0.6,,
16,Finmeccanica,Italy,Aerospace & defence (271),"1,926.00",9.0,"16,501",23.8,11.7,3.1,3.8,7.0,73,15.5,,
