eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,VOLKSWAGEN,Germany,Automobiles & Parts,13672.0,0.4,217267.0,1.9,6.3,13152.0,-0.5,6.1,8344.0,-779.5,3.8,626.7,2.7
2,DAIMLER,Germany,Automobiles & Parts,7536.0,15.4,153261.0,2.5,4.9,5889.0,16.0,3.8,12702.0,-2.9,8.3,282.5,-0.5
3,ROBERT BOSCH,Germany,Automobiles & Parts,5587.0,7.4,73129.0,3.6,7.6,5213.0,7.5,7.1,3125.0,-33.0,4.3,389.3,3.9
4,ASTRAZENECA,UK,Pharmaceuticals & Biotechnology,5358.1,-0.6,21821.5,-6.9,24.6,1371.8,8.9,6.3,3522.4,20.4,16.1,59.7,-2.9
5,BMW,Germany,Automobiles & Parts,5164.0,-0.1,94163.0,2.2,5.5,5823.0,-1.1,6.2,9327.0,-3.1,9.9,115.8,3.5
6,SANOFI,France,Pharmaceuticals & Biotechnology,5156.0,-1.7,36529.0,-0.1,14.1,2083.0,-24.9,5.7,7347.0,29.5,20.1,121.8,-1.4
7,SIEMENS,Germany,Electronic & Electrical Equipment,5056.0,4.9,79644.0,5.3,6.3,2135.0,12.5,2.7,7141.0,22.9,9.0,351.0,0.9
8,NOKIA,Finland,Technology Hardware & Equipment,4904.0,96.0,23614.0,74.0,20.8,477.0,51.9,2.0,-1051.0,-157.1,-4.5,101.0,81.3
9,BAYER,Germany,Pharmaceuticals & Biotechnology,4774.0,7.6,47537.0,0.6,10.0,2578.0,2.4,5.4,7237.0,10.0,15.2,115.2,-1.4
10,FIAT CHRYSLER AUTOMOBILES,Netherlands,Automobiles & Parts,4219.0,2.7,111018.0,0.4,3.8,8815.0,0.0,7.9,5109.0,95.6,4.6,234.5,-1.5
11,GLAXOSMITHKLINE,UK,Pharmaceuticals & Biotechnology,3952.8,9.4,32548.2,16.6,12.1,1800.8,11.8,5.5,2525.5,245.1,7.8,99.3,-1.9
12,ERICSSON,Sweden,Technology Hardware & Equipment,3295.4,-10.0,23303.7,-9.8,14.1,641.6,-26.5,2.8,655.5,-71.1,2.8,111.5,-4.1
13,AIRBUS,Netherlands,Aerospace & Defence,3281.0,-9.2,66581.0,3.3,4.9,2805.0,-7.6,4.2,2237.0,-44.2,3.4,133.8,-2.0
14,BOEHRINGER SOHN,Germany,Pharmaceuticals & Biotechnology,3112.0,3.6,14798.0,11.1,21.0,591.0,7.8,4.0,2269.0,6.0,15.3,46.7,-0.6
15,SAP,Germany,Software & Computer Services,3037.0,12.9,22062.0,6.1,13.8,1001.0,57.4,4.5,5134.0,20.7,23.3,84.2,9.3
16,CONTINENTAL,Germany,Automobiles & Parts,2917.4,15.4,40549.5,3.4,7.2,2592.5,19.0,6.4,4021.5,-2.6,9.9,220.1,5.9
17,RENAULT,France,Automobiles & Parts,2690.0,19.9,51243.0,13.1,5.2,2039.0,10.5,4.0,3302.0,49.7,6.4,124.8,3.9
18,ALLERGAN,Ireland,Pharmaceuticals & Biotechnology,2675.8,5.3,13822.8,-3.3,19.4,314.4,-27.1,2.3,-1727.1,-34.8,-12.5,16.7,-46.5
19,PEUGEOT (PSA),France,Automobiles & Parts,2269.0,1.1,54030.0,-1.2,4.2,2107.0,29.8,3.9,2643.0,36.5,4.9,170.2,-6.6
20,MEDTRONIC PUBLIC LIMITED,Ireland,Health Care Equipment & Services,2080.4,-1.4,28185.2,3.0,7.4,1189.6,19.9,4.2,5267.1,1.5,18.7,91.0,3.4
21,PHILIPS,Netherlands,General Industrials,2008.0,2.7,26227.0,1.4,7.7,443.0,-15.1,1.7,2202.0,80.3,8.4,114.7,1.6
22,NOVO NORDISK,Denmark,Pharmaceuticals & Biotechnology,1996.4,14.7,15035.6,3.6,13.3,950.7,35.3,6.3,6514.6,-2.0,43.3,42.0,3.3
23,MERCK DE,Germany,Pharmaceuticals & Biotechnology,1972.0,15.6,15024.0,17.0,13.1,716.0,39.3,4.8,2054.0,11.7,13.7,50.4,1.6
24,ZF,Germany,Automobiles & Parts,1893.0,40.2,35166.0,20.6,5.4,1185.0,-8.1,3.4,1616.0,46.6,4.6,136.8,-1.0
25,VOLVO,Sweden,Industrial Engineering,1839.1,-0.3,31605.9,-3.4,5.8,1827.8,2.2,5.8,2168.4,10.7,6.9,84.0,-5.0
26,BASF,Germany,Chemicals,1834.0,-4.2,57550.0,-18.3,3.2,4145.0,-28.7,7.2,6109.0,2.3,10.6,113.8,1.2
27,TELECOM ITALIA,Italy,Fixed Line Telecommunications,1748.0,1.6,19025.0,-3.5,9.2,3467.0,-27.2,18.2,3216.0,21.6,16.9,61.2,-7.0
28,BANCO SANTANDER,Spain,Banks,1726.0,16.5,46192.0,-4.0,3.7,6572.0,-14.2,14.2,10768.0,12.8,23.3,191.6,-1.1
29,DEUTSCHE BANK,Germany,Banks,1499.0,23.2,29772.0,-10.6,5.0,725.0,67.8,2.4,-810.0,-86.7,-2.7,99.7,-1.3
30,NXP SEMICONDUCTORS,Netherlands,Technology Hardware & Equipment,1441.0,90.1,9010.5,55.7,16.0,369.0,14.1,4.1,270.4,-88.4,3.0,40.4,-8.2
31,LEONARDO,Italy,Aerospace & Defence,1348.0,-1.8,12002.0,-7.6,11.2,159.0,-73.4,1.3,713.0,10.5,5.9,45.6,-3.2
32,SHIRE,UK,Pharmaceuticals & Biotechnology,1333.6,56.4,10811.7,77.6,12.3,615.4,465.6,5.7,897.8,-32.8,8.3,23.9,330.9
33,STMICROELECTRONICS,Netherlands,Technology Hardware & Equipment,1228.5,3.5,6587.6,1.1,18.6,579.6,15.5,8.8,260.9,108.3,4.0,43.5,0.7
34,SEAGATE TECHNOLOGY,Ireland,Technology Hardware & Equipment,1173.5,-8.6,10218.2,-3.5,11.5,411.7,-26.1,4.0,999.9,136.9,9.8,41.0,-9.9
35,VALEO,France,Automobiles & Parts,1140.0,19.5,16519.0,13.6,6.9,817.0,17.2,4.9,1362.0,36.3,8.2,91.8,10.9
36,DELPHI,UK,Automobiles & Parts,1138.4,0.0,15879.9,4.1,7.2,785.5,17.6,4.9,1362.3,-15.0,8.6,145.0,4.3
37,BARCLAYS,UK,Banks,1114.5,-4.3,29536.0,0.9,3.8,626.7,120.1,2.1,4816.5,99.1,16.3,119.3,-7.8
38,ASML HOLDING,Netherlands,Technology Hardware & Equipment,1026.5,-1.9,6794.8,8.1,15.1,316.3,-14.9,4.7,1898.2,2.0,27.9,16.6,13.4
39,ROLLS-ROYCE,UK,Aerospace & Defence,1014.2,17.9,17453.4,9.0,5.8,682.7,20.1,3.9,51.4,-97.1,0.3,49.9,-1.2
40,TOTAL,France,Oil & Gas Producers,996.1,-1.7,121359.4,-10.8,0.8,17176.7,-28.0,14.2,5175.0,76.1,4.3,102.2,6.4
41,UNILEVER,UK,Food Producers,978.0,-2.7,52713.0,-1.0,1.9,1804.0,-3.4,3.4,7801.0,4.3,14.8,168.8,-0.1
42,SAFRAN,France,Aerospace & Defence,967.0,-18.8,18454.0,2.0,5.2,704.0,-0.1,3.8,3790.0,59.9,20.5,66.5,12.7
43,UCB,Belgium,Pharmaceuticals & Biotechnology,963.0,2.4,4178.0,11.1,23.0,108.0,52.1,2.6,967.0,-2.1,23.1,7.6,-2.9
44,ROYAL DUTCH SHELL,UK,Oil & Gas Producers,962.0,-7.2,221602.3,-11.8,0.4,20980.9,-15.4,9.5,5322.1,1715.5,2.4,92.0,-1.1
45,TELEFONICA,Spain,Fixed Line Telecommunications,906.0,-10.5,52036.0,10.2,1.7,9321.0,-0.9,17.9,6339.0,86.9,12.2,127.3,-4.7
46,INFINEON TECHNOLOGIES,Germany,Technology Hardware & Equipment,868.0,6.2,6473.0,11.7,13.4,716.0,10.8,11.1,763.0,37.0,11.8,36.3,2.5
47,L'OREAL,France,Personal Goods,849.8,7.0,25837.1,2.3,3.3,1386.5,18.3,5.4,3945.7,-7.3,15.3,89.3,7.8
48,CNH INDUSTRIAL,Netherlands,Industrial Engineering,845.3,-2.8,24028.1,-2.3,3.5,829.1,33.2,3.5,1183.9,-45.7,4.9,62.8,-2.4
49,SERVIER,France,Pharmaceuticals & Biotechnology,786.0,7.1,4004.5,2.7,19.6,108.2,-0.5,2.7,470.4,-10.1,11.7,,
50,MYLAN,Netherlands,Pharmaceuticals & Biotechnology,784.4,23.1,10508.4,17.5,7.5,370.4,7.6,3.5,665.6,-52.0,6.3,35.0,0.0
51,MAHLE,Germany,Automobiles & Parts,753.3,14.7,11486.1,15.5,6.6,,,,511.7,-0.5,4.5,70.7,11.3
52,AMADEUS,Spain,Software & Computer Services,725.8,9.8,4472.9,14.3,16.2,105.1,-1.1,2.3,1212.3,14.9,27.1,13.9,8.4
53,SCHAEFFLER,Germany,Automobiles & Parts,725.0,12.1,13338.0,0.8,5.4,1117.0,14.3,8.4,1564.0,10.2,11.7,86.7,2.9
54,MICHELIN,France,Automobiles & Parts,718.0,4.2,20907.0,-1.4,3.4,1653.0,-0.9,7.9,2920.0,13.3,14.0,105.7,-0.8
55,HELLA,Germany,Automobiles & Parts,675.0,1.9,6584.7,3.7,10.3,, ,,428.8,25.0,6.5,37.6,6.9
56,ELECTRICITE DE FRANCE,France,Electricity,659.0,-19.5,71203.0,-5.1,0.9,13217.0,-0.2,18.6,7944.0,75.7,11.2,154.8,-1.0
57,FERRARI,Netherlands,Automobiles & Parts,651.0,8.3,3105.1,8.8,21.0,175.6,-5.0,5.7,606.1,33.8,19.5,3.2,8.3
58,UBISOFT ENTERTAINMENT,France,Software & Computer Services,646.5,14.0,1459.9,4.7,44.3,52.4,23.4,3.6,175.8,-157.6,12.0,11.9,11.6
59,ACCENTURE,Ireland,Support Services,610.4,2.9,33011.7,5.7,1.8,471.1,25.7,1.4,4563.6,8.4,13.8,384.0,7.3
60,BT,UK,Fixed Line Telecommunications,604.5,28.2,28081.8,26.4,2.2,3670.4,27.5,13.1,3682.1,-15.5,13.1,106.4,3.8
61,SCHNEIDER,France,Electronic & Electrical Equipment,603.0,-9.0,24693.0,-7.3,2.4,485.0,-4.7,2.0,2985.0,34.5,12.1,170.9,-5.8
62,THALES,France,Aerospace & Defence,561.4,1.4,14884.8,5.8,3.8,480.3,1.5,3.2,1217.0,13.0,8.2,63.8,3.1
63,ROYAL BANK OF SCOTLAND,UK,Banks,560.2,-21.8,14845.0,-8.1,3.8,1064.4,16.5,7.2,-4763.9,51.0,-32.1,77.0,-17.8
64,EATON CORPORATION,Ireland,Electronic & Electrical Equipment,558.8,-5.8,18733.5,-5.3,3.0,471.5,-1.8,2.5,2137.4,-3.8,11.4,95.0,-2.1
65,ARRIS,UK,Technology Hardware & Equipment,554.9,9.5,6478.6,42.3,8.6,63.3,33.8,1.0,105.0,-47.5,1.6,7.0,-17.6
66,DASSAULT SYSTEMES,France,Software & Computer Services,540.5,9.7,3055.6,7.6,17.7,56.7,30.0,1.9,672.0,6.1,22.0,15.1,8.3
67,LLOYDS BANKING,UK,Banks,540.3,51.3,20849.6,2.8,2.6,4388.2,10.0,21.0,4946.0,157.8,23.7,80.4,-6.2
68,INTESA SANPAOLO,Italy,Banks,517.0,39.4,16395.0,-3.1,3.2,,,,3216.0,-22.8,19.6,84.7,-2.6
69,FRESENIUS,Germany,Health Care Equipment & Services,500.0,7.8,29083.0,3.9,1.7,1628.0,7.7,5.6,4327.0,10.0,14.9,232.9,4.8
70,HENKEL,Germany,Household Goods & Home Construction,468.0,-6.2,18714.0,3.5,2.5,557.0,-10.9,3.0,2769.0,5.7,14.8,51.4,3.8
71,SAINT-GOBAIN,France,Construction & Materials,455.0,2.7,39093.0,-6.1,1.2,1521.0,3.1,3.9,2485.0,47.9,6.4,172.1,1.6
72,CARL ZEISS,Germany,Health Care Equipment & Services,442.9,-5.9,4880.8,8.2,9.1,190.9,2.3,3.9,615.6,65.6,12.6,25.4,1.5
73,EVONIK INDUSTRIES,Germany,Chemicals,438.0,0.9,12732.0,-5.7,3.4,948.0,3.5,7.4,1301.0,-16.7,10.2,34.4,2.3
74,THYSSENKRUPP,Germany,Industrial Metals & Mining,427.0,13.9,39263.0,-8.2,1.1,1216.0,5.7,3.1,1193.0,1.4,3.0,156.5,1.0
75,SANDVIK,Sweden,Industrial Engineering,413.3,2.5,8838.6,-7.0,4.7,283.5,-17.1,3.2,1010.9,56.4,11.4,44.8,-3.9
76,BP,UK,Oil & Gas Producers,379.5,-4.3,173615.4,-17.9,0.2,15843.8,-10.4,9.1,-745.7,-91.2,-0.4,74.5,-6.6
77,UNICREDIT,Italy,Banks,377.4,-12.3,18154.0,-17.3,2.1,342.5,-62.9,1.9,-11244.9,-569.3,-61.9,135.2,12.0
78,HEXAGON,Sweden,Industrial Engineering,365.9,1.7,3149.2,3.5,11.6,54.3,13.4,1.7,735.0,9.1,23.3,16.6,2.9
79,ZODIAC AEROSPACE,France,Aerospace & Defence,363.8,8.9,5208.2,5.6,7.0,125.4,4.6,2.4,293.1,-24.5,5.6,33.7,3.9
80,ALKERMES,Ireland,Pharmaceuticals & Biotechnology,357.6,12.8,707.4,18.7,50.5,41.4,-17.4,5.9,-198.0,-7.0,-28.0,1.8,16.7
81,H LUNDBECK,Denmark,Pharmaceuticals & Biotechnology,354.7,-7.7,2102.9,7.1,16.9,32.0,0.4,1.5,308.3,-133.6,14.7,5.0,-5.2
82,VILMORIN,France,Food Producers,352.2,6.8,1325.1,4.4,26.6,33.5,-26.4,2.5,96.2,-2.0,7.3,6.4,2.7
83,OSRAM LICHT,Germany,Household Goods & Home Construction,345.0,-3.6,3785.0,-32.1,9.1,349.0,24.3,9.2,414.0,91.3,10.9,34.2,3.3
84,COMMERZBANK,Germany,Banks,343.0,23.8,9662.0,-5.1,3.5,195.0,-14.1,2.0,643.0,-64.8,6.7,49.9,-2.7
85,ELECTROLUX,Sweden,Household Goods & Home Construction,342.7,1.6,12676.6,-2.0,2.7,296.3,-6.5,2.3,658.4,132.0,5.2,53.9,-2.5
86,CHIESI FARMACEUTICI,Italy,Pharmaceuticals & Biotechnology,340.0,12.6,1571.2,7.1,21.6,45.9,-16.6,2.9,313.7,0.1,20.0,4.4,5.1
87,AKZO NOBEL,Netherlands,Chemicals,338.0,4.6,14197.0,-4.5,2.4,634.0,-2.6,4.5,1519.0,-3.4,10.7,46.0,0.9
88,DANONE,France,Food Producers,333.0,8.5,21944.0,-2.1,1.5,925.0,-1.3,4.2,3080.0,29.9,14.0,99.2,-0.6
89,DANSKE BANK,Denmark,Banks,329.4,-8.2,6703.6,5.8,4.9,38.7,-54.0,0.6,3410.9,42.8,50.9,19.0,-0.3
90,KNORR-BREMSE,Germany,Industrial Engineering,328.4,-5.4,5830.6,12.0,5.6,,,,977.3,19.5,16.8,21.5,9.3
91,RELX GROUP,UK,Media,326.8,15.7,8046.9,15.5,4.1,59.5,-21.5,0.7,1993.3,14.1,24.8,31.2,4.0
92,INTERNATIONAL GAME TECHNOLOGY,UK,Travel & Leisure,325.9,23.8,4889.4,8.8,6.7,528.6,38.4,10.8,679.8,32.8,13.9,12.6,0.3
93,ATLAS COPCO,Sweden,Industrial Engineering,321.9,-5.3,10915.3,2.1,2.9,143.3,-19.7,1.3,2064.4,0.3,18.9,44.7,3.7
94,SOLVAY,Belgium,Chemicals,319.0,10.8,11403.0,13.1,2.8,883.0,-7.2,7.7,1056.0,44.5,9.3,27.0,-12.6
95,DSM,Netherlands,Chemicals,310.0,-19.9,7920.0,-11.4,3.9,413.0,-9.8,5.2,737.0,114.2,9.3,20.8,0.2
