eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,VOLKSWAGEN,Germany,Automobiles & Parts,"13,612.0",3.8,"213,292.0",5.4,6.4,"13,213.0",10.0,6.2,"-1,228.0",-110.1,-0.6,610,3.0
2,DAIMLER,Germany,Automobiles & Parts,"6,529.0",15.6,"149,467.0",15.1,4.4,"5,075.0",4.8,3.4,"13,088.0",26.6,8.8,284,1.4
3,SANOFI,France,Pharmaceuticals & Biotechnology,"5,246.0",9.0,"34,542.0",2.3,15.2,"2,772.0",78.0,8.0,"5,571.0",-13.6,16.1,116,1.9
4,ASTRAZENECA,UK,Pharmaceuticals & Biotechnology,"5,217.2",12.3,"22,695.0",-6.9,23.0,"1,219.8",31.2,5.4,"2,818.0",29.3,12.4,62,7.0
5,ROBERT BOSCH,Germany,Automobiles & Parts,"5,202.0",3.2,"70,607.0",44.2,7.4,0.0,,0.0,"4,663.0",58.0,6.6,375,29.2
6,BMW,Germany,Automobiles & Parts,"5,169.0",13.2,"92,175.0",14.6,5.6,"5,889.0",-3.4,6.4,"9,623.0",3.6,10.4,112,5.8
7,SIEMENS,Germany,Electronic & Electrical equipment,"4,820.0",10.1,"75,636.0",5.2,6.4,"1,897.0",3.6,2.5,"5,809.0",-8.8,7.7,348,-2.5
8,BAYER,Germany,Pharmaceuticals & Biotechnology,"4,436.0",20.2,"47,271.0",11.9,9.4,"2,517.0",6.2,5.3,"6,578.0",18.1,13.9,117,-1.8
9,GLAXOSMITHKLINE,UK,Pharmaceuticals & Biotechnology,"4,214.2",-0.5,"32,563.2",4.0,12.9,"1,878.4",16.2,5.8,"13,996.9",185.3,43.0,101,2.5
10,FIAT CHRYSLER AUTOMOBILES,Italy,Automobiles & Parts,"4,108.0",12.1,"110,595.0",15.1,3.7,"8,819.0",8.6,8.0,"2,625.0",-19.5,2.4,238,4.1
11,ERICSSON,Sweden,Technology Hardware & Equipment,"3,805.6",-3.5,"26,869.8",8.3,14.2,907.3,56.7,3.4,"2,355.8",27.8,8.8,116,-1.5
12,AIRBUS,The Netherlands,Aerospace & Defense,"3,614.0",-0.1,"64,450.0",6.2,5.6,"2,924.0",14.8,4.5,"4,008.0",2.7,6.2,137,-1.5
13,BOEHRINGER SOHN,Germany,Pharmaceuticals & Biotechnology,"3,004.0",13.2,"14,798.0",11.1,20.3,0.0,,0.0,0.0,,0.0,0,
14,SAP,Germany,Software & Computer Services,"2,689.0",16.6,"20,793.0",18.4,12.9,636.0,-13.7,3.1,"4,252.0",-8.3,20.4,77,3.5
15,CONTINENTAL,Germany,Automobiles & Parts,"2,528.3",15.2,"39,232.0",13.7,6.4,"2,178.8",6.5,5.6,"4,130.0",23.1,10.5,208,9.9
16,NOKIA,Finland,Technology Hardware & Equipment,"2,502.0",-7.9,"13,574.0",-10.6,18.4,314.0,1.0,2.3,"1,842.0",-637.0,13.6,56,-9.6
17,ALLERGAN,Ireland,Pharmaceuticals & Biotechnology,"2,459.8",146.6,"13,843.1",15.4,17.8,417.8,90.7,3.0,"-2,562.9",138.7,-18.5,31,44.4
18,ALCATEL-LUCENT,France,Technology Hardware & Equipment,"2,409.0",7.1,"14,280.0",4.9,16.9,0.0,,0.0,890.0,449.4,6.2,50,-5.0
19,PEUGEOT (PSA),France,Automobiles & Parts,"2,244.0",-0.7,"54,676.0",6.0,4.1,"1,623.0",29.6,3.0,"1,936.0","4,994.7",3.5,182,-4.0
20,RENAULT,France,Automobiles & Parts,"2,243.0",18.7,"45,327.0",10.4,4.9,"1,845.0",19.5,4.1,"2,151.0",71.9,4.7,120,2.3
21,MEDTRONIC PUBLIC LIMITED,Ireland,Health Care Equipment & Services,"2,042.8",35.6,"26,483.9",42.3,7.7,960.8,83.2,3.6,"4,859.9",36.2,18.4,88,-4.3
22,PHILIPS,The Netherlands,General Industrials,"1,955.0",15.5,"25,863.0",20.9,7.6,522.0,19.5,2.0,"1,291.0",165.6,5.0,113,-0.6
23,EXOR,Italy,Real Estate Investment & Services,"1,946.0",12.1,"136,360.0",11.5,1.4,"10,310.0",8.3,7.6,"3,741.0",-30.6,2.7,303,-4.8
24,VOLVO,Sweden,Industrial Engineering,"1,916.9",-2.4,"34,007.9",10.4,5.6,"1,859.7",-0.7,5.5,"2,036.0",224.0,6.0,88,-4.7
25,BASF,Germany,Chemicals,"1,914.0",3.7,"70,449.0",-5.2,2.7,"5,812.0",9.7,8.2,"5,970.0",-11.6,8.5,112,-0.8
26,NOVO NORDISK,Denmark,Pharmaceuticals & Biotechnology,"1,739.7",0.7,"14,514.5",21.5,12.0,702.5,30.9,4.8,"6,649.4",43.3,45.8,41,-0.8
27,TELECOM ITALIA,Italy,Fixed Line Telecommunications,"1,720.0",53.8,"19,718.0",-8.6,8.7,"4,761.0",85.8,24.1,"2,644.0",-39.5,13.4,66,-0.2
28,MERCK DE,Germany,Pharmaceuticals & Biotechnology,"1,706.5",0.4,"12,844.7",11.7,13.3,693.0,,5.4,"1,839.6",7.9,14.3,50,25.2
29,BANCO SANTANDER,Spain,Banks,"1,481.0",10.1,"48,621.0",6.4,3.0,0.0,,0.0,"9,547.0",-10.6,19.6,194,4.6
30,LEONARDO - FINMECCANICA,Italy,Aerospace & Defense,"1,373.0",-8.0,"12,995.0",-11.4,10.6,597.0,-5.1,4.6,645.0,22.2,5.0,47,-13.3
31,BARCLAYS,UK,Banks,"1,358.4",42.2,"34,711.1",0.7,3.9,0.0,,0.0,"2,821.7",-8.1,8.1,129,-2.2
32,ZF,Germany,Automobiles & Parts,"1,350.0",55.9,"29,154.0",58.3,4.6,0.0,,0.0,"1,102.0",20.0,3.8,138,93.6
33,DEUTSCHE BANK,Germany,Banks,"1,217.0",26.5,"34,222.0",3.7,3.6,0.0,,0.0,"-6,097.0",-295.6,-17.8,101,3.0
34,SAFRAN,France,Aerospace & Defense,"1,191.0",-9.3,"18,100.0",20.3,6.6,758.0,12.5,4.2,"2,370.0",43.2,13.1,70,1.7
35,STMICROELECTRONICS,The Netherlands,Technology Hardware & Equipment,"1,149.1",-2.7,"6,335.1",-6.8,18.1,485.9,6.7,7.7,121.2,-21.0,1.9,43,-1.0
36,SEAGATE TECHNOLOGY,Ireland,Technology Hardware & Equipment,"1,136.2",-8.6,"10,250.8",-18.8,11.1,539.2,-21.4,5.3,408.7,-78.4,4.0,46,-13.1
37,DELPHI,UK,Automobiles & Parts,"1,102.2",-7.7,"14,769.0",-5.5,7.5,646.6,-17.7,4.4,"1,551.4",-7.7,10.5,139,9.4
38,TOTAL,France,Oil & Gas Producers,"1,068.0",-21.1,"131,736.1",-32.4,0.8,"23,084.4",-4.5,17.5,"2,844.7",-67.7,2.2,96,-4.3
39,ASML HOLDING,The Netherlands,Technology Hardware & Equipment,"1,046.3",1.0,"6,287.4",7.4,16.6,371.8,3.8,5.9,"1,860.7",22.1,29.6,15,4.3
40,TELEFONICA,Spain,Fixed Line Telecommunications,"1,012.0",-0.9,"47,219.0",-6.3,2.1,"9,401.0",,19.9,"3,689.0",-49.8,7.8,130,5.0
41,UNILEVER,The Netherlands,Food Producers,"1,005.0",5.2,"53,272.0",10.0,1.9,0.0,,0.0,"7,606.0",7.4,14.3,171,-0.9
42,ROYAL DUTCH SHELL,UK,Oil & Gas Producers,"1,004.0",-10.6,"243,372.9",-37.1,0.4,"24,002.0",-18.0,9.9,283.8,-98.8,0.1,93,-1.1
43,ROLLS-ROYCE,UK,Aerospace & Defense,"1,003.2",-4.0,"18,682.0",-5.0,5.4,662.9,-24.8,3.5,"2,040.4",7.8,10.9,51,-6.7
44,VALEO,France,Automobiles & Parts,954.0,18.2,"14,544.0",14.3,6.6,697.0,16.6,4.8,999.0,16.3,6.9,83,5.5
45,UCB,Belgium,Pharmaceuticals & Biotechnology,940.0,22.4,"3,782.0",28.7,24.9,71.0,-15.5,1.9,988.0,226.1,26.1,8,-10.3
46,SCHNEIDER,France,Electronic & Electrical equipment,937.0,1.6,"26,640.0",6.8,3.5,509.0,7.2,1.9,"2,220.0",-23.4,8.3,181,-2.5
47,CNH INDUSTRIAL,The Netherlands,Industrial Engineering,842.3,-18.3,"23,800.9",-21.4,3.5,602.6,-61.4,2.5,"2,110.8",4.1,8.9,64,-7.0
48,ROYAL BANK OF SCOTLAND,UK,Banks,835.8,-1.1,"18,846.7",-9.0,4.4,0.0,,0.0,"-3,679.2",-202.3,-19.5,94,4.4
49,SHIRE,UK,Pharmaceuticals & Biotechnology,825.4,5.4,"5,893.9",6.5,14.0,105.4,49.0,1.8,"1,293.7",-7.9,22.0,6,10.6
50,INFINEON TECHNOLOGIES,Germany,Technology Hardware & Equipment,817.0,27.3,"5,795.0",34.1,14.1,646.0,13.9,11.1,557.0,6.5,9.6,35,18.8
51,L'OREAL,France,Personal Goods,794.1,4.4,"25,257.4",12.1,3.1,"1,172.1",16.3,4.6,"4,256.2",20.0,16.9,83,5.4
52,HSBC,UK,Banks,787.2,17.1,"57,377.6",-2.6,1.4,0.0,,0.0,"17,329.8",1.0,30.2,264,-0.8
53,SERVIER,France,Pharmaceuticals & Biotechnology,734.0,-14.8,"3,898.4",-2.3,18.8,0.0,,0.0,523.3,51.4,13.4,21,-0.6
54,NXP SEMICONDUCTORS,The Netherlands,Technology Hardware & Equipment,733.9,4.8,"5,603.9",8.0,13.1,313.2,3.6,5.6,690.7,-28.3,12.3,44,57.8
55,ORANGE,France,Fixed Line Telecommunications,726.0,-0.8,"40,236.0",2.0,1.8,"7,771.0",27.2,19.3,"4,704.0",8.6,11.7,0,
56,MICHELIN,France,Automobiles & Parts,689.0,5.0,"21,199.0",8.4,3.3,"1,668.0",-4.8,7.9,"2,577.0",29.4,12.2,107,-4.5
57,HELLA,Germany,Automobiles & Parts,662.5,15.1,"6,351.9",,10.4,0.0,,0.0,342.9,,5.4,35,
58,AMADEUS,Spain,Software & Computer Services,660.8,16.3,"3,912.7",14.5,16.9,106.3,36.7,2.7,"1,054.8",10.4,27.0,13,7.2
59,MAHLE,Germany,Automobiles & Parts,657.0,18.9,0.0,,,0.0,,,0.0,,,0,
60,SCHAEFFLER,Germany,Automobiles & Parts,647.0,14.7,"13,226.0",9.1,4.9,977.0,21.1,7.4,"1,419.0",-6.4,10.7,84,2.3
61,MYLAN,The Netherlands,Pharmaceuticals & Biotechnology,617.2,15.5,"8,661.1",22.1,7.1,333.3,11.6,3.8,"1,341.9",8.0,15.5,35,40.0
62,FERRARI,Italy,Automobiles & Parts,601.1,7.3,"2,854.4",3.3,21.1,184.9,9.2,6.5,444.3,14.1,15.6,0,
63,ACCENTURE,Ireland,Support Services,574.6,-2.2,"30,232.8",3.3,1.9,362.8,22.7,1.2,"4,074.5",3.1,13.5,358,17.4
64,EATON CORPORATION,Ireland,Electronic & Electrical equipment,574.1,-3.4,"19,155.9",-7.5,3.0,464.8,-19.9,2.4,"2,151.2",29.8,11.2,97,-4.9
65,UBISOFT ENTERTAINMENT,France,Software & Computer Services,567.0,27.2,"1,394.0",-4.8,40.7,0.0,,0.0,156.1,-3.1,11.2,11,9.0
66,ELECTRICITE DE FRANCE,France,Electricity,555.0,-29.2,"75,006.0",2.2,0.7,"13,249.0",,17.7,"4,521.0",-47.9,6.0,156,5.6
67,THALES,France,Aerospace & Defense,553.5,5.6,"14,063.2",8.4,3.9,473.4,0.2,3.4,"1,077.3",26.1,7.7,62,1.8
