eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,Nokia,Finland,Telecommunications equipment (9578),"5,281.00",42.3,"51,058",24.2,10.3,1.3,2.0,11.7,101,53.9
2,Volkswagen,Germany,Automobiles & parts (335),"4,923.00",16.1,"108,897",3.3,4.5,8.9,8.0,6.3,308,-0.3
3,Daimler,Germany,Automobiles & parts (335),"4,888.00",-6.6,"129,436",-15.3,3.8,16.0,20.1,6.8,357,-2.4
4,Sanofi-Aventis,France,Pharmaceuticals (4577),"4,563.00",3.6,"28,052",-1.1,16.3,4.8,4.4,23.0,99,-0.8
5,GlaxoSmithKline,UK,Pharmaceuticals (4577),"4,419.43",-6.1,"30,928",-2.2,14.3,7.0,6.4,33.5,103,1.6
6,Robert Bosch,Germany,Automobiles & parts (335),"3,560.00",4.8,"46,320",6.0,7.7,5.7,6.1,6.9,268,3.8
7,AstraZeneca,UK,Pharmaceuticals (4577),"3,448.55",29.8,"20,217",11.6,17.1,4.0,3.0,27.4,68,2.0
8,Alcatel-Lucent,France,Telecommunications equipment (9578),"3,368.00",69.4,"18,005",25.2,18.7,2.0,2.0,-24.4,76,-14.5
9,Siemens,Germany,Electrical components & equipment (2733),"3,366.00",1.7,"90,348",0.5,3.7,3.3,4.6,6.5,398,8.1
10,BMW,Germany,Automobiles & parts (335),"3,144.00",-2.0,"56,018",14.3,5.6,24.5,22.8,7.1,98,0.7
11,Ericsson,Sweden,Telecommunications equipment (9578),"2,911.03",2.4,"19,872",5.6,14.6,2.3,2.2,16.2,73,13.7
12,EADS,The Netherlands,Aerospace & defence (271),"2,701.00",-5.9,"39,123",-0.8,6.9,4.6,5.8,-0.3,116,-0.3
13,Bayer,Germany,Chemicals (135),"2,645.00",7.7,"32,631",2.6,8.1,4.8,5.0,9.4,106,9.3
14,Renault,France,Automobiles & parts (335),"2,462.00",2.6,"39,561",-2.4,6.2,8.3,8.8,7.3,134,-0.3
15,Peugeot (PSA),France,Automobiles & parts (335),"2,074.00",-4.6,"60,613",7.1,3.4,3.3,4.7,1.8,208,-1.8
16,Finmeccanica,Italy,Aerospace & defence (271),"1,955.00",4.6,"11,916",2.5,16.4,5.3,4.9,8.5,59,3.6
17,Fiat,Italy,Automobiles & parts (335),"1,741.00",8.9,"58,529",14.9,3.0,5.0,6.5,5.2,180,3.4
18,Boehringer Ingelheim ,Germany,Pharmaceuticals (4577),"1,730.00",9.9,"10,952",3.6,15.8,6.0,5.6,19.2,40,3.6
19,BT,UK,Fixed line telecommunications (653),"1,704.60",11.9,"28,188",2.4,6.0,12.2,12.2,11.1,109,3.1
20,Philips Electronics,The Netherlands,Leisure goods (374),"1,604.00",-7.6,"27,037",-12.4,5.9,2.4,2.3,8.3,126,-22.0
21,SAP ,Germany,Software (9537),"1,458.00",12.3,"10,256",9.1,14.2,3.3,3.3,26.2,42,11.2
22,BASF,Germany,Chemicals (135),"1,399.40",7.5,"57,951",10.2,2.4,4.4,7.7,12.8,96,7.6
23,Volvo,Sweden,Commercial vehicles & trucks (2753),"1,388.00",16.4,"30,203",10.3,4.6,4.4,4.2,7.4,92,12.1
24,Infineon Technologies ,Germany,Semiconductors (9576),"1,169.00",-1.1,"7,682",-3.1,15.2,18.6,15.3,-5.8,43,3.6
25,STMicroelectronics ,The Netherlands,Semiconductors (9576),"1,166.16",5.7,"6,816",1.3,17.1,11.4,15.6,4.4,52,0.8
26,Merck,Germany,Pharmaceuticals (4577),"1,123.00",53.5,"8,452",35.0,13.3,3.3,4.0,4.6,31,3.4
27,NXP,The Netherlands,Semiconductors (9576),"1,058.00",,"4,629",,22.9,8.6,,6.2,38,
28,Novo Nordisk,Denmark,Pharmaceuticals (4577),996.43,23.0,"5,610",8.0,17.8,5.5,7.5,24.3,24,7.8
29,France Telecom,France,Fixed line telecommunications (653),894.00,4.4,"52,959",0.8,1.7,10.2,10.1,18.9,184,-2.8
30,SAFRAN,France,Aerospace & defence (271),887.00,3.3,"11,494",6.0,7.7,4.1,3.6,0.5,53,-8.9
31,Unilever,UK,Food producers (357),868.00,-4.2,"40,187",-1.2,2.2,3.2,2.6,12.7,175,-7.4
32,Continental,Germany,Automobiles & parts (335),842.10,24.2,"16,619",11.6,5.1,5.1,5.1,9.9,94,15.1
33,Royal Dutch Shell,UK,Oil & gas producers (53),821.44,35.7,"243,342",11.6,0.3,6.7,7.1,13.8,104,-3.7
34,Valeo,France,Automobiles & parts (335),790.00,0.1,"10,106",1.4,7.8,4.4,4.9,3.2,61,-12.1
35,UCB,Belgium,Pharmaceuticals (4577),781.00,27.0,"3,626",43.7,21.5,6.1,2.6,8.2,12,42.8
36,Porsche (now Porsche Automobile),Germany,Automobiles & parts (335),734.10,63.7,"7,368",1.3,10.0,15.2,12.0,80.9,11,1.3
37,Schneider,France,Electrical components & equipment (2733),675.00,13.4,"17,309",26.1,3.9,2.4,2.6,13.8,119,19.2
38,ZF,Germany,Automobiles & parts (335),666.00,14.0,"12,649",8.5,5.3,4.6,4.0,6.7,57,4.2
39,Royal Bank of Scotland,UK,Banks (835),654.88,25.9,"42,363",11.1,1.5,,,31.8,171,19.6
