eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
40,Rolls-Royce,UK,Aerospace & defence (271),618.12,10.5,"10,123",3.9,6.1,4.1,4.2,6.9,39,3.5
41,Telefonica,Spain,Fixed line telecommunications (653),594.00,1.0,"56,441",6.1,1.1,11.9,12.7,19.0,244,7.4
41,TOTAL,France,Oil & gas producers (53),594.00,4.4,"136,824",2.0,0.4,7.5,6.9,19.5,96,1.4
43,Thales,France,Aerospace & defence (271),584.00,13.0,"12,296",19.8,4.7,2.8,2.2,5.9,61,17.3
44,Michelin,France,Automobiles & parts (335),571.00,-3.4,"16,867",2.9,3.4,7.6,8.4,7.8,122,-3.6
45,Solvay,Belgium,Chemicals (135),570.00,-0.7,"9,572",1.8,6.0,6.5,6.4,9.9,28,-3.1
45,AREVA,France,Electricity (753),570.00,22.1,"11,923",9.8,4.8,6.8,5.4,7.5,66,7.3
47,ALSTOM,France,Industrial machinery (2757),561.00,27.5,"16,908",15.6,3.3,2.2,1.8,7.3,68,2.0
48,L'Oreal,France,Personal goods (376),559.90,5.1,"17,063",8.1,3.3,4.1,4.4,16.4,63,4.1
49,Deutsche Telekom,Germany,Fixed line telecommunications (653),548.00,12.5,"62,516",1.9,0.9,11.0,11.9,7.9,244,-1.9
50,ASML,The Netherlands,Semiconductors (9576),488.96,27.3,"3,809",5.9,12.8,6.1,2.8,22.7,6,16.4
51,Vivendi,France,Media (555),423.00,14.6,"21,657",8.0,2.0,5.2,6.1,22.0,40,7.8
52,HSBC,UK,Banks (835),401.49,-0.3,"59,916",25.0,0.7,,,27.6,322,8.8
53,Saint-Gobain,France,Construction & materials (235),399.00,7.0,"43,421",4.4,0.9,5.3,5.3,6.4,208,0.4
54,BP,UK,Oil & gas producers (53),387.12,43.3,"194,496",6.9,0.2,6.1,5.9,10.5,97,0.1
55,Electricite de France,France,Electricity (753),375.00,-3.6,"59,637",1.2,0.6,11.4,10.5,13.0,154,-1.2
56,DSM,The Netherlands,Chemicals (135),372.00,13.8,"8,757",4.5,4.2,4.9,5.0,7.1,22,4.7
57,MAN,Germany,Commercial vehicles & trucks (2753),358.00,-1.1,"16,576",8.2,2.2,7.0,8.6,11.0,51,2.6
58,Shire,UK,Pharmaceuticals (4577),354.84,71.7,"1,666",35.6,21.3,3.8,4.3,-1.1,3,19.8
59,Henkel,Germany,Household goods (372),350.00,2.9,"13,074",2.6,2.7,3.6,3.4,10.9,52,1.1
60,Scania,Sweden,Commercial vehicles & trucks (2753),319.91,12.8,"8,997",19.4,3.6,11.2,12.2,14.2,33,4.8
61,Vodafone,UK,Mobile telecommunications (657),318.59,5.4,"48,303",12.2,0.7,11.5,10.8,28.5,72,8.7
62,Thomson,France,Media (555),316.00,-4.5,"6,108",-9.0,5.2,3.1,2.6,1.0,25,-16.7
63,Societe Generale,France,Banks (835),315.00,47.2,"21,923",-2.2,1.4,,,8.4,130,13.0
64,Evonik Industries,Germany,General industrials (272),312.00,3.0,"16,645",-10.3,1.9,5.5,5.5,6.4,44,-14.6
65,Lundbeck,Denmark,Pharmaceuticals (4577),293.32,11.7,"1,473",19.1,19.9,7.7,7.8,23.8,5,0.5
66,Dassault Systemes ,France,Software (9537),292.00,3.9,"1,259",8.7,23.2,2.0,1.6,19.5,7,9.0
67,Carl Zeiss,Germany,Health care equipment & services (453),290.00,14.2,"2,604",7.0,11.1,4.1,5.4,13.9,12,4.4
68,Hella ,Germany,Automobiles & parts (335),284.80,-0.3,"3,667",8.0,7.8,5.6,8.2,1.5,25,4.7
69,AKZO Nobel,The Netherlands,Chemicals (135),280.00,-68.4,"13,502",-1.7,2.1,3.8,3.9,10.1,43,-30.5
70,MAHLE ,Germany,Automobiles & parts (335),277.67,14.9,"5,060",17.3,5.5,6.1,6.1,6.9,44,18.1
71,Autoliv ,Sweden,Automobiles & parts (335),270.65,-0.5,"4,630",9.4,5.8,4.8,5.3,7.5,42,0.2
72,Dassault Aviation,France,Aerospace & defence (271),265.03,-6.2,"4,085",23.7,6.5,1.9,3.3,11.7,12,0.7
73,Nycomed,Luxembourg,Pharmaceuticals (4577),264.80,608.6,"3,497",302.0,7.6,2.5,3.4,10.1,12,211.9
74,ThyssenKrupp,Germany,Industrial metals (175),264.00,9.1,"51,723",9.8,0.5,5.3,3.1,7.1,188,0.8
75,BSH Bosch und Siemens Hausgerate,Germany,Household goods (372),263.00,11.9,"8,818",6.1,3.0,4.2,4.2,7.5,39,6.3
76,Reuters (now Thomson Reuters),UK,Media (555),258.69,8.0,"3,547",1.5,7.3,5.1,5.1,10.5,17,7.1
77,Behr,Germany,Automobiles & parts (335),241.00,5.2,"3,383",6.1,7.1,,4.7,2.5,19,4.6
78,BAE Systems,UK,Aerospace & defence (271),239.62,8.6,"19,482",16.0,1.2,2.2,4.1,7.6,83,5.1
79,Sandvik,Sweden,Industrial machinery (2757),236.20,22.8,"9,137",19.4,2.6,5.7,6.2,16.5,44,9.2
80,UBIsoft Entertainment,France,Software (9537),226.01,73.0,680,24.3,33.2,2.4,2.6,5.4,4,15.2
81,Fortis,Belgium,Banks (835),226.00,247.7,"14,899",-49.6,1.5,,,19.0,62,9.0
82,Heidelberger Druckmaschinen,Germany,Industrial machinery (2757),221.66,-6.5,"3,670",-3.5,6.0,4.8,3.9,7.0,19,3.1
83,Voith,Germany,General industrials (272),219.44,13.4,"4,190",12.1,5.2,3.9,4.0,7.3,36,6.2
84,Oce,The Netherlands,Electronic office equipment (9574),218.75,-1.1,"3,098",-0.4,7.1,6.4,6.8,3.8,24,0.1
85,TeliaSonera,Sweden,Fixed line telecommunications (653),213.87,-18.9,"10,196",5.8,2.1,12.1,10.9,26.9,28,5.2
86,Electrolux,Sweden,Household goods (372),213.45,10.1,"11,083",-13.3,1.9,3.3,2.6,4.0,57,2.6
87,Eni,Italy,Oil & gas producers (53),208.00,-6.3,"87,256",1.3,0.2,9.8,7.1,22.5,75,2.5
88,Agfa-Gevaert,Belgium,Electronic equipment (2737),200.00,-1.0,"3,283",-3.5,6.1,2.2,2.3,3.3,14,-4.3
89,Fresenius ,Germany,Health care equipment & services (453),184.00,10.2,"11,358",5.4,1.6,6.2,5.5,14.2,108,8.6
90,Rheinmetall,Germany,Automobiles & parts (335),179.00,5.9,"4,005",10.4,4.5,4.2,4.5,6.0,19,1.0
91,Legrand,France,Electrical components & equipment (2733),175.90,0.2,"4,129",10.5,4.3,3.3,3.2,16.1,32,5.4
92,L'Air Liquide,France,Chemicals (135),175.10,13.5,"11,801",7.8,1.5,11.2,10.4,15.0,40,9.2
93,Ipsen,France,Pharmaceuticals (4577),174.85,8.6,994,5.2,17.6,5.9,4.3,20.0,4,1.1
94,Tesco,UK,Food & drug retailers (533),174.27,-0.8,"64,396",10.8,0.3,7.9,6.5,5.7,444,7.5
95,Pirelli,Italy,Automobiles & parts (335),173.00,1.2,"6,505",34.4,2.7,4.4,5.3,7.5,31,7.6
96,Smiths,UK,General industrials (272),171.28,-41.9,"4,243",-11.5,4.0,2.3,3.1,12.2,29,-7.2
97,Freudenberg,Germany,General industrials (272),170.30,-2.7,"5,341",5.7,3.2,5.8,5.6,8.0,35,4.5
98,Intesa-Sanpaolo,Italy,Banks (835),167.00,11.3,"16,540",70.3,1.0,,,30.9,98,73.5
99,BAT,UK,Tobacco (378),162.02,22.7,"13,640",2.6,1.2,4.6,4.6,32.7,54,-2.2
100,Barclays,UK,Banks (835),160.66,24.2,"31,984",6.0,0.5,,,28.9,129,8.7
101,Atlas Copco,Sweden,Industrial machinery (2757),160.43,5.6,"6,705",3.4,2.4,3.8,3.7,18.8,30,21.1
102,Rabobank,The Netherlands,Banks (835),159.00,-10.7,"10,746",13.2,1.5,,,28.4,53,9.5
103,Knorr-Bremse ,Germany,Industrial machinery (2757),158.67,12.7,"3,251",4.2,4.9,4.2,3.3,10.0,13,7.5
104,Arkema,France,Chemicals (135),158.00,-6.0,"5,675",-3.3,2.8,5.5,5.5,3.5,15,-10.9
105,Amdocs ,UK,Software (9537),157.62,23.4,"1,940",14.4,8.1,5.9,3.2,12.9,17,7.6
106,Diehl Stiftung ,Germany,General industrials (272),157.50,1.0,"2,217",4.2,7.1,2.9,3.0,4.5,11,6.3
107,Elan,Ireland,Pharmaceuticals (4577),155.67,17.9,353,3.8,44.1,4.2,6.8,-104.5,2,-4.3
108,Wacker-Chemie,Germany,Chemicals (135),152.50,0.1,"3,781",13.3,4.0,15.2,12.7,16.4,15,1.8
109,Sage,UK,Software (9537),151.67,17.4,"1,576",23.7,9.6,1.9,2.5,22.2,14,28.7
110,SAAB,Sweden,Aerospace & defence (271),147.73,42.3,"2,436",9.3,6.1,1.8,2.1,9.6,13,3.7
111,ArcelorMittal,Luxembourg,Industrial metals (175),146.37,122.9,"71,964",78.7,0.2,5.2,5.0,15.0,311,-2.5
112,Kerry,Ireland,Food producers (357),145.24,4.5,"4,788",3.1,3.0,2.5,2.1,7.1,22,-3.8
113,Zodiac,France,Aerospace & defence (271),145.19,30.9,"2,478",5.9,5.9,2.2,2.1,14.0,17,4.2
114,Fujitsu Siemens Computers ,The Netherlands,Computer services (9533),145.10,9.6,"6,952",4.6,2.1,0.9,0.6,1.0,11,57.8
115,Danone,France,Food producers (357),142.00,12.7,"14,705",4.5,1.0,4.8,4.8,14.2,76,-13.7
116,Indra Sistemas,Spain,Computer services (9533),141.05,46.3,"2,168",54.1,6.5,1.9,1.5,10.1,22,108.0
117,Bouygues,France,Construction & materials (235),141.00,11.9,"29,613",11.0,0.5,5.3,5.7,8.0,134,8.6
118,Essilor International,France,Health care equipment & services (453),137.67,7.9,"2,908",8.1,4.7,6.9,6.7,18.3,29,7.4
119,Invensys,UK,Electronic equipment (2737),136.15,12.4,"3,427",-2.7,4.0,1.5,1.9,12.9,26,-6.4
120,Deutsche Post,Germany,Industrial transportation (277),136.00,-0.7,"57,125",4.2,0.2,3.3,2.3,5.0,525,3.4
121,Trumpf ,Germany,General industrials (272),135.40,13.0,"1,938",17.8,7.0,6.2,5.2,13.9,7,11.0
122,"Business Objects (now part of SAP, Germany) ",France,Software (9537),133.41,20.0,858,16.4,15.5,3.4,3.8,9.4,5,22.3
123,BioMerieux,France,Health care equipment & services (453),131.80,1.7,"1,063",2.5,12.4,7.3,7.7,13.9,6,1.5
124,Metro,Germany,General retailers (537),130.00,16.1,"65,888",10.0,0.2,2.9,3.1,3.1,292,6.4
125,Symbian ,UK,Software (9537),127.99,34.3,264,16.8,48.5,7.6,4.9,18.9,1,8.1
126,Vestas Wind Systems,Denmark,Electrical components & equipment (2733),127.00,43.3,"4,861",26.1,2.6,5.5,4.0,9.1,14,21.9
126,Maxingvest,Germany,General retailers (537),127.00,6.7,"9,066",0.3,1.4,1.8,1.9,6.8,31,2.4
128,Hexagon,Sweden,Industrial machinery (2757),126.99,34.2,"1,544",8.4,8.2,3.5,3.7,14.6,8,6.9
129,RWE,Germany,"Gas, water & multiutilities (757)",126.00,-6.7,"42,654",-5.5,0.3,9.3,10.0,14.4,63,-13.4
130,Umicore,Belgium,Chemicals (135),124.57,21.3,"9,505",7.8,1.3,1.6,1.5,2.9,9,-10.6
131,Dragerwerk,Germany,Health care equipment & services (453),123.47,4.6,"1,819",1.0,6.8,4.1,3.4,6.9,10,3.4
132,Old Mutual,UK,Life insurance (857),122.54,60.7,"19,837",-17.9,0.6,,,12.0,55,2.8
133,Wartsila,Finland,Commercial vehicles & trucks (2753),122.00,43.9,"3,763",18.0,3.2,3.5,2.6,9.7,15,15.6
133,Telecom Italia,Italy,Fixed line telecommunications (653),122.00,-8.3,"31,290",-0.3,0.4,10.1,9.3,18.6,77,-0.3
135,Danieli,Italy,Industrial machinery (2757),120.50,430.8,"1,602",30.9,7.5,10.7,5.3,8.7,7,35.3
136,Reckitt Benckiser,UK,Household goods (372),119.81,7.3,"7,174",7.1,1.7,2.5,1.7,21.0,23,6.8
137,Novozymes,Denmark,Biotechnology (4573),119.49,12.2,998,9.4,12.0,9.8,7.2,19.8,5,9.6
138,Danfoss,Denmark,Industrial machinery (2757),119.22,20.3,"3,049",14.2,3.9,5.6,5.0,7.7,22,8.5
139,Vattenfall,Sweden,Electricity (753),119.16,28.7,"15,201",-1.5,0.8,15.1,19.2,19.9,32,0.3
140,Tognum,Germany,Automobiles & parts (335),117.90,-4.4,"2,835",-8.1,4.2,3.5,3.4,12.2,8,11.7
141,B Braun Melsungen,Germany,Health care equipment & services (453),116.25,9.9,"3,573",7.6,3.3,9.1,8.3,9.7,35,7.6
142,BHP Billiton,UK,Mining (177),115.59,122.4,"27,015",22.8,0.4,19.3,20.0,46.2,34,2.0
143,ZF Lenksysteme,Germany,Automobiles & parts (335),114.20,23.6,"2,625",11.7,4.4,4.6,4.4,3.7,10,4.5
144,GKN,UK,Automobiles & parts (335),113.01,10.7,"5,268",6.5,2.1,4.5,5.3,6.2,38,4.5
145,Genmab,Denmark,Biotechnology (4573),112.20,67.6,71,294.4,158.0,4.2,5.6,-83.1,0,22.8
146,Rhodia,France,Chemicals (135),112.00,-5.1,"5,135",-13.2,2.2,5.0,4.7,7.8,16,-9.1
147,Deutsche Borse,Germany,Other financials (877),111.30,6.0,"2,454",31.7,4.5,,,49.3,3,4.0
148,Metso,Finland,Industrial machinery (2757),111.00,8.8,"6,250",26.1,1.8,2.2,2.0,9.0,26,12.4
149,Claas,Germany,Commercial vehicles & trucks (2753),109.62,10.3,"2,659",13.1,4.1,2.2,2.0,7.0,8,1.5
150,Benteler ,Germany,General industrials (272),109.30,2.1,"6,319",12.9,1.7,3.0,3.3,4.2,23,4.3
151,Reed Elsevier,UK,Media (555),108.92,-25.9,"7,265",-1.1,1.5,1.4,1.8,18.7,36,-2.4
152,Krones,Germany,Industrial machinery (2757),106.49,7.6,"2,156",12.8,4.9,3.6,3.1,7.0,9,3.4
153,Gemalto,The Netherlands,Electronic equipment (2737),106.06,20.0,"1,629",23.5,6.5,2.6,3.8,-4.3,10,-6.8
154,Basell AF,Luxembourg,Chemicals (135),105.00,60.7,"10,495",110.9,1.0,1.9,2.9,6.7,7,0.2
155,"Corus (now part of Tata Iron & Steel, India)",UK,Industrial metals (175),103.47,15.1,"14,187",2.8,0.7,4.3,4.2,4.5,45,-7.7
156,Italtel,Italy,Telecommunications equipment (9578),103.41,-1.4,543,-0.5,19.0,1.3,1.6,2.0,2,-3.7
157,Serco,UK,Support services (279),102.79,-2.3,"3,827",10.3,2.7,1.1,1.2,4.8,41,3.4
158,Stora Enso,Finland,Forestry & paper (173),101.60,24.4,"15,144",3.8,0.7,5.0,3.9,1.4,43,-4.9
159,Almirall,Spain,Pharmaceuticals (4577),101.40,82.7,792,2.9,12.8,4.3,4.2,15.4,3,3.3
160,ARM,UK,Semiconductors (9576),100.45,-1.2,353,-1.4,28.5,1.7,2.8,15.3,2,15.6
161,Giesecke & Devrient,Germany,Support services (279),100.29,30.4,"1,551",19.6,6.5,4.0,5.6,10.3,9,13.5
162,Vilmorin,France,Food producers (357),100.10,124.4,939,88.6,10.7,3.0,2.6,10.1,5,69.1
163,Suez (now part of GDF Suez),France,"Gas, water & multiutilities (757)",99.60,15.8,"47,475",7.2,0.2,5.9,4.7,11.6,184,-15.3
164,Grundfos ,Denmark,Industrial machinery (2757),98.75,19.2,"2,255",9.4,4.4,11.8,9.7,8.9,16,10.7
165,SKF,Sweden,Industrial machinery (2757),98.52,3.1,"6,197",10.3,1.6,3.3,3.6,12.8,42,4.7
166,Misys,UK,Software (9537),98.16,-18.6,712,-42.2,13.8,1.8,0.7,11.8,5,-18.2
167,Smith & Nephew,UK,Health care equipment & services (453),97.12,18.3,"2,304",21.2,4.2,6.0,6.1,14.9,9,4.1
168,Linde,Germany,Chemicals (135),97.00,-61.8,"12,670",1.9,0.8,7.7,9.0,9.0,51,-13.9
169,Wincor Nixdorf,Germany,Computer services (9533),96.57,10.4,"2,145",10.1,4.5,2.2,2.1,8.0,8,9.1
170,Danisco,Denmark,Food producers (357),96.43,-10.5,"2,557",-6.4,3.8,5.9,6.0,8.8,10,-6.4
171,CSR,UK,Semiconductors (9576),96.39,28.9,580,20.3,16.6,2.9,4.8,17.8,1,24.0
172,Dexia,Belgium,Banks (835),96.00,35.2,"6,788",-3.2,1.4,,,42.6,27,25.6
173,Burelle,France,Automobiles & parts (335),95.74,-9.1,"2,849",11.1,3.4,4.4,3.7,3.1,14,7.1
174,SCI Entertainment,UK,Software (9537),93.26,19.3,196,-19.7,47.6,3.6,0.8,-21.9,1,-3.7
175,voestalpine,Austria,Industrial metals (175),92.90,40.8,"10,617",45.6,0.9,7.5,8.7,10.9,42,69.3
176,Johnson Matthey,UK,Chemicals (135),92.72,7.2,"10,209",18.8,0.9,1.8,1.7,3.9,8,2.2
177,Veolia Environnement,France,"Gas, water & multiutilities (757)",90.90,20.9,"32,694",13.8,0.3,5.9,5.0,7.3,284,9.2
178,Alliance & Leicester,UK,Banks (835),90.40,61.5,"1,941",-3.3,4.7,,,28.0,8,-1.6
179,Orion,Finland,Food & drug retailers (533),90.00,14.5,684,10.0,13.2,4.1,3.4,27.5,3,3.0
180,MTU Aero Engines,Germany,Aerospace & defence (271),88.80,10.2,"2,576",6.6,3.4,3.4,3.2,9.4,7,1.3
181,Marks & Spencer,UK,General retailers (537),88.63,40.9,"12,283",4.9,0.7,10.8,8.7,13.1,75,-0.6
182,Nordea Bank,Sweden,Banks (835),88.00,-12.0,"7,886",6.9,1.1,,,49.2,32,5.7
182,Lanxess,Germany,Chemicals (135),88.00,1.1,"6,608",-4.8,1.3,4.2,3.7,5.4,15,-11.4
184,Merial ,UK,Biotechnology (4573),86.93,-13.0,"1,501",7.6,5.8,4.9,5.4,23.2,5,-5.4
185,Gaz De France (now GDF Suez),France,"Gas, water & multiutilities (757)",86.00,2.4,"27,427",-0.8,0.3,7.3,6.6,14.1,48,-5.3
185,Korber ,Germany,General industrials (272),86.00,-9.5,"1,601",1.8,5.4,1.9,3.4,10.4,9,1.4
187,adidas,Germany,Personal goods (376),84.00,-14.3,"10,299",2.1,0.8,2.2,2.2,9.0,29,10.8
188,Symrise,Germany,Chemicals (135),82.85,5.8,"1,274",3.7,6.5,2.4,3.1,15.4,5,0.2
189,ASM International ,The Netherlands,Semiconductors (9576),82.60,-8.8,955,8.9,8.6,4.9,4.4,15.4,11,13.0
190,Assa Abloy,Sweden,Construction & materials (235),82.12,7.9,"3,550",7.7,2.3,2.1,1.9,16.1,32,3.3
191,Barco,Belgium,Electronic equipment (2737),81.33,2.6,827,10.1,9.8,1.5,1.6,7.7,3,-19.5
192,Cadbury Schweppes (now Cadbury),UK,Food producers (357),80.33,-14.5,"10,853",6.3,0.7,4.9,5.0,9.9,72,6.9
193,Ineos ,UK,Chemicals (135),78.10,306.8,"26,587",436.2,0.3,2.1,2.9,3.5,12,251.1
194,Schott,Germany,Construction & materials (235),77.77,-27.4,"2,159",-3.8,3.6,13.7,13.9,-1.1,17,1.5
195,TDC,Denmark,Fixed line telecommunications (653),77.65,-14.7,"5,832",-8.3,1.3,9.7,8.8,12.0,19,-4.9
196,SNCF,France,Industrial transportation (277),77.00,16.7,"23,691",8.3,0.3,12.1,12.0,7.8,202,-0.1
196,Repsol YPF,Spain,Oil & gas producers (53),77.00,6.9,"52,098",1.4,0.1,8.5,10.5,10.4,38,1.5
198,Cobham,UK,Aerospace & defence (271),75.16,12.0,"1,445",4.5,5.2,6.4,5.2,15.5,9,-5.5
199,KWS SAAT,Germany,Food producers (357),73.64,-0.1,538,6.5,13.7,3.7,4.0,11.5,3,3.3
200,Industria de Turbo Propulsores ,Spain,Aerospace & defence (271),72.47,3.7,447,1.8,16.2,,,1.3,2,0.4
201,GN Store Nord,Denmark,Telecommunications equipment (9578),72.29,35.1,802,-11.6,9.0,1.1,6.1,-0.6,5,-10.3
202,Meggitt,UK,Aerospace & defence (271),72.02,41.0,"1,196",31.0,6.0,4.7,4.7,16.2,7,22.2
203,IMMSI,Italy,Automobiles & parts (335),71.70,7.0,"1,846",8.0,3.9,2.2,2.8,6.6,8,4.6
204,Gedeon Richter,Hungary,Pharmaceuticals (4577),71.45,24.7,886,7.4,8.1,10.4,15.8,16.5,9,9.7
205,Tomkins,UK,General industrials (272),70.66,-1.7,"4,114",-9.0,1.7,3.7,3.2,8.2,36,-6.3
206,Eberspaecher ,Germany,Automobiles & parts (335),70.20,10.6,"2,250",11.2,3.1,2.5,,3.5,5,-6.0
207,Royal & Sun Alliance (now RSA Insurance),UK,Nonlife insurance (853),69.44,-45.7,"8,788",5.2,0.8,,,10.4,23,-4.9
208,Dyson James ,UK,Household goods (372),69.33,43.2,701,9.5,9.9,4.3,3.9,16.1,2,10.4
209,E.ON,Germany,"Gas, water & multiutilities (757)",69.00,155.6,"68,935",6.8,0.1,9.7,6.5,12.8,91,10.3
210,ALTANA,Germany,Chemicals (135),67.44,-86.4,"1,380",-64.3,4.9,6.2,4.0,11.7,5,-65.8
211,Tomtom,The Netherlands,Electronic equipment (2737),67.41,79.6,"1,737",27.3,3.9,1.0,0.5,24.7,1,71.9
212,SCA,Sweden,Forestry & paper (173),67.09,5.7,"11,208",4.4,0.6,6.5,6.8,9.4,50,-1.2
213,Bank of Ireland,Ireland,Banks (835),67.00,-18.3,"5,035",-21.2,1.3,,,37.6,16,0.5
214,TietoEnator,Finland,Computer services (9533),66.90,-7.7,"1,772",-0.6,3.8,2.6,2.7,-0.2,16,8.1
215,Sick,Germany,Electronic equipment (2737),66.61,16.6,708,9.6,9.4,3.5,4.6,9.9,5,7.1
216,Getinge,Sweden,Health care equipment & services (453),66.56,30.9,"1,740",26.5,3.8,3.9,2.6,13.9,10,36.6
217,Danske Bank,Denmark,Banks (835),66.25,9.8,"9,298",12.7,0.7,,,27.8,24,22.7
218,Bang & Olufsen,Denmark,Leisure goods (374),66.18,-3.6,587,3.5,11.3,3.6,4.6,12.1,2,-3.3
219,Software,Germany,Software (9537),65.90,46.9,621,28.6,10.6,1.0,1.0,22.9,3,31.6
220,Iberdrola,Spain,Electricity (753),65.00,16.1,"17,468",58.6,0.4,28.8,22.9,21.1,23,36.8
221,Deutz,Germany,Industrial machinery (2757),64.90,-2.4,"1,731",16.2,3.7,4.6,4.8,6.0,5,2.5
222,Biovitrum,Sweden,Biotechnology (4573),64.54,34.5,133,4.7,48.5,7.5,5.5,3.8,1,-3.2
