eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
18,Alcatel, France,IT hardware (93),"1,557",-2.3,"12,265",-2.0,12.7,1.8,1.1,1.5,56,-7.9
19,Finmeccanica, Italy,Aerospace & defence (21),"1,454",18.5,"7,529",0.4,19.3,4.7,3.0,-0.8,46,3.2
20,Boehringer Ingelheim, Germany,Pharma & biotech (48),"1,232",4.8,"8,157",10.5,15.1,5.2,7.0,16.8,35,3.8
21,Infineon Technologies, Germany,IT hardware (93),"1,219",12.6,"7,195",17.0,16.9,16.2,14.2,1.1,34,8.3
22,BASF, Germany,Chemicals (11),"1,173",6.2,"37,537",12.5,3.1,5.1,6.9,11.8,82,-6.0
23,Unilever, UK  ,Food producers (43),"1,040",-2.3,"40,169",-5.9,2.6,2.5,2.4,8.6,227,-5.4
24,SAP, Germany,Software & computer services (97),"1,020",2.4,"7,514",7.0,13.6,2.3,2.9,26.6,31,7.3
25,Volvo, Sweden,Engineering & machinery (26),991,14.0,"23,294",14.8,4.3,4.8,5.7,6.7,78,6.9
26,Schering, Germany,Pharma & biotech (48),933,-1.5,"4,907",1.6,19.0,4.3,4.8,14.6,26,-1.6
27,Deutsche Telekom, Germany,Telecommunication services (67),900,0.0,"57,880",3.7,1.6,8.8,9.9,14.9,248,-1.5
28,AKZO Nobel, The Netherlands,Chemicals (11),826,-7.4,"12,688",-2.8,6.5,4.3,4.5,6.3,64,-4.2
29,Snecma, France,Aerospace & defence (21),754,20.8,"6,812",5.9,11.1,3.2,3.5,6.2,35,-10.7
30,Michelin, France,Automobiles & parts (31),674,-5.2,"15,689",2.1,4.3,6.8,6.7,6.7,126,-0.6
31,Total, France,Oil & gas (7),635,-4.8,"122,700",17.2,0.5,..,..,14.9,111,0.6
32,Merck, Germany,Pharma & biotech (48),599,-0.9,"5,859",-18.6,10.2,4.0,3.9,10.9,29,-15.6
33,Novo Nordisk, Denmark,Pharma & biotech (48),585,3.8,"3,903",9.4,15.0,10.8,9.4,23.6,20,6.2
34,Valeo, France,Automobiles & parts (31),584,3.5,"9,439",2.2,6.2,4.7,4.6,2.4,56,-18.6
35,France Telecom, France,Telecommunication services (67),564,18.0,"47,157",2.2,1.2,10.8,10.9,16.4,205,-7.6
36,Schneider, France,Electronic & Electrical  (25),535,8.3,"10,365",18.1,5.2,2.7,2.9,9.6,85,14.3
37,Continental, Germany,Automobiles & parts (31),530,6.4,"12,597",9.2,4.2,5.3,5.1,8.8,74,10.9
38,ZF, Germany,Automobiles & parts (31),520,-0.7,"9,899",10.9,5.3,5.7,6.9,3.8,55,1.9
39,L'Oreal, France,Personal care & household (47),507,5.6,"14,534",3.6,3.5,3.0,3.5,15.4,52,3.1
40,Telefonica, Spain,Telecommunication services (67),461,4.8,"30,322",6.8,1.5,10.5,10.4,18.0,157,4.9
41,ALTANA, Germany,Pharma & biotech (48),445,8.1,"2,963",8.3,15.0,6.2,6.2,20.6,11,6.1
42,Thales, France,Aerospace & defence (21),436,14.5,"10,288",-2.7,4.2,3.2,3.6,3.9,55,-3.4
43,Solvay, Belgium,Chemicals (11),427,1.7,"7,877",4.2,5.4,5.8,6.4,9.8,29,-2.8
44,Electricite de France, France,Electricity (72),425,11.5,"46,928",4.5,0.9,12.3,13.1,7.1,156,-6.7
45,Shell (now Royal Dutch Shell), UK  ,Oil & gas (7),407,-5.3,"195,104",31.5,0.2,4.7,6.0,12.3,114,-4.2
46,AREVA, France,Electricity (72),402,41.1,"11,109",34.6,3.6,5.2,6.4,5.4,70,45.9
47,MAN, Germany,Engineering & machinery (26),400,-1.7,"14,947",-0.5,2.7,4.0,3.9,4.0,63,-13.3
48,Rolls-Royce, UK  ,Aerospace & defence (21),398,0.4,"8,389",5.2,4.7,3.2,3.3,5.8,35,-2.5
49,UCB, Belgium,Pharma & biotech (48),376,39.3,"3,068",3.4,12.3,..,5.5,13.8,12,-0.6
50,BT, UK  ,Telecommunication services (67),363,-23.1,"26,305",0.6,1.4,16.1,14.3,16.7,100,-3.4
51,ALSTOM, France,Electronic & Electrical  (25),336,-29.0,"13,662",-18.1,2.5,1.3,1.6,-2.4,70,-9.4
52,ASML, The Netherlands,IT hardware (93),331,15.4,"2,465",59.8,13.4,3.6,4.6,15.4,5,-5.4
53,BP, UK  ,Oil & gas (7),323,25.8,"208,141",21.6,0.2,4.6,5.7,8.3,104,-3.7
54,Lagardere, France,Media & entertainment (54),321,-2.7,"13,389",7.5,2.4,5.1,4.0,5.1,47,9.9
55,Vodafone, UK  ,Telecommunication services (67),309,28.1,"48,213",1.7,0.6,14.8,14.2,-12.7,57,-4.5
56,TeliaSonera, Sweden,Telecommunication services (67),308,9.4,"9,071",-0.6,3.4,12.7,10.2,22.2,25,-3.1
57,Saint-Gobain, France,Construction & building (13),304,-0.7,"32,025",8.2,0.9,4.8,4.6,7.0,174,2.6
58,Deutsche Post, Germany,Support services (58),290,85.9,"43,168",7.9,0.7,2.9,2.8,6.8,381,1.7
59,DSM, The Netherlands,Chemicals (11),286,6.7,"7,752",28.1,3.7,4.2,6.7,4.2,24,19.3
60,Thomson, France,Electronic & Electrical  (25),277,-6.1,"7,994",-5.5,3.5,4.4,6.0,-4.8,49,-16.0
61,Henkel, Germany,Personal care & household (47),272,5.8,"10,592",12.3,2.6,3.2,3.4,19.5,50,3.4
62,Autoliv, Sweden,Automobiles & parts (31),271,20.6,"4,520",15.9,6.0,5.3,4.9,8.5,35,7.5
63,Marconi, UK  ,IT hardware (93),263,-5.6,"1,889",-14.2,13.9,2.6,2.1,-7.4,#VALUE!,..
64,Amersham (now GE Healthcare), UK  ,Health (44),257,-1.2,"2,218",2.1,11.6,10.6,9.9,13.1,10,2.6
65,ENI, Italy,Oil & gas (7),257,8.0,"58,382",13.4,0.4,11.6,15.2,20.4,71,-6.6
66,Scania, Sweden,Engineering & machinery (26),255,7.0,"6,382",13.2,4.0,11.4,15.4,10.9,29,5.0
67,Heidelberger Druckmaschinen, Germany,Engineering & machinery (26),244,-33.3,"3,360",-8.2,7.3,3.8,3.0,4.3,19,-17.2
68,Electrolux, Sweden,Household goods & textiles (34),227,23.2,"13,357",-2.8,1.7,3.7,2.8,3.9,72,-6.2
69,Dassault Systemes, France,Software & computer services (97),222,2.9,797,5.6,27.8,2.5,2.1,28.9,4,9.0
70,Carl Zeiss, Germany,Health (44),209,10.0,"2,135",5.2,9.8,4.1,5.2,5.7,14,-4.4
71,ICI, UK  ,Chemicals (11),208,-5.8,"7,911",-4.2,2.6,2.9,2.6,7.9,34,-6.6
72,Oce, The Netherlands,IT hardware (93),207,-0.8,"2,652",-4.2,7.8,6.4,6.5,4.2,22,-2.6
73,Pirelli, Italy,Diversified industrials (24),198,-2.9,"7,114",6.6,2.8,3.9,4.1,5.6,34,-7.8
74,Schwarz Pharma, Germany,Pharma & biotech (48),198,37.2,947,-36.7,20.9,2.0,1.7,2.2,4,-1.0
75,Vivendi Universal, France,Media & entertainment (54),196,15.3,"21,428",-15.9,0.9,5.4,4.1,14.1,39,-21.0
76,Behr, Germany,Automobiles & parts (31),195,6.0,"3,050",1.5,6.4,5.4,..,4.0,17,5.6
77,Smiths, UK  ,Aerospace & defence (21),193,5.5,"3,861",-10.6,5.0,2.9,3.1,10.7,27,-14.9
78,Agfa-Gevaert, Belgium,Health (44),191,-18.0,"3,762",-10.7,5.1,2.7,3.6,12.5,16,-12.8
79,ThyssenKrupp, Germany,Engineering & machinery (26),191,4.4,"39,342",8.9,0.5,3.4,3.5,4.6,188,-0.5
80,Linde, Germany,Chemicals (11),188,5.0,"9,421",4.8,2.0,9.1,8.2,6.9,46,-1.6
81,Sandvik, Sweden,Engineering & machinery (26),185,-0.3,"6,046",11.9,3.1,4.7,5.9,13.1,38,1.4
82,Reuters, UK  ,Media & entertainment (54),181,-25.1,"4,075",-9.8,4.4,3.9,4.1,7.3,16,-6.7
83,Invensys, UK  ,Electronic & Electrical  (25),175,-24.8,"4,129",-24.9,4.2,2.0,3.2,-1.6,36,-16.6
84,Lundbeck, Denmark,Pharma & biotech (48),173,-29.8,"1,308",-2.1,13.2,11.9,12.4,26.0,5,-1.3
85,Hella, Germany,Automobiles & parts (31),172,2.3,"3,141",3.7,5.5,7.8,7.4,3.1,23,8.3
86,Rhodia, France,Chemicals (11),171,-15.8,"5,281",-3.2,3.2,3.9,4.0,-11.4,21,-10.8
87,Diehl Stiftung, Germany,Diversified industrials (24),162,-3.2,"1,595",2.8,10.2,3.8,4.3,3.8,11,-0.6
88,Shire Pharmaceuticals, UK  ,Pharma & biotech (48),159,-12.3,"1,066",-0.8,14.9,4.4,4.1,8.7,2,-0.7
89,Amadeus Global Travel, Spain,Leisure & hotels (53),153,5.7,"2,057",6.6,7.4,3.8,2.8,16.3,6,12.3
90,Rheinmetall, Germany,Automobiles & parts (31),152,-19.6,"3,413",-19.7,4.5,4.4,4.2,5.7,19,-24.4
91,Wacker-Chemie, Germany,Chemicals (11),152,-0.1,"2,543",3.0,6.0,13.7,12.5,5.4,15,-5.4
92,JM Voith, Germany,Diversified industrials (24),149,10.4,"3,262",4.9,4.6,3.2,3.5,5.7,#VALUE!,..
93,Freudenberg, Germany,Diversified industrials (24),148,6.2,"4,418",14.2,3.4,7.2,6.2,6.8,32,12.8
94,Pierre Fabre, France,Pharma & biotech (48),145,7.1,"1,426",6.8,10.2,3.1,4.2,4.0,9,4.5
95,Atlas Copco, Sweden,Engineering & machinery (26),141,9.4,"5,387",9.0,2.6,10.2,7.6,13.6,27,4.4
96,Telecom Italia, Italy,Telecommunication services (67),139,0.0,"31,237",1.3,0.4,10.6,10.1,21.0,89,-7.2
97,Ipsen, Luxembourg,Pharma & biotech (48),136,4.1,737,2.6,18.5,4.2,4.2,21.2,4,4.3
98,Elan, Ireland,Pharma & biotech (48),136,-27.3,341,-39.2,39.9,14.1,4.6,-84.4,2,-31.8
99,Arcelor, Luxembourg,Steel & other metals (18),135,-4.9,"30,176",16.4,0.4,4.5,5.0,12.0,96,-3.7
100,Fresenius, Germany,Health (44),133,9.9,"7,271",2.9,1.8,4.1,4.4,11.6,68,4.0
101,Danone, France,Food producers (43),131,0.8,"13,700",4.3,1.0,3.7,4.1,7.5,89,1.0
102,Misys, UK  ,Software & computer services (97),128,2.6,"1,255",-1.3,10.2,1.0,1.3,4.3,7,1.0
103,RWE, Germany,Utilities - other (77),128,-70.6,"40,996",-4.2,0.3,8.1,9.5,12.3,106,-23.9
104,BioMerieux, France,Health (44),127,-3.3,931,1.7,13.6,8.1,8.2,13.8,5,-0.9
105,GKN, UK  ,Automobiles & parts (31),126,9.9,"4,921",4.5,2.6,5.4,4.8,-0.3,37,3.2
106,Knorr-Bremse, Germany,Engineering & machinery (26),124,3.3,"2,423",9.8,5.1,2.9,2.5,9.1,11,0.9
107,Schott, Germany,Chemicals (11),120,6.2,"2,023",4.0,5.9,8.8,10.1,4.6,19,-5.0
108,SNPE, France,Chemicals (11),114,-0.9,793,1.1,14.4,6.9,8.3,-8.3,5,-4.1
109,Kerry, Ireland,Food producers (43),111,25.5,"4,129",11.8,2.7,2.8,2.7,5.7,22,14.8
110,Business Objects, France,Software & computer services (97),111,57.8,681,64.9,16.3,3.2,2.2,9.2,4,-2.3
111,Infogrames Entertainment, France,Software & computer services (97),111,19.6,701,-20.4,15.8,0.6,0.7,-1.4,2,-18.1
112,Novozymes, Denmark,Pharma & biotech (48),109,8.0,810,3.8,13.4,4.7,6.8,17.8,4,3.0
113,Essilor International, France,Health (44),107,3.1,"2,260",6.8,4.7,6.4,6.1,15.0,24,10.7
114,Sage, UK  ,Software & computer services (97),105,28.3,971,22.8,10.8,6.4,7.7,26.9,8,31.5
115,Merial, UK  ,Pharma & biotech (48),104,6.0,"1,375",8.3,7.6,4.9,5.1,13.1,6,-1.9
116,Dragerwerk, Germany,Health (44),104,7.3,"1,520",7.6,6.8,3.0,3.5,6.6,10,-5.4
117,L'Air Liquide, France,Chemicals (11),103,9.5,"9,376",11.7,1.1,9.2,8.0,13.5,36,12.6
118,Metso, Finland,Engineering & machinery (26),103,-18.3,"3,976",-6.4,2.6,2.3,4.2,2.9,24,-11.1
119,Beiersdorf, Germany,Personal care & household (47),101,1.0,"4,546",-2.7,2.2,3.4,3.3,11.1,16,-9.6
120,Trumpf, Germany,Diversified industrials (24),98,10.4,"1,221",2.3,8.0,6.6,5.4,8.3,6,2.1
121,Veolia Environnement, France,Utilities - other (77),95,3.0,"28,603",-4.9,0.3,7.4,7.1,-2.8,208,-19.3
122,Spirent, UK  ,IT hardware (93),95,2.0,671,1.8,14.2,5.4,3.6,7.2,5,0.5
123,BAT, UK  ,Tobacco (49),95,-8.2,"15,204",1.8,0.6,3.4,4.0,18.0,61,0.1
124,GUS, UK  ,General retailers (52),95,3.1,"10,999",3.2,0.9,4.5,3.4,9.6,73,-4.2
125,B Braun Melsungen, Germany,Health (44),94,-10.7,"2,793",5.5,3.4,6.1,5.9,7.3,30,2.0
126,Smith & Nephew, UK  ,Health (44),94,-0.6,"1,764",5.9,5.3,7.6,6.1,14.1,8,5.6
127,Amdocs, UK  ,Software & computer services (97),93,6.0,"1,305",19.6,7.1,3.1,4.2,16.8,11,3.9
128,Gaz De France, France,Oil & gas (7),90,1.1,"18,129",8.9,0.5,8.9,10.1,8.9,38,-0.7
129,SAAB, Sweden,Aerospace & defence (21),89,-0.1,"1,976",3.5,4.5,2.0,3.3,8.9,12,-7.7
130,Bouygues, France,Construction & building (13),89,4.7,"23,402",7.2,0.4,4.7,4.4,5.9,129,0.7
131,Umicore, Belgium,Steel & other metals (18),89,111.9,"7,115",52.1,1.3,2.2,3.0,3.9,12,19.5
132,Corus, UK  ,Steel & other metals (18),89,1.6,"13,181",17.3,0.7,4.0,2.0,6.5,49,-3.4
133,Cadbury Schweppes, UK  ,Food producers (43),89,18.9,"9,517",4.6,0.9,4.3,4.7,12.4,58,4.7
134,SKF, Sweden,Engineering & machinery (26),88,6.1,"4,963",8.3,1.8,3.1,3.3,9.4,39,2.3
135,Adidas-Salomon, Germany,Household goods & textiles (34),88,2.3,"6,478",3.4,1.4,1.8,1.8,8.9,16,6.0
136,Suez, France,Utilities - other (77),85,7.6,"40,739",2.8,0.2,5.3,6.5,7.9,161,-7.3
137,ASM International, The Netherlands,IT hardware (93),85,7.4,754,29.6,11.3,7.7,5.2,11.7,8,16.6
138,Reckitt Benckiser, UK  ,Personal care & household (47),85,5.3,"5,468",4.3,1.5,2.0,1.9,19.6,20,-2.5
139,British Nuclear Fuels (now British Nuclear Group Sellafield), UK  ,Electricity (72),83,-11.9,"3,280",4.7,2.5,21.7,42.3,-12.3,23,0.8
140,Stora Enso, Finland,Forestry & paper (15),82,-7.5,"12,396",1.8,0.7,7.8,10.1,4.9,44,-1.1
141,Industria de Turbo Propulsores, Spain,Aerospace & defence (21),82,-24.3,379,-6.4,21.6,..,..,9.9,2,1.9
142,Avecia, UK  ,Chemicals (11),82,-1.9,685,-15.7,11.9,10.2,8.0,-16.4,3,-9.9
143,UBIsoft Entertainment, France,Software & computer services (97),80,9.5,508,13.1,15.8,1.2,1.8,1.0,2,18.2
144,Grundfos, Denmark,Engineering & machinery (26),77,23.2,"1,634",9.0,4.7,10.0,9.3,10.6,13,8.1
145,Danfoss, Denmark,Engineering & machinery (26),76,-2.1,"2,197",5.9,3.5,7.4,2.5,6.1,17,-0.5
146,Johnson Matthey, UK  ,Chemicals (11),76,-1.1,"6,552",3.2,1.2,2.1,2.5,3.5,8,1.3
147,Danisco, Denmark,Food producers (43),75,10.1,"2,398",8.8,3.1,4.3,5.3,10.8,9,9.4
148,Italtel, Italy,IT hardware (93),75,-7.7,542,-8.4,13.8,2.4,3.4,-1.6,2,-6.8
149,Wincor Nixdorf, Germany,Software & computer services (97),73,10.3,"1,576",9.4,4.6,1.7,1.5,5.4,6,16.2
150,Svenska Cellulosa, Sweden,Forestry & paper (15),73,4.1,"9,960",5.4,0.7,7.8,8.4,6.3,50,19.9
151,Claas, Germany,Engineering & machinery (26),73,8.0,"1,928",28.9,3.8,2.1,3.5,3.1,8,11.8
152,Tomkins, UK  ,Engineering & machinery (26),72,-12.5,"4,210",-5.4,1.7,5.3,4.6,8.3,37,-6.6
153,Gemplus International, Luxembourg,Electronic & Electrical  (25),72,0.3,865,15.5,8.3,2.7,2.0,2.4,5,8.7
154,Stork, The Netherlands,Engineering & machinery (26),71,-4.1,"1,824",-6.3,3.9,2.6,2.5,5.2,13,-11.7
155,ARM, UK  ,IT hardware (93),71,4.1,216,19.3,32.8,3.2,2.8,23.0,1,6.0
156,EPCOS, Germany,Electronic & Electrical  (25),71,1.9,"1,362",7.1,5.2,8.1,7.5,4.4,16,17.3
157,Orion, Finland,Health (44),71,-17.9,"1,944",-14.1,3.6,1.2,1.4,6.6,5,-17.2
158,Deutz, Germany,Engineering & machinery (26),70,26.6,"1,242",5.9,5.6,2.1,2.4,1.2,6,0.4
159,Barco, Belgium,Electronic & Electrical  (25),69,-1.0,672,6.8,10.3,3.4,3.0,8.7,4,9.1
160,Cobham, UK  ,Aerospace & defence (21),69,20.5,"1,388",18.0,5.0,5.9,4.8,13.7,10,9.7
161,Trelleborg, Sweden,Automobiles & parts (31),68,27.0,"2,537",27.6,2.7,3.7,3.2,4.0,22,36.7
162,Gambro, Sweden,Health (44),68,-4.2,"2,947",1.9,2.3,5.5,7.9,-1.8,21,0.6
163,Kone, Finland,Engineering & machinery (26),67,-23.9,"4,450",-16.7,1.5,2.1,1.4,9.6,31,-10.2
164,Cognis Deutschland, Germany,Chemicals (11),66,1.5,"3,073",4.2,2.1,3.8,3.5,3.4,8,-6.9
165,Eberspaecher, Germany,Automobiles & parts (31),66,7.0,"1,468",9.9,4.5,3.9,3.9,1.8,5,0.1
166,Giesecke & Devrient, Germany,Support services (58),63,-15.1,"1,157",10.5,5.4,3.8,9.1,5.7,7,7.4
167,Cambridge Antibody, UK  ,Pharma & biotech (48),62,-1.9,22,83.3,283.3,4.5,58.3,-265.0,0,-4.4
168,Chiesi Farmaceutici, Italy,Pharma & biotech (48),62,-4.7,474,14.2,13.1,1.3,..,9.8,3,6.7
169,Bang & Olufsen, Denmark,Electronic & Electrical  (25),61,28.2,486,-9.0,12.6,3.9,3.4,9.3,3,-3.1
170,Chr Hansen, Denmark,Pharma & biotech (48),61,-9.6,601,3.1,10.1,10.8,10.1,7.2,4,2.3
171,Voest-Alpine, Austria,Steel & other metals (18),60,16.3,"5,779",24.4,1.0,8.4,9.2,8.9,24,1.2
172,Wartsila, Finland,Engineering & machinery (26),59,-15.4,"2,478",5.1,2.4,1.9,2.4,4.8,12,0.6
173,IWKA, Germany,Engineering & machinery (26),59,-0.7,"2,169",-5.2,2.7,1.9,2.4,3.7,13,2.4
174,BOC, UK  ,Chemicals (11),59,4.3,"5,488",4.5,1.1,6.6,7.6,13.9,44,-2.6
175,Vattenfall, Sweden,Electricity (72),59,10.7,"12,551",1.3,0.5,8.7,7.9,17.3,33,-6.5
176,MG Technologies, Germany,Engineering & machinery (26),59,-37.4,"4,059",-36.6,1.4,2.4,4.0,4.3,26,-15.4
177,Koenig & Bauer, Germany,Engineering & machinery (26),58,0.9,"1,423",15.5,4.1,3.4,3.3,1.4,7,1.4
178,LogicaCMG, UK  ,Software & computer services (97),58,-28.5,"2,359",-2.2,2.5,1.6,1.5,4.1,20,-7.0
179,Repsol YPF, Spain,Oil & gas (7),57,-57.5,"40,585",12.5,0.1,5.9,6.2,9.2,32,5.7
180,Salzgitter, Germany,Steel & other metals (18),57,-0.9,"5,942",22.7,1.0,3.7,3.8,6.8,18,-2.9
181,VA Technologie, Austria,Engineering & machinery (26),56,-2.5,"4,073",3.8,1.4,1.3,1.1,-1.8,17,-5.2
182,Assa Abloy, Sweden,Support services (58),55,11.9,"2,826",6.0,2.0,2.9,3.4,10.9,29,1.6
183,Eidos, UK  ,Software & computer services (97),55,20.3,189,-11.7,29.3,2.1,0.9,-2.5,1,29.9
184,FastWeb, Italy,Telecommunication services (67),55,43.6,720,36.1,7.7,50.0,75.4,-16.8,2,43.4
185,E.ON, Germany,Utilities - other (77),55,-20.3,"44,745",5.2,0.1,6.7,6.9,13.2,73,8.8
186,Draka, The Netherlands,Electronic & Electrical  (25),54,24.2,"1,743",22.7,3.1,1.3,1.9,-0.3,9,11.4
187,Symbian, UK  ,Software & computer services (97),54,15.9,64,52.4,84.7,7.8,9.5,-65.7,1,12.4
188,Lafarge, France,Construction & building (13),54,-3.6,"14,436",5.7,0.4,7.3,5.8,12.9,77,2.3
189,Sorin, Italy,Health (44),54,-11.3,719,-14.8,7.5,5.0,5.5,-3.5,5,-13.1
190,Bull, France,IT hardware (93),54,-10.0,"1,139",-10.0,4.7,1.2,0.7,2.1,8,-3.4
191,Bekaert, Belgium,Engineering & machinery (26),54,49.8,"2,173",20.9,2.5,7.6,6.1,10.6,12,9.7
192,HVB, Germany,Banks (81),53,-41.8,"9,219",28.3,0.6,..,..,-20.2,58,-8.0
193,Intentia International, Sweden,Software & computer services (97),51,1.2,330,1.9,15.6,0.6,0.6,-9.3,3,-15.0
194,Nyco, Denmark,Pharma & biotech (48),51,55.8,645,1.6,8.0,4.5,2.7,3.1,3,6.6
195,Genmab, Denmark,Pharma & biotech (48),50,7.9,1,-88.9,"5,019.0",300.0,33.3,"-10,766.4",0,3.5
196,Gamesa, Spain,Engineering & machinery (26),50,22.4,"1,736",10.4,2.9,6.0,4.6,16.0,7,17.2
197,Spectris, UK  ,Electronic & Electrical  (25),49,2.3,868,8.2,5.7,2.6,3.0,8.6,6,3.5
198,Software, Germany,Software & computer services (97),49,-16.0,411,-2.6,11.9,1.5,1.9,20.4,3,-11.7
199,Axalto, The Netherlands,Electronic & Electrical  (25),48,-1.6,707,-7.9,6.8,3.8,2.5,9.4,5,12.2
200,Deutsche Borse, Germany,Other financials (87),47,-14.0,"1,591",-0.2,3.0,..,..,31.1,3,1.0
201,Wavecom, France,IT hardware (93),47,-24.2,152,-44.9,31.0,2.0,4.0,-53.4,0,-33.8
202,UPM-Kymmene, Finland,Forestry & paper (15),47,-2.1,"9,820",-1.3,0.5,5.8,6.0,6.0,35,-2.6
203,Nexans, France,Electronic & Electrical  (25),47,0.0,"4,900",21.1,1.0,1.9,1.7,2.2,18,3.5
204,Arla Foods, Denmark,Food producers (43),46,-9.4,"6,400",17.1,0.7,6.3,5.1,3.1,21,17.2
205,GN Store Nord, Denmark,IT hardware (93),46,16.2,746,17.1,6.2,4.0,3.1,9.5,5,6.8
206,Kemira, Finland,Chemicals (11),46,-4.6,"2,533",-7.5,1.8,5.9,5.2,5.1,10,-7.8
207,Alfa Laval, Sweden,Engineering & machinery (26),45,9.7,"1,659",7.7,2.7,2.3,1.8,8.1,9,2.2
208,Leoni, Germany,Electronic & Electrical  (25),44,21.0,"1,247",15.5,3.5,5.9,8.4,5.0,26,33.2
209,HeidelbergCement, Germany,Construction & building (13),44,2.3,"6,929",8.7,0.6,6.6,6.5,1.6,42,11.4
210,Getinge, Sweden,Health (44),44,53.8,"1,206",18.9,3.6,3.2,3.6,13.8,7,10.8
211,William Demant, Denmark,Health (44),44,9.9,578,11.2,7.5,7.1,3.5,23.3,4,5.1
212,Gedeon Richter, Hungary,Pharma & biotech (48),43,12.3,606,2.5,7.1,..,..,25.1,#VALUE!,..
213,Telekom Austria, Austria,Telecommunication services (67),42,-0.9,"4,056",2.2,1.0,13.5,15.1,11.5,14,-6.9
214,Groupe SEB, France,Household goods & textiles (34),42,3.9,"2,339",-0.4,1.8,3.6,4.0,7.4,14,-2.1
215,TTP Communications, UK  ,IT hardware (93),42,31.3,88,25.7,47.4,8.0,4.3,-1.7,1,13.8
216,Borealis, Denmark,Chemicals (11),41,-4.7,"4,628",26.0,0.9,4.1,3.3,7.1,5,-1.9
217,Outokumpu, Finland,Steel & other metals (18),41,-14.6,"7,136",20.5,0.6,4.7,11.3,7.6,20,2.1
218,Christian Dior, France,Household goods & textiles (34),41,0.0,"13,201",5.9,0.3,5.1,4.5,15.6,59,3.3
219,NKT, Denmark,Electronic & Electrical  (25),41,49.9,"1,038",32.6,3.9,2.8,2.8,0.9,6,21.1
220,Acambis, UK  ,Pharma & biotech (48),41,45.2,121,-49.4,33.7,4.1,3.8,25.8,0,-6.8
221,Burelle, France,Automobiles & parts (31),41,-0.8,"2,038",4.5,2.0,6.2,4.5,2.8,8,0.2
222,CSM, The Netherlands,Food producers (43),40,0.0,"3,475",-1.2,1.2,3.5,4.0,6.4,14,-0.7
223,SkyePharma, UK  ,Pharma & biotech (48),40,11.6,88,17.3,44.9,6.8,8.0,-33.3,0,-8.0
224,Filtronic, UK  ,IT hardware (93),39,-1.5,335,-1.8,11.8,4.8,3.5,1.2,3,16.5
225,Patria, Finland,Aerospace & defence (21),39,46.5,346,33.6,11.4,4.9,13.1,8.7,2,-2.2
226,Meggitt, UK  ,Aerospace & defence (21),39,38.4,677,19.2,5.8,3.0,2.1,14.2,4,27.1
227,Aegis, UK  ,Media & entertainment (54),39,7.0,"1,055",15.2,3.7,3.9,3.2,9.6,10,20.3
228,Vestas Wind Systems, Denmark,Electronic & Electrical  (25),39,39.6,"2,561",54.9,1.5,3.5,5.1,-0.4,#VALUE!,..
