eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,DaimlerChrysler, Germany,Automobiles & parts (31),"5,658",1.6,"142,059",4.1,4.0,4.5,4.9,2.4,379,2.2
2,Siemens, Germany,Electronic & Electrical  (25),"5,063",-8.1,"75,167",1.3,6.7,4.0,4.6,4.0,419,0.0
3,Volkswagen, Germany,Automobiles & parts (31),"4,164",0.6,"88,963",0.6,4.7,13.7,15.3,2.0,321,2.0
4,GlaxoSmithKline, UK  ,Pharma & biotech (48),"4,010",1.7,"28,757",-5.0,13.9,4.9,4.1,30.3,100,-3.2
5,Sanofi-Aventis, France,Pharma & biotech (48),"3,961",-2.6,"25,418",4.6,15.6,..,..,11.6,96,..
6,Nokia, Finland,IT hardware (93),"3,834",-3.6,"29,267",-0.6,13.1,1.7,1.3,14.7,54,3.7
7,Robert Bosch, Germany,Automobiles & parts (31),"2,898",9.4,"40,007",10.0,7.2,6.1,5.6,6.0,239,4.1
8,BMW, Germany,Automobiles & parts (31),"2,818",10.1,"44,335",6.8,6.4,6.9,17.6,8.4,104,1.5
9,AstraZeneca, UK  ,Pharma & biotech (48),"2,798",10.2,"15,763",13.7,17.7,5.0,6.6,22.3,64,6.3
10,Philips Electronics, The Netherlands,Electronic & Electrical  (25),"2,534",-3.2,"30,319",4.4,8.4,4.2,3.4,7.7,142,-3.7
11,Ericsson, Sweden,IT hardware (93),"2,436",-24.9,"14,611",12.1,16.7,1.9,3.0,21.8,52,-9.5
12,Bayer, Germany,Chemicals (11),"2,404",-0.4,"29,758",4.2,8.1,4.0,5.1,5.4,114,-3.8
13,EADS, The Netherlands,Aerospace & defence (21),"2,295",4.7,"31,761",5.4,7.2,10.4,9.1,7.0,111,1.4
14,Peugeot (PSA), France,Automobiles & parts (31),"2,118",1.0,"56,797",4.7,3.7,5.0,5.5,4.2,207,3.7
15,Renault, France,Automobiles & parts (31),"1,961",12.9,"40,715",8.5,4.8,..,7.5,11.3,131,-0.3
16,Istituto Finanziario Industriale, Italy,Automobiles & parts (31),"1,827",3.6,"51,878",-3.0,3.5,4.4,4.0,-2.3,180,-6.6
17,BAE Systems, UK  ,Aerospace & defence (21),"1,568",1.0,"12,847",8.4,12.2,3.6,2.9,-0.6,69,0.7
