eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
944,CENIT SYSTEMHAUS,Germany,Software & Computer Services,6.4,16.6,5.4,118.9,10.2,2.3,2.2,1.9,7.9,25.1,6.6,675,2.7
945,ROTORK,UK,Industrial Engineering,6.4,18.5,1.0,612.0,14.3,15.0,23.9,2.5,147.9,10.5,24.2,2581,17.7
946,LPKF LASER & ELECTRONICS,Germany,Electronic & Electrical Equipment,6.4,-44.8,5.5,115.1,26.3,7.1,-33.6,6.1,20.8,39.7,18.1,690,14.6
947,TUEV SUD,Germany,Industrial Engineering,6.4,2.2,0.3,1820.6,8.5,,  ,0.0,153.8,-4.0,8.4,17227,7.5
948,WOM WORLD OF MEDICINE,Germany,Health Care Equipment & Services,6.3,24.1,12.1,51.9,22.7,,  ,0.0,5.6,26.0,10.9,272,12.9
949,SPHEROS MANAGEMENT,Germany,Industrial Engineering,6.3,5.9,3.4,184.9,11.2,,  ,0.0,16.4,54.3,8.9,681,9.8
950,FAIRFORD EUROPE,Sweden,Support Services,6.2,15.5,1.5,410.0,10.3,,  ,0.0,14.2,43.7,3.5,1796,11.1
951,NICOX,France,Pharmaceuticals & Biotechnology,6.2,-31.0,81.5,7.6,  ,0.4,476.9,4.9,-8.7,-50.4,-114.9,21,-61.1
952,HELIOS,Slovenia,Construction & Materials,6.2,-21.2,1.8,337.9,0.1,11.1,-0.4,3.3,12.5,52.7,3.7,2433,12.8
953,OPENWAVE SYSTEMS,UK,Technology Hardware & Equipment,6.2,13.2,45.4,13.6,-9.7,,  ,0.0,0.5,-33.0,3.7,136,-0.7
954,ITI SCOTLAND,UK,Support Services,6.2,-44.0,2218.5,0.3,47.2,,  ,0.0,0.0,53.6,-2.5,,  
955,TOPOTARGET,Denmark,Pharmaceuticals & Biotechnology,6.1,-14.3,1903.7,0.3,-96.3,0.0,-84.9,14.4,-10.7,126.9,-3349.1,23,-45.2
956,SUNSEEKER INTERNATIONAL,UK,Support Services,6.1,39.5,1.8,345.4,4.6,,  ,0.0,26.6,-2417.1,7.7,2170,-3.6
957,DECEUNINCK,Belgium,Construction & Materials,6.0,4.5,1.1,556.9,3.9,23.4,7.5,4.2,23.7,7.1,4.2,,-100.0
958,INNOVIA GROUP,UK,Chemicals,6.0,7.7,1.5,401.4,-2.0,,  ,0.0,27.0,-45.6,6.7,1390,1.2
959,GUNNEBO,Sweden,General Industrials,6.0,-12.4,1.0,610.1,1.9,11.3,49.1,1.9,20.3,-45.3,3.3,5563,-0.4
960,JENSEN,Belgium,Industrial Engineering,6.0,1.7,2.6,229.9,6.3,,-100.0,0.0,17.8,102.0,7.7,1160,-0.6
961,IRIS SOFTWARE,UK,Software & Computer Services,6.0,12.4,5.0,120.4,  ,,  ,0.0,17.6,  ,14.6,991,  
962,PRICEWATERHOUSECOOPERS,UK,Support Services,6.0,-16.7,0.2,3134.7,6.5,,  ,0.0,875.5,7.3,27.9,17617,3.2
963,G4S,UK,Support Services,6.0,-72.2,0.1,8971.2,-0.3,191.4,-7.5,2.1,364.8,-7.9,4.1,648254,1.3
964,DIALIGHT,UK,Electronic & Electrical Equipment,6.0,-2.6,3.9,155.1,14.2,,  ,0.0,22.8,27.3,14.7,1626,42.8
965,COMARCH,Poland,Software & Computer Services,5.9,-2.4,2.7,216.1,12.5,16.6,-8.7,7.7,7.7,-18.9,3.6,3660,  
966,VISLINK,UK,Technology Hardware & Equipment,5.9,-9.5,8.6,68.4,13.7,0.5,-27.4,0.7,3.1,-170.4,4.5,251,-14.0
