eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
834,Beazley,UK,Nonlife insurance (853),5.49,2.8,839,1.3,0.7,1.0,0.5,15.4,0,48.6
836,Azkoyen,Spain,Industrial machinery (2757),5.47,-2.3,137,16.1,4.0,3.6,3.4,4.4,1,1.7
837,Biolitec,Germany,Pharmaceuticals (4577),5.46,-7.3,29,16.0,18.8,17.2,8.0,10.3,0,5.5
837,Kewill Systems,UK,Software (9537),5.46,27.9,62,31.9,8.8,1.6,2.1,3.2,1,21.3
839,Salcomp,Finland,Electronic equipment (2737),5.42,33.8,259,66.0,2.1,3.5,3.2,5.8,8,34.8
840,Provimi,France,Food producers (357),5.40,-46.5,"1,823",15.0,0.3,2.1,2.1,5.7,9,-2.5
841,Systar,France,Software (9537),5.39,-7.7,16,33.3,33.7,2.5,3.3,12.5,0,11.4
842,Wustenrot & Wurttemberg,Germany,Nonlife insurance (853),5.36,-3.9,"5,786",205.7,0.1,0.3,0.7,0.7,9,10.9
843,Premier Foods,UK,Food producers (357),5.34,139.5,"1,424",10.6,0.4,4.6,5.7,9.6,5,27.0
844,Clipper Windpower  ,UK,Electricity (753),5.33,38.1,6,200.0,88.8,233.3,500.0,-583.3,0,190.3
844,Tilgin,Sweden,Electronic equipment (2737),5.33,115.8,50,127.3,10.7,0.8,1.8,-6.0,0,24.7
846,Lavipharm,Greece,Pharmaceuticals (4577),5.31,-30.3,230,-1.3,2.3,0.4,0.4,7.0,1,
847,Ensto  ,Finland,Electrical components & equipment (2733),5.30,17.8,209,16.8,2.5,5.7,2.2,6.7,1,10.0
847,Marazzi,Italy,Household goods (372),5.30,-2.6,964,6.8,0.5,4.5,4.9,11.9,6,5.7
849,Agrolinz Melamine International (now part of Borealis),Austria,Chemicals (135),5.28,-0.6,471,19.5,1.1,4.9,,0.6,1,7.8
850,NSB,UK,Software (9537),5.26,-72.1,66,-8.3,8.0,1.5,11.1,13.6,1,-8.4
851,ALTEC,Greece,Computer services (9533),5.25,-25.3,195,8.9,2.7,2.6,3.4,6.7,1,8.7
852,Airborne Systems  ,UK,Aerospace & defence (271),5.23,-15.6,67,-38.5,7.8,1.5,1.8,-0.9,1,-43.0
852,Wienerberger,Austria,Construction & materials (235),5.23,45.3,"2,225",13.8,0.2,15.6,13.7,13.9,14,2.3
854,AERO Vodochody  ,Czech Republic,Aerospace & defence (271),5.20,-56.0,107,21.6,4.9,9.3,3.4,-29.0,2,2.1
854,Dantherm,Denmark,Industrial machinery (2757),5.20,15.0,397,2.3,1.3,2.8,2.3,0.3,3,10.1
854,Rentokil Initial,UK,Support services (279),5.20,-5.3,"3,355",-5.9,0.2,8.5,8.2,9.7,83,-7.4
857,JoWooD Productions Software,Austria,Software (9537),5.16,,15,150.0,34.4,2.7,6.7,6.7,0,-25.3
858,Amino Technologies  ,UK,Telecommunications equipment (9578),5.14,23.3,38,8.6,13.5,2.6,2.9,-7.9,0,14.1
859,ExonHit Therapeutics  ,France,Biotechnology (4573),5.11,-22.2,5,25.0,102.2,8.0,10.0,-80.0,0,-12.2
859,Deceuninck,Belgium,Construction & materials (235),5.11,-12.3,663,3.0,0.8,8.3,8.9,-3.3,3,-1.8
861,Scapa,UK,Chemicals (135),5.05,0.0,274,-3.5,1.8,1.5,1.4,1.8,2,-6.9
861,RHM (now part of Premier Foods),UK,Food producers (357),5.05,3.1,"2,314",-5.1,0.2,3.9,3.8,8.9,15,-13.1
861,Yorkshire Building Society,UK,Other financials (877),5.05,276.9,313,9.8,1.6,1.3,3.5,37.1,2,-21.5
864,Inion,Finland,Health care equipment & services (453),5.04,21.4,6,-25.0,84.0,16.7,37.5,-250.0,0,8.6
865,Lufthansa,Germany,Travel & leisure (575),5.00,-72.2,"19,849",9.9,0.0,6.6,5.7,6.5,94,3.0
866,Inter Link Foods  ,UK,Food producers (357),4.97,32.5,193,32.2,2.6,10.9,8.9,4.1,2,11.2
866,Ferraris (now Bionostics),UK,Health care equipment & services (453),4.97,37.7,73,-9.9,6.8,2.7,3.7,-52.1,1,-4.4
866,IRIS,Belgium,Software (9537),4.97,11.4,82,10.8,6.1,1.2,2.7,7.3,0,14.7
869,Sabca,Belgium,Aerospace & defence (271),4.94,-37.5,128,14.3,3.9,10.9,4.5,6.3,1,-0.3
870,PKC,Finland,Electronic equipment (2737),4.91,29.2,229,15.1,2.1,3.9,5.5,10.5,4,14.5
871,Prosodie,France,Computer services (9533),4.89,47.3,165,12.2,3.0,6.1,4.1,1.2,1,12.6
871,Kiln,UK,Nonlife insurance (853),4.89,-12.5,476,19.9,1.0,0.1,0.3,20.0,0,27.7
873,Maconomy,Denmark,Software (9537),4.88,23.2,24,26.3,20.3,1.7,2.1,-8.3,0,6.7
874,Efore,Finland,Electronic equipment (2737),4.86,-25.7,90,9.8,5.4,7.8,3.7,-5.6,1,18.6
875,Grifols,Spain,Pharmaceuticals (4577),4.85,-4.9,648,23.7,0.7,3.9,4.4,15.4,4,22.0
876,"Codan (now part of Royal & Sun Alliance, UK)",Denmark,Nonlife insurance (853),4.83,-59.1,"2,072",6.4,0.2,0.9,0.8,8.4,6,-2.1
877,Stonesoft,Finland,Computer services (9533),4.80,4.1,22,0.0,21.8,1.8,1.8,-31.8,0,1.6
877,D'Ieteren,Belgium,General retailers (537),4.80,-20.0,"5,335",12.2,0.1,19.2,18.7,4.0,21,10.1
877,Norddeutsche Affinerie,Germany,Industrial metals (175),4.80,-12.7,"5,753",90.4,0.1,0.8,1.1,5.8,3,5.2
880,QXL ricardo,UK,General retailers (537),4.78,282.4,54,217.6,8.9,3.7,2.4,25.9,0,228.6
881,Lindab International,Sweden,Industrial metals (175),4.77,5.1,843,22.4,0.6,1.8,6.2,11.4,5,13.4
882,AudioDev,Sweden,Computer hardware (9572),4.75,3.7,12,-50.0,39.6,3.3,4.2,-50.0,0,-18.6
883,SR Pharma (now Silence Therapeutics),UK,Biotechnology (4573),4.73,92.3,3,200.0,157.7,13.3,40.0,-233.3,0,76.0
884,Sectra,Sweden,Computer services (9533),4.72,66.8,75,19.0,6.3,2.7,1.6,9.3,0,10.3
885,Randstad,The Netherlands,Support services (279),4.70,-52.5,"8,186",23.3,0.1,0.6,0.7,4.9,328,22.3
886,Augusta Technologie,Germany,Electrical components & equipment (2733),4.66,-50.7,111,-44.8,4.2,1.8,1.5,4.5,0,-36.9
887,Phoqus  ,UK,Pharmaceuticals (4577),4.65,25.3,0,0.0,"1,162.5",100.0,100.0,"-1,750.0",0,23.3
887,Portrait Software  ,UK,Software (9537),4.65,-13.2,17,-19.0,27.4,2.4,1.9,-11.8,0,-9.9
889,Ceres Power  ,UK,Electrical components & equipment (2733),4.61,33.6,0,0.0,"1,152.5",500.0,250.0,"-1,750.0",0,27.6
890,Realtech,Germany,Computer services (9533),4.59,-9.6,54,8.0,8.5,1.9,2.0,7.4,1,6.7
891,Trinecke Zelezarny  ,Czech Republic,Industrial metals (175),4.57,4.6,"1,275",6.0,0.4,9.2,12.9,10.0,9,-1.9
891,Trafficmaster,UK,Telecommunications equipment (9578),4.57,103.1,78,23.8,5.9,2.6,6.3,9.0,1,2.5
893,SABMiller,UK,Beverages (353),4.55,-25.0,"14,120",21.6,0.0,6.6,6.5,17.2,67,24.5
894,SGL  ,UK,Support services (279),4.52,-20.0,130,-16.1,3.5,0.8,1.9,6.2,1,-3.9
895,Dialight,UK,Electrical components & equipment (2733),4.51,-43.1,92,-34.8,4.9,2.2,2.1,8.7,1,-17.1
896,Christie,UK,Support services (279),4.50,3.9,129,12.2,3.5,1.6,0.9,7.0,1,0.9
897,Vapo,Finland,Electricity (753),4.49,,601,14.7,0.7,9.7,13.0,8.0,2,9.1
897,York Pharma  ,UK,Pharmaceuticals (4577),4.49,112.8,0,,,,,,0,72.7
899,Rotork,UK,Industrial machinery (2757),4.48,2.1,307,18.5,1.5,1.3,0.8,21.8,1,8.0
