eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,DaimlerChrysler,Germany,Automobiles & parts (335),"5,649.00",-0.2,"149,776",5.4,3.8,4.4,4.5,1.9,386,2.0
2,Siemens,Germany,Electrical components & equipment (2733),"5,155.00",1.8,"75,445",0.4,6.8,7.0,4.0,4.1,439,4.8
3,GlaxoSmithKline,UK,Pharmaceuticals (4577),"4,564.13",10.5,"31,524",6.4,14.5,4.6,4.9,32.0,100,-0.3
4,Volkswagen,Germany,Automobiles & parts (335),"4,075.00",-2.1,"95,268",7.1,4.3,13.0,13.7,2.9,324,0.9
5,Sanofi-Aventis,France,Pharmaceuticals (4577),"4,044.00",2.1,"27,311",7.4,14.8,0.0,0.0,11.8,97,0.8
6,Nokia,Finland,Telecommunications equipment (9578),"3,978.00",3.8,"34,191",16.8,11.6,1.8,1.7,13.2,57,6.3
7,BMW,Germany,Automobiles & parts (335),"3,115.00",10.5,"46,656",5.2,6.7,20.6,6.9,7.8,104,-0.1
8,Robert Bosch,Germany,Automobiles & parts (335),"2,931.00",1.1,"42,016",5.0,7.0,7.0,6.1,5.9,251,5.0
9,AstraZeneca,UK,Pharmaceuticals (4577),"2,864.51",-11.1,"20,303",11.8,14.1,3.5,5.0,27.1,65,1.1
10,Ericsson,Sweden,Telecommunications equipment (9578),"2,729.95",16.5,"16,172",15.0,16.9,2.2,1.9,21.8,54,4.7
11,EADS,The Netherlands,Aerospace & defence (271),"2,367.00",3.1,"34,206",7.7,6.9,6.9,10.4,7.8,113,2.3
12,Philips Electronics,The Netherlands,Leisure goods (374),"2,337.00",-7.8,"30,395",0.3,7.7,3.2,4.2,5.2,138,-2.9
13,Renault,France,Automobiles & parts (335),"2,264.00",15.5,"40,412",-0.7,5.6,8.0,0.0,9.5,127,-3.3
14,Peugeot (PSA),France,Automobiles & parts (335),"2,151.00",1.6,"56,267",-1.4,3.8,5.2,5.1,2.7,209,0.6
15,BAE Systems,UK,Aerospace & defence (271),"2,108.88",30.5,"16,037",20.0,13.2,2.9,3.7,8.1,74,7.2
16,Bayer,Germany,Chemicals (135),"1,886.00",-21.5,"27,383",-8.0,6.9,4.7,4.0,10.3,93,-18.2
17,Alcatel,France,Telecommunications equipment (9578),"1,792.00",15.1,"13,135",7.1,13.6,2.0,1.8,7.4,58,3.6
18,Finmeccanica,Italy,Aerospace & defence (271),"1,746.00",20.1,"11,166",48.3,15.6,3.2,4.7,6.2,53,13.9
19,Boehringer Ingelheim,Germany,Pharmaceuticals (4577),"1,360.00",10.4,"9,535",16.9,14.3,5.6,5.2,20.2,37,6.0
20,Fiat,Italy,Automobiles & parts (335),"1,318.00",,"45,818",,2.9,5.9,,2.4,170,
21,STMicroelectronics,The Netherlands,Semiconductors (9576),"1,317.39",7.3,"7,525",1.4,17.5,16.2,23.4,1.3,50,1.0
22,Infineon Technologies,Germany,Semiconductors (9576),"1,243.00",8.6,"6,759",-6.1,18.4,20.7,16.2,-5.8,36,6.0
23,Volvo,Sweden,Commercial vehicles & trucks (2753),"1,124.98",18.0,"25,625",14.3,4.4,4.7,4.8,7.2,81,3.8
24,SAP,Germany,Software (9537),"1,088.63",6.7,"8,512",13.3,12.8,2.8,2.3,27.5,35,10.7
25,BASF,Germany,Chemicals (135),"1,086.30",-7.4,"42,745",13.9,2.5,5.1,5.1,14.3,81,-1.2
26,BT,UK,Fixed line telecommunications (653),"1,058.08",39.3,"28,401",5.9,3.7,13.9,14.6,12.9,103,3.4
27,Schering (now part of Bayer),Germany,Pharmaceuticals (4577),989.00,6.0,"5,308",8.2,18.6,3.9,4.3,17.6,25,-4.2
28,Unilever,UK,Food producers (357),953.00,-8.4,"39,672",-1.2,2.4,2.4,2.5,13.2,212,-6.6
29,AKZO Nobel,The Netherlands,Chemicals (135),837.00,1.3,"13,000",2.5,6.4,4.0,4.3,11.1,61,-3.5
30,Valeo,France,Automobiles & parts (335),779.00,11.3,"9,933",7.6,7.8,4.5,4.7,3.2,70,4.6
